train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.99519229	0.875	0.99981502	0.96527778	0.06200473	0.28759471	0.75261781	11.0	1.0	2.0	10.0	84.28991818	312.0	0.0	1.0
0.90865386	0.875	0.97752497	0.97916667	0.22489855	0.25645798	0.75261781	10.0	2.0	1.0	11.0	113.2226913	71.0	1.0	1.0
0.89473683	0.73913044	0.96628184	0.79545455	0.27513093	0.53893873	0.47727273	9.0	3.0	3.0	8.0	139.56971216	29.0	2.0	1.0
0.94258374	0.9130435	0.98964633	0.9469697	0.18598972	0.27594227	0.82575758	11.0	1.0	1.0	10.0	167.97936082	118.0	3.0	1.0
0.94258374	0.9130435	0.99084081	0.96212121	0.17538129	0.27519175	0.82575758	10.0	1.0	1.0	11.0	198.58187175	130.0	4.0	1.0
0.93779904	0.95652175	0.98378824	1.0	0.19725211	0.16880699	0.91605722	10.0	1.0	0.0	12.0	227.93643427	106.0	5.0	1.0
0.87081337	0.95652175	0.96821762	0.93939394	0.27322528	0.33949872	0.91605722	10.0	1.0	0.0	12.0	272.6863544	38.0	6.0	1.0
1.0	0.9130435	1.0	0.98484848	0.03887725	0.18662696	0.82575758	10.0	1.0	1.0	11.0	314.1752646	457.0	7.0	1.0
0.91387558	0.78260869	0.98003297	0.91666667	0.22481425	0.39931789	0.58930667	10.0	1.0	4.0	8.0	342.99301767	71.0	8.0	1.0
0.9665072	0.82608694	0.99258106	0.9469697	0.15296492	0.30734306	0.6992059	11.0	0.0	4.0	8.0	376.40294504	195.0	9.0	1.0
0.94711536	0.91666669	0.99176841	0.97222222	0.15946917	0.23805668	0.84515425	12.0	0.0	2.0	10.0	409.33459544	136.0	0.0	2.0
0.86538464	0.83333331	0.95495745	0.86805556	0.30855373	0.48854528	0.70710678	12.0	0.0	4.0	8.0	437.59147191	20.0	1.0	2.0
1.0	1.0	1.0	1.0	0.03422984	0.05310679	1.0	12.0	0.0	0.0	11.0	482.41965818	500.0	2.0	2.0
0.97129184	0.82608694	0.99404435	0.93181818	0.13520482	0.39248811	0.66414149	9.0	3.0	1.0	10.0	517.50362062	165.0	3.0	2.0
0.92344499	0.86956519	0.98708555	0.93181818	0.20747923	0.31448875	0.74047959	9.0	2.0	1.0	11.0	548.67676806	100.0	4.0	2.0
0.88516748	0.82608694	0.9673933	0.88636364	0.28968516	0.42510321	0.65909298	8.0	3.0	1.0	11.0	577.58614826	38.0	5.0	2.0
0.98086125	0.9130435	0.99899249	0.95454545	0.08394294	0.24287459	0.83971912	11.0	0.0	2.0	10.0	613.61771488	274.0	6.0	2.0
1.0	1.0	1.0	1.0	0.03521337	0.05674373	1.0	11.0	0.0	0.0	12.0	659.48916864	500.0	7.0	2.0
0.93779904	0.86956519	0.98818465	0.9469697	0.20200626	0.34174447	0.76277007	8.0	3.0	0.0	12.0	692.64508152	106.0	8.0	2.0
0.97129184	0.82608694	0.99578677	0.9469697	0.12644908	0.35704646	0.66414149	10.0	1.0	3.0	9.0	728.38177919	200.0	9.0	2.0
0.86538464	0.875	0.95948946	0.92361111	0.30866523	0.36442613	0.77459667	9.0	3.0	0.0	12.0	760.44262767	22.0	0.0	3.0
1.0	0.95833331	1.0	0.98611111	0.05303488	0.13778563	0.91986621	11.0	1.0	0.0	12.0	805.26809287	403.0	1.0	3.0
0.94736844	0.78260869	0.9895547	0.92424242	0.19254303	0.40833846	0.56818182	9.0	3.0	2.0	9.0	838.60961509	143.0	2.0	3.0
0.93301433	0.86956519	0.98350742	0.96212121	0.19512619	0.27181898	0.74047959	11.0	1.0	2.0	9.0	870.98720264	87.0	3.0	3.0
0.95693779	0.9130435	0.99221469	0.88636364	0.15254804	0.39268691	0.83971912	11.0	0.0	2.0	10.0	906.35919762	165.0	4.0	3.0
0.94258374	0.86956519	0.98754351	0.98484848	0.18318598	0.22309888	0.76277007	8.0	3.0	0.0	12.0	940.65000343	111.0	5.0	3.0
0.98086125	0.82608694	0.99422971	0.93939394	0.13205113	0.35673165	0.6992059	11.0	0.0	4.0	8.0	980.48057389	198.0	6.0	3.0
0.90909094	0.78260869	0.97270562	0.87878788	0.25683877	0.43798654	0.58930667	10.0	1.0	4.0	8.0	1013.23353815	48.0	7.0	3.0
0.98564595	0.86956519	0.99844294	0.95454545	0.09077828	0.27717105	0.74242424	10.0	1.0	2.0	10.0	1052.83593392	245.0	8.0	3.0
0.93779904	0.95652175	0.99093241	0.96212121	0.18178942	0.25857354	0.91666667	11.0	0.0	1.0	11.0	1085.76191878	127.0	9.0	3.0
0.89903843	0.79166669	0.97012579	0.83333333	0.25524758	0.48685582	0.58536941	10.0	2.0	3.0	9.0	1118.45875502	36.0	0.0	4.0
0.96634614	0.95833331	0.99324824	0.98611111	0.15303844	0.19036814	0.91986621	12.0	0.0	1.0	11.0	1153.16323543	146.0	1.0	4.0
0.94258374	0.86956519	0.98772219	0.93939394	0.18792822	0.26599624	0.74047959	11.0	1.0	2.0	9.0	1188.1340847	110.0	2.0	4.0
0.89473683	0.9130435	0.97003848	0.9469697	0.28016549	0.38199083	0.82575758	11.0	1.0	1.0	10.0	1220.51988006	40.0	3.0	4.0
1.0	0.95652175	1.0	1.0	0.03694204	0.07852171	0.91666667	11.0	0.0	1.0	11.0	1268.26563525	500.0	4.0	4.0
0.94258374	0.86956519	0.98919216	0.96969697	0.1781215	0.30565728	0.76764947	11.0	0.0	3.0	9.0	1302.16923213	121.0	5.0	4.0
0.97607654	0.82608694	0.99688588	0.93181818	0.12074185	0.40666687	0.65151515	9.0	2.0	2.0	10.0	1339.1307621	181.0	6.0	4.0
0.89473683	0.86956519	0.97508701	0.93181818	0.23696117	0.3384267	0.74242424	10.0	1.0	2.0	10.0	1372.82274604	47.0	7.0	4.0
1.0	0.82608694	1.0	0.95454545	0.03718148	0.24556088	0.65151515	9.0	2.0	2.0	10.0	1426.39021873	500.0	8.0	4.0
1.0	0.9130435	1.0	0.93939394	0.04488587	0.27252575	0.82575758	10.0	1.0	1.0	11.0	1478.58229589	500.0	9.0	4.0
0.99519229	0.875	0.99916759	0.95833333	0.07039675	0.27693535	0.75261781	11.0	1.0	2.0	10.0	1521.70242333	288.0	0.0	5.0
0.87980771	0.79166669	0.96753607	0.86805556	0.29222539	0.45478473	0.60246408	11.0	1.0	4.0	8.0	1553.82366085	20.0	1.0	5.0
0.99043059	0.95652175	0.99844237	0.99242424	0.09250962	0.10906893	0.91605722	12.0	0.0	1.0	10.0	1594.12966585	282.0	2.0	5.0
1.0	0.9130435	1.0	0.97727273	0.0305335	0.16904709	0.82575758	11.0	1.0	1.0	10.0	1644.51781082	500.0	3.0	5.0
0.97129184	0.82608694	0.99313061	0.95454545	0.15785715	0.31921144	0.65151515	9.0	2.0	2.0	10.0	1682.09473825	183.0	4.0	5.0
0.99043059	0.9130435	0.99853453	0.9469697	0.08733035	0.27168535	0.83971912	11.0	0.0	2.0	10.0	1725.27731967	278.0	5.0	5.0
0.87081337	0.86956519	0.96913354	0.86363636	0.29291067	0.43843179	0.74047959	9.0	2.0	1.0	11.0	1758.68265486	30.0	6.0	5.0
0.9952153	0.9130435	0.99917567	0.97727273	0.07636311	0.17924242	0.83971912	11.0	0.0	2.0	10.0	1807.70167017	367.0	7.0	5.0
0.99043059	0.9130435	0.99725224	0.93939394	0.09640545	0.40920978	0.83743579	9.0	2.0	0.0	12.0	1846.48557186	230.0	8.0	5.0
0.87081337	0.82608694	0.95594431	0.92424242	0.31080853	0.36634662	0.66414149	10.0	1.0	3.0	9.0	1879.78933787	23.0	9.0	5.0
