train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.94444442	0.61538464	0.99141324	0.55	0.20770924	0.89515275	0.15811388	6.0	2.0	3.0	2.0	46.83808804	14.0	0.0	1.0
1.0	0.92307693	1.0	1.0	0.00126465	0.09515412	0.85391256	7.0	1.0	0.0	5.0	71.73284245	500.0	1.0	1.0
1.0	0.84615386	1.0	0.975	0.03128022	0.2766073	0.73192505	6.0	2.0	0.0	5.0	87.86048198	80.0	2.0	1.0
0.91743118	0.75	0.97885835	0.74285714	0.26528003	0.55185992	0.47809144	6.0	1.0	2.0	3.0	104.79841781	11.0	3.0	1.0
0.88990825	0.66666669	0.96335447	0.6	0.31859163	0.8383472	0.29277002	6.0	1.0	3.0	2.0	122.08502245	6.0	4.0	1.0
1.0	0.83333331	1.0	0.88571429	0.03994351	0.43556786	0.68313005	7.0	0.0	2.0	3.0	141.42276359	70.0	5.0	1.0
1.0	0.83333331	1.0	0.91428571	0.03283851	0.38833913	0.71428571	5.0	2.0	0.0	5.0	161.39063334	81.0	6.0	1.0
0.96330273	0.75	0.9918957	0.62857143	0.19515615	0.81734806	0.47809144	6.0	1.0	2.0	3.0	179.9095459	15.0	7.0	1.0
0.91818184	0.63636363	0.96590909	0.85714286	0.28972035	0.49290293	0.21428571	5.0	2.0	2.0	2.0	196.99196506	9.0	8.0	1.0
1.0	0.90909094	1.0	0.96428571	0.01299801	0.19759163	0.81009259	7.0	0.0	1.0	3.0	221.21958923	148.0	9.0	1.0
0.99074072	0.69230771	0.99964222	0.725	0.12894382	0.65363955	0.31754265	7.0	1.0	3.0	2.0	241.42944503	24.0	0.0	2.0
1.0	0.76923078	1.0	1.0	0.0073537	0.3438656	0.625	5.0	3.0	0.0	5.0	265.35092711	214.0	1.0	2.0
1.0	0.92307693	1.0	1.0	0.00230086	0.17079021	0.84327404	8.0	0.0	1.0	4.0	292.67055273	371.0	2.0	2.0
1.0	0.83333331	1.0	0.77142857	0.06230335	0.53500313	0.71428571	5.0	2.0	0.0	5.0	313.10400534	46.0	3.0	2.0
1.0	0.83333331	1.0	0.85714286	0.05560463	0.39299086	0.68313005	7.0	0.0	2.0	3.0	333.68812037	55.0	4.0	2.0
0.98165137	0.83333331	0.99753347	0.77142857	0.17547164	0.50945914	0.65714286	6.0	1.0	1.0	4.0	352.64985538	18.0	5.0	2.0
0.99082571	0.66666669	0.99400987	0.74285714	0.20720335	0.61806279	0.31428571	5.0	2.0	2.0	3.0	369.78806186	16.0	6.0	2.0
1.0	0.91666669	1.0	0.91428571	0.030105	0.34616816	0.83666003	7.0	0.0	1.0	4.0	389.45589924	82.0	7.0	2.0
0.92727274	0.63636363	0.95971074	0.75	0.30821146	0.58088249	0.13363062	6.0	1.0	3.0	1.0	409.89581227	8.0	8.0	2.0
0.9727273	0.72727275	0.98519284	0.85714286	0.21924951	0.49502295	0.44854261	5.0	2.0	1.0	3.0	426.74428535	16.0	9.0	2.0
1.0	1.0	1.0	1.0	0.00122186	0.04561108	1.0	8.0	0.0	0.0	5.0	460.30997515	500.0	0.0	3.0
0.93518519	0.84615386	0.96422182	0.775	0.29305888	0.53898227	0.675	7.0	1.0	1.0	4.0	482.61553597	9.0	1.0	3.0
0.94444442	0.84615386	0.97316637	0.875	0.27143935	0.43383184	0.69282032	8.0	0.0	2.0	3.0	508.06129193	11.0	2.0	3.0
1.0	0.91666669	1.0	1.0	0.00110894	0.18636315	0.83666003	7.0	0.0	1.0	4.0	538.1604588	500.0	3.0	3.0
1.0	0.83333331	1.0	0.88571429	0.02678579	0.34449813	0.65714286	6.0	1.0	1.0	4.0	556.32105088	82.0	4.0	3.0
0.98165137	0.75	0.99647639	0.82857143	0.17389033	0.49565676	0.47809144	6.0	1.0	2.0	3.0	576.11470222	20.0	5.0	3.0
0.98165137	0.91666669	1.0	0.85714286	0.12159747	0.36245704	0.83666003	7.0	0.0	1.0	4.0	596.09468985	29.0	6.0	3.0
0.96330273	0.66666669	0.99541931	0.62857143	0.18622956	0.74192142	0.31428571	5.0	2.0	2.0	3.0	618.01651573	16.0	7.0	3.0
1.0	0.72727275	1.0	0.96428571	0.06123482	0.47048292	0.57142857	4.0	3.0	0.0	4.0	638.40649152	48.0	8.0	3.0
0.96363634	0.63636363	0.98725895	0.64285714	0.21090104	0.72036427	0.13363062	6.0	1.0	3.0	1.0	655.0151968	13.0	9.0	3.0
1.0	0.76923078	1.0	0.825	0.02412369	0.53834587	0.53674504	6.0	2.0	1.0	4.0	681.20167327	92.0	0.0	4.0
0.98148149	0.76923078	1.0	0.75	0.15530871	0.52972984	0.50069396	7.0	1.0	2.0	3.0	699.69194245	24.0	1.0	4.0
0.9537037	0.69230771	0.99499106	0.875	0.18505172	0.51198417	0.41475753	5.0	3.0	1.0	4.0	719.59303904	19.0	2.0	4.0
0.94495416	0.58333331	0.99400987	0.77142857	0.21205792	0.57688522	0.11952286	5.0	2.0	3.0	2.0	738.38048124	17.0	3.0	4.0
1.0	1.0	1.0	1.0	0.00134042	0.04371497	1.0	7.0	0.0	0.0	5.0	772.53509712	500.0	4.0	4.0
0.91743118	0.75	0.97463002	0.77142857	0.28390193	0.61325669	0.47809144	6.0	1.0	2.0	3.0	795.64101505	9.0	5.0	4.0
0.99082571	0.83333331	1.0	0.85714286	0.09992985	0.59162998	0.68313005	7.0	0.0	2.0	3.0	814.33319592	31.0	6.0	4.0
1.0	0.91666669	1.0	1.0	0.01149691	0.25897095	0.83666003	7.0	0.0	1.0	4.0	836.42508268	147.0	7.0	4.0
0.9727273	0.81818181	0.99896694	0.85714286	0.16121145	0.40102613	0.62360956	7.0	0.0	2.0	2.0	855.11835194	21.0	8.0	4.0
0.9909091	0.63636363	1.0	0.78571429	0.09897691	0.46252441	0.21428571	5.0	2.0	2.0	2.0	874.21290731	35.0	9.0	4.0
0.98148149	0.84615386	0.99177102	0.8	0.19845533	0.55306524	0.675	7.0	1.0	1.0	4.0	892.52529883	14.0	0.0	5.0
0.82407409	0.84615386	0.94096601	0.75	0.34880588	0.65586209	0.675	7.0	1.0	1.0	4.0	915.60567665	6.0	1.0	5.0
1.0	0.76923078	1.0	0.925	0.03092129	0.38685307	0.50069396	7.0	1.0	2.0	3.0	938.88059258	71.0	2.0	5.0
0.98165137	0.75	0.99506695	0.68571429	0.18742438	0.63570684	0.52915026	7.0	0.0	3.0	2.0	960.45353436	16.0	3.0	5.0
1.0	0.91666669	1.0	0.94285714	0.0115921	0.28517109	0.84515425	6.0	1.0	0.0	5.0	985.82840514	153.0	4.0	5.0
1.0	0.91666669	1.0	0.88571429	0.09131955	0.42637345	0.83666003	7.0	0.0	1.0	4.0	1007.25569344	38.0	5.0	5.0
1.0	0.83333331	1.0	0.94285714	0.00800139	0.40641868	0.68313005	7.0	0.0	2.0	3.0	1034.41122794	172.0	6.0	5.0
0.96330273	0.75	0.98907681	0.82857143	0.20130928	0.51184136	0.50709255	5.0	2.0	1.0	4.0	1055.68338084	14.0	7.0	5.0
0.9818182	0.90909094	1.0	0.96428571	0.12143303	0.33146617	0.82807867	6.0	1.0	0.0	4.0	1075.7292521	29.0	8.0	5.0
1.0	0.72727275	1.0	0.89285714	0.05535444	0.32793057	0.44854261	5.0	2.0	1.0	3.0	1096.82368326	57.0	9.0	5.0
0.97222221	0.61538464	1.0	0.575	0.1333368	0.78775346	0.21957752	5.0	3.0	2.0	3.0	1117.90350795	22.0	0.0	6.0
0.99074072	0.76923078	1.0	0.875	0.11495896	0.4105002	0.50069396	7.0	1.0	2.0	3.0	1139.07638264	29.0	1.0	6.0
0.97222221	0.76923078	0.99141324	0.85	0.20209265	0.46460298	0.53935989	8.0	0.0	3.0	2.0	1163.1152451	14.0	2.0	6.0
1.0	0.91666669	1.0	1.0	0.00489886	0.23826647	0.84515425	6.0	1.0	0.0	5.0	1187.14344716	242.0	3.0	6.0
1.0	0.91666669	1.0	0.94285714	0.00352606	0.2174312	0.83666003	7.0	0.0	1.0	4.0	1213.22962189	291.0	4.0	6.0
