train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.76211452	0.61538464	0.85858844	0.35294118	0.51955243	0.79049534	-0.14552138	0.0	9.0	1.0	16.0	96.04569912	7.0	0.0	1.0
0.81057268	0.69230771	0.91692177	0.59477124	0.46472936	0.6406345	0.26035959	3.0	6.0	2.0	15.0	131.17214227	12.0	1.0	1.0
0.78854626	0.61538464	0.88239796	0.50326797	0.49046963	0.72452658	0.05522779	2.0	7.0	3.0	14.0	159.68187428	12.0	2.0	1.0
0.73568285	0.65384614	0.86955782	0.59477124	0.51435974	0.67019451	0.09335201	1.0	8.0	1.0	16.0	190.08645654	8.0	3.0	1.0
0.78947371	0.51999998	0.88978041	0.5	0.49300993	0.66623918	-0.27695585	0.0	9.0	3.0	13.0	218.42345548	9.0	4.0	1.0
0.74122804	0.56	0.85422297	0.5	0.51926214	0.74740064	-0.10001653	1.0	8.0	3.0	13.0	242.67004871	7.0	5.0	1.0
0.81140351	0.47999999	0.89755068	0.52083333	0.46881265	0.71982192	-0.32732684	0.0	9.0	4.0	12.0	271.39545226	10.0	6.0	1.0
0.90789473	0.68000001	0.98226351	0.625	0.3278822	0.61367329	0.25	3.0	6.0	2.0	14.0	297.73297501	31.0	7.0	1.0
0.7631579	0.68000001	0.89138514	0.82638889	0.495032	0.57239902	0.27216553	1.0	8.0	0.0	16.0	324.67674732	10.0	8.0	1.0
0.79039299	0.70833331	0.92167167	0.7265625	0.45779834	0.57038973	0.32410186	4.0	4.0	3.0	13.0	356.61208701	11.0	9.0	1.0
0.80616742	0.65384614	0.88971088	0.56862745	0.48671764	0.70181525	0.13789005	2.0	7.0	2.0	15.0	383.7742784	8.0	0.0	2.0
0.74008811	0.69230771	0.86173469	0.67320261	0.51156487	0.59335157	0.27487371	1.0	8.0	0.0	17.0	421.46128225	10.0	1.0	2.0
0.8325991	0.57692307	0.95416667	0.50980392	0.40552321	0.70886653	-0.08618128	1.0	8.0	3.0	14.0	447.35346198	12.0	2.0	2.0
0.8017621	0.61538464	0.88146259	0.33333333	0.48891908	0.78938166	-0.14552138	0.0	9.0	1.0	16.0	475.19244695	10.0	3.0	2.0
0.82456142	0.68000001	0.93826014	0.63888889	0.43686945	0.63363641	0.27468517	4.0	5.0	3.0	13.0	506.96850944	15.0	4.0	2.0
0.79385966	0.68000001	0.87525338	0.59027778	0.50134178	0.68234146	0.23592536	2.0	7.0	1.0	15.0	533.06575727	9.0	5.0	2.0
0.79385966	0.63999999	0.92981419	0.55555556	0.45486705	0.68230499	0.0	0.0	9.0	0.0	16.0	566.78389025	11.0	6.0	2.0
0.87280703	0.60000002	0.97212838	0.61111111	0.36748686	0.68347976	0.04166667	2.0	7.0	3.0	13.0	599.31026006	25.0	7.0	2.0
0.80263156	0.60000002	0.90101351	0.625	0.47802488	0.66317087	-0.02051525	1.0	8.0	2.0	14.0	623.73419881	8.0	8.0	2.0
0.98253274	0.54166669	0.998999	0.5390625	0.20305615	0.73299523	0.0	3.0	5.0	6.0	10.0	654.54264331	49.0	9.0	2.0
0.76651984	0.73076922	0.8917517	0.66013072	0.49583854	0.58682601	0.39674602	2.0	7.0	0.0	17.0	681.53779101	9.0	0.0	3.0
0.79295152	0.61538464	0.89498299	0.5751634	0.49208947	0.67508125	-0.00973262	1.0	8.0	2.0	15.0	716.10650277	10.0	1.0	3.0
0.77533042	0.53846157	0.90722789	0.62745098	0.48701926	0.63187832	-0.149904	1.0	8.0	4.0	13.0	742.21194839	8.0	2.0	3.0
0.7709251	0.57692307	0.89719388	0.59477124	0.49622162	0.66567721	-0.08618128	1.0	8.0	3.0	14.0	778.20026112	8.0	3.0	3.0
0.75	0.60000002	0.85346284	0.40972222	0.52067841	0.80296452	-0.15309311	0.0	9.0	1.0	15.0	819.86233735	7.0	4.0	3.0
0.76754385	0.63999999	0.86097973	0.41666667	0.51484031	0.7078032	0.08600781	1.0	8.0	1.0	15.0	848.14842534	8.0	5.0	3.0
0.97368419	0.72000003	0.99771959	0.77083333	0.24763557	0.54889642	0.40824829	6.0	3.0	4.0	12.0	875.93836856	53.0	6.0	3.0
0.87280703	0.63999999	0.96638514	0.56944444	0.37388965	0.71025664	0.16390252	3.0	6.0	3.0	13.0	907.34361196	20.0	7.0	3.0
0.84210527	0.60000002	0.95422297	0.5625	0.39718912	0.6774047	-0.02051525	1.0	8.0	2.0	14.0	935.18968105	19.0	8.0	3.0
