filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	0.944	0.615	0.991	0.55	0.208	0.895	0.158	6.0	2.0	3.0	2.0	46.838	14.0	0	1
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.923	1.0	1.0	0.001	0.095	0.854	7.0	1.0	0.0	5.0	71.733	500.0	0	2
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.846	1.0	0.975	0.031	0.277	0.732	6.0	2.0	0.0	5.0	87.86	80.0	0	3
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	0.917	0.75	0.979	0.743	0.265	0.552	0.478	6.0	1.0	2.0	3.0	104.798	11.0	0	4
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	0.89	0.667	0.963	0.6	0.319	0.838	0.293	6.0	1.0	3.0	2.0	122.085	6.0	0	5
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.833	1.0	0.886	0.04	0.436	0.683	7.0	0.0	2.0	3.0	141.423	70.0	0	6
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.833	1.0	0.914	0.033	0.388	0.714	5.0	2.0	0.0	5.0	161.391	81.0	0	7
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	0.963	0.75	0.992	0.629	0.195	0.817	0.478	6.0	1.0	2.0	3.0	179.91	15.0	0	8
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	0.918	0.636	0.966	0.857	0.29	0.493	0.214	5.0	2.0	2.0	2.0	196.992	9.0	0	9
/home/ubuntu/gene-abundance/experiment/__results__/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_174712c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	0.964	0.013	0.198	0.81	7.0	0.0	1.0	3.0	221.22	148.0	1	0
