train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.53398061	0.45714286	0.83400369	0.51633987	0.7204793	0.74310209	-0.10846523	12.0	6.0	13.0	4.0	109.7279644	8.0	0.0	1.0
0.8252427	0.5714286	0.97079772	0.6372549	0.43161213	0.72043901	0.14379085	10.0	8.0	7.0	10.0	147.57662702	45.0	1.0	1.0
0.44983819	0.45714286	0.8048852	0.47385621	0.75956248	0.76649406	-0.09978902	11.0	7.0	12.0	5.0	183.51896095	8.0	2.0	1.0
0.59546924	0.54285717	0.86689291	0.60784314	0.65801003	0.71743512	0.08221556	14.0	4.0	12.0	5.0	218.69812965	13.0	3.0	1.0
0.66451615	0.58823532	0.8972982	0.59515571	0.6115949	0.71267718	0.18860838	13.0	4.0	10.0	7.0	251.03012633	16.0	4.0	1.0
0.56774193	0.61764705	0.86103826	0.65743945	0.68173147	0.68590654	0.23570226	11.0	6.0	7.0	10.0	295.68065786	12.0	5.0	1.0
0.66451615	0.52941179	0.89005454	0.59861592	0.62876293	0.70695005	0.06666667	13.0	4.0	12.0	5.0	338.89392304	15.0	6.0	1.0
0.61290324	0.55882353	0.84305399	0.58131488	0.66691988	0.72415395	0.12909944	13.0	4.0	11.0	6.0	375.22537398	9.0	7.0	1.0
0.97741938	0.67647058	0.99979185	0.81314879	0.18994496	0.51136529	0.35856858	13.0	4.0	7.0	10.0	417.16114497	117.0	8.0	1.0
0.56129032	0.64705884	0.84326215	0.64359862	0.70587821	0.69537213	0.33333333	15.0	2.0	10.0	7.0	449.51482606	9.0	9.0	1.0
0.87378639	0.65714288	0.98236132	0.75163399	0.39065125	0.63809361	0.32720526	15.0	3.0	9.0	8.0	487.93389559	52.0	0.0	2.0
0.61812299	0.45714286	0.8381096	0.44117647	0.67596394	0.77595077	-0.09978902	11.0	7.0	12.0	5.0	523.38380575	8.0	1.0	2.0
0.98058254	0.6857143	0.99932965	0.79411765	0.21406936	0.53339568	0.37049379	13.0	5.0	6.0	11.0	564.73869991	106.0	2.0	2.0
0.54045308	0.51428574	0.83132227	0.52614379	0.72577582	0.73264931	0.020646	12.0	6.0	11.0	6.0	600.2317462	8.0	3.0	2.0
0.87419355	0.7352941	0.99075809	0.80276817	0.37369736	0.57147614	0.47809144	14.0	3.0	6.0	11.0	635.99650502	56.0	4.0	2.0
0.66774195	0.55882353	0.91028683	0.73010381	0.57518117	0.61968184	0.12309149	12.0	5.0	10.0	7.0	675.15948009	23.0	5.0	2.0
0.90645164	0.67647058	0.99400525	0.7716263	0.35560816	0.57575247	0.35856858	13.0	4.0	7.0	10.0	714.96189404	64.0	6.0	2.0
0.7870968	0.61764705	0.96557179	0.76816609	0.47335299	0.6027801	0.25819889	14.0	3.0	10.0	7.0	756.49127603	38.0	7.0	2.0
0.60322583	0.58823532	0.8716956	0.64013841	0.65688039	0.7188235	0.21821789	15.0	2.0	12.0	5.0	790.89340973	16.0	8.0	2.0
0.69032258	0.58823532	0.91590691	0.64705882	0.56381672	0.67393548	0.17770466	11.0	6.0	8.0	9.0	825.90716195	23.0	9.0	2.0
0.91585761	0.62857145	0.98965142	0.66666667	0.32580325	0.70456241	0.25573908	12.0	6.0	7.0	10.0	865.41185713	74.0	0.0	3.0
0.61812299	0.62857145	0.87745098	0.68300654	0.64639941	0.64323939	0.25671802	13.0	5.0	8.0	9.0	900.9864583	14.0	1.0	3.0
0.89967638	0.82857144	0.99250042	0.85620915	0.34430743	0.48260407	0.65686275	15.0	3.0	3.0	14.0	941.18716478	54.0	2.0	3.0
0.53074431	0.62857145	0.81422826	0.49346405	0.7248774	0.73934043	0.27116307	15.0	3.0	10.0	7.0	977.1140182	8.0	3.0	3.0
0.69032258	0.55882353	0.91228508	0.58477509	0.58723304	0.72879604	0.11952286	11.0	6.0	9.0	8.0	1015.83351707	19.0	4.0	3.0
0.59677422	0.44117647	0.87281962	0.53633218	0.66384592	0.72377833	-0.12909944	11.0	6.0	13.0	4.0	1060.27264953	12.0	5.0	3.0
0.67419356	0.61764705	0.90703967	0.72318339	0.590844	0.64716525	0.24618298	13.0	4.0	9.0	8.0	1095.86758971	19.0	6.0	3.0
0.52580643	0.5	0.84742517	0.51903114	0.70547235	0.75902235	0.0	12.0	5.0	12.0	5.0	1129.7277236	9.0	7.0	3.0
0.85483873	0.61764705	0.97789434	0.70242215	0.39988437	0.69422035	0.23904572	12.0	5.0	8.0	9.0	1170.80462766	58.0	8.0	3.0
0.97741938	0.7647059	0.99995837	0.82352941	0.21835999	0.51764596	0.53311399	14.0	3.0	5.0	12.0	1213.33593845	83.0	9.0	3.0
0.51132685	0.51428574	0.80802748	0.59477124	0.74123807	0.71246116	0.01807754	13.0	5.0	12.0	5.0	1248.274719	9.0	0.0	4.0
0.92556632	0.62857145	0.99451148	0.76797386	0.29619523	0.58491151	0.25671802	13.0	5.0	8.0	9.0	1289.31085944	76.0	1.0	4.0
0.61165047	0.48571429	0.85067873	0.58169935	0.66127554	0.69321965	-0.04222003	12.0	6.0	12.0	5.0	1325.85170054	9.0	2.0	4.0
0.88673139	0.77142859	0.99103402	0.82026144	0.35451295	0.5205632	0.57348878	17.0	1.0	7.0	10.0	1365.54063702	61.0	3.0	4.0
0.84193546	0.79411763	0.97310686	0.79930796	0.43854932	0.55382034	0.5976143	15.0	2.0	5.0	12.0	1411.4012959	43.0	4.0	4.0
0.64193547	0.55882353	0.89792265	0.60207612	0.60292592	0.73851703	0.12309149	12.0	5.0	10.0	7.0	1446.72794557	21.0	5.0	4.0
0.70645159	0.58823532	0.91961201	0.64359862	0.58101275	0.68606599	0.17770466	11.0	6.0	8.0	9.0	1481.68923926	24.0	6.0	4.0
0.76774192	0.61764705	0.95970193	0.75086505	0.47620952	0.61608519	0.24618298	13.0	4.0	9.0	8.0	1522.80543971	40.0	7.0	4.0
