train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.91764706	0.81818181	0.96416573	0.83333333	0.36815182	0.62548339	0.63333333	4.0	1.0	1.0	5.0	29.96431494	15.0	0.0	1.0
1.0	0.72727275	1.0	0.9	0.13677266	0.45224676	0.51639778	2.0	3.0	0.0	6.0	43.01960993	47.0	1.0	1.0
0.85882354	0.63636363	0.95072788	0.63333333	0.40922474	0.66145915	0.26666667	3.0	2.0	2.0	4.0	54.86481428	10.0	2.0	1.0
0.90804595	0.66666669	0.96100427	0.7	0.35851896	0.6610173	0.47809144	4.0	0.0	3.0	2.0	67.90861869	14.0	3.0	1.0
1.0	1.0	1.0	1.0	0.00275961	0.14803839	1.0	4.0	0.0	0.0	5.0	89.15736318	500.0	4.0	1.0
0.93103451	0.55555558	0.97809829	0.55	0.3275578	0.80820572	0.1	2.0	2.0	2.0	3.0	102.72298384	17.0	5.0	1.0
0.83908045	0.77777779	0.9465812	0.65	0.41641324	0.66964579	0.5976143	2.0	2.0	0.0	5.0	115.97976041	10.0	6.0	1.0
0.89655173	0.55555558	0.96367521	0.5	0.36612516	0.7436235	0.1	2.0	2.0	2.0	3.0	130.27595162	12.0	7.0	1.0
0.93103451	0.66666669	0.98771368	0.85	0.32445537	0.52874792	0.31622777	2.0	2.0	1.0	4.0	142.97010064	16.0	8.0	1.0
0.79310346	0.33333334	0.87606838	0.3	0.50772381	1.03037715	-0.35	1.0	3.0	3.0	2.0	156.64791965	6.0	9.0	1.0
1.0	0.63636363	1.0	0.83333333	0.14781076	0.50068593	0.26666667	3.0	2.0	2.0	4.0	170.13974023	49.0	0.0	2.0
0.7647059	0.54545456	0.88633819	0.46666667	0.49770441	0.85866159	0.1	3.0	2.0	3.0	3.0	183.61524177	6.0	1.0	2.0
0.94117647	0.63636363	0.99328108	0.6	0.27230819	0.75803381	0.3105295	4.0	1.0	3.0	3.0	195.91515636	20.0	2.0	2.0
1.0	0.77777779	1.0	0.9	0.08432984	0.45888063	0.5976143	2.0	2.0	0.0	5.0	211.02070689	68.0	3.0	2.0
1.0	0.66666669	1.0	0.8	0.15325901	0.50537175	0.35	3.0	1.0	2.0	3.0	227.8030076	40.0	4.0	2.0
0.85057473	0.44444445	0.95886752	0.6	0.39020259	0.82998806	-0.31622777	0.0	4.0	1.0	4.0	242.30463505	9.0	5.0	2.0
0.85057473	0.55555558	0.92735043	0.55	0.44887287	0.84274083	0.1	2.0	2.0	2.0	3.0	256.47604465	7.0	6.0	2.0
0.96551722	0.8888889	0.9957265	0.85	0.24632914	0.48143899	0.79056942	3.0	1.0	0.0	5.0	270.92903352	28.0	7.0	2.0
0.89655173	0.55555558	0.94391026	0.7	0.4151409	0.66567755	0.1	2.0	2.0	2.0	3.0	285.55634069	9.0	8.0	2.0
0.83908045	0.66666669	0.90598291	0.7	0.4626149	0.64475095	0.35	3.0	1.0	2.0	3.0	300.11614895	7.0	9.0	2.0
0.89411765	0.63636363	0.96472564	0.6	0.36577836	0.65772891	0.3105295	4.0	1.0	3.0	3.0	312.33266664	15.0	0.0	3.0
