,x
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
36,1
37,1
38,1
39,1
40,1
42,1
43,1
44,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
100,0
101,0
103,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
127,0
128,0
130,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
161,0
162,0
163,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
195,0
196,0
197,0
198,0
199,0
201,0
202,0
203,0
204,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
263,1
264,1
265,1
266,1
267,1
269,1
270,1
271,1
273,1
275,1
277,1
278,1
279,1
280,1
282,1
283,1
284,1
285,1
286,1
287,1
289,1
290,1
291,1
292,1
293,1
294,1
296,1
297,1
298,1
299,1
300,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
311,1
312,1
313,1
314,1
315,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
339,1
340,1
342,1
343,1
