,x
0,0
1,0
2,0
3,1
4,0
5,1
6,0
7,0
8,0
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,0
27,1
28,0
29,1
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
75,1
76,0
77,1
78,1
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,1
96,0
97,0
98,0
100,1
101,0
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,0
117,0
118,0
119,1
120,1
