,x
0,1
1,0
2,0
3,1
4,1
5,1
6,1
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
28,0
29,1
30,0
31,1
32,1
33,0
34,1
35,1
36,0
37,1
38,0
39,1
40,1
41,1
42,0
44,0
45,1
47,1
48,1
49,0
51,1
52,0
53,1
54,0
55,0
57,0
58,1
59,1
60,1
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,1
87,1
88,1
89,1
90,1
92,1
93,1
94,1
95,1
97,0
99,1
100,1
101,1
102,0
103,0
104,1
105,0
108,1
109,1
111,1
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,1
122,1
123,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0
137,1
138,1
139,0
140,0
141,1
142,0
143,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,0
154,1
155,0
156,1
157,1
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,1
166,1
167,0
169,1
170,1
171,1
172,1
174,1
175,1
176,0
177,0
178,0
179,1
180,1
182,0
183,0
184,0
185,1
187,0
188,1
189,0
190,1
191,0
193,1
194,0
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,1
206,0
207,0
208,1
209,1
210,1
211,1
212,1
214,1
215,1
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,1
227,1
228,0
230,0
232,0
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,0
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,0
251,1
252,1
