filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.919	0.818	0.986	0.833	0.181	0.382	0.389	8.0	1.0	1.0	1.0	42.603	41.0	0	1
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.98	0.727	0.998	0.889	0.109	0.368	-0.149	8.0	1.0	2.0	0.0	60.91	75.0	0	2
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.929	0.818	0.976	0.889	0.192	0.277	0.389	8.0	1.0	1.0	1.0	79.11	48.0	0	3
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.97	0.909	0.989	1.0	0.142	0.119	0.671	9.0	0.0	1.0	1.0	96.771	72.0	0	4
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	1.0	0.818	1.0	0.889	0.061	0.245	0.389	8.0	1.0	1.0	1.0	118.575	286.0	0	5
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.97	0.818	0.997	0.958	0.119	0.202	0.542	7.0	1.0	1.0	2.0	137.454	101.0	0	6
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.99	0.818	1.0	0.917	0.073	0.441	0.516	8.0	0.0	2.0	1.0	157.384	151.0	0	7
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.98	0.909	0.997	0.958	0.132	0.223	0.77	8.0	0.0	1.0	2.0	174.532	74.0	0	8
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.929	0.909	0.973	0.708	0.252	0.604	0.77	8.0	0.0	1.0	2.0	190.69	15.0	0	9
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	0.96	0.909	0.995	1.0	0.132	0.172	0.77	8.0	0.0	1.0	2.0	208.369	75.0	1	0
