time	train_acc	val_acc	sd_acc10	val_auc	sd_auc10	val_tn	val_fn	val_fp	val_tp	val_precision	sd_precision10	val_recall	sd_recall10	val_f1	sd_f1_10	val_mmc	sd_mcc_10	epst	train_acc_a	sd_acc	val_acc_a	sd_acc	train_auc_a	sd_auc	val_auc_a	sd_auc	va_mmc_a	sd_mmc
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_160858c255.0di-1ch1dfc0.0file_sum_ok.txt	2481.7	0.955	0.852	0.009	0.895	0.013	8.08	1.21	0.42	1.29	0.659	0.059	0.51	0.034	0.55	0.042	0.506	0.037	141.55	0.955050528049469	0.04461342841386795	0.8518181902170181	0.08197460274656063	0.9884987058915704	0.015011464596676839	0.8954166666666667	0.1279505926780594	0.5058512272512266	0.3245699178411954
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/obegenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_165027c255.0di-1ch1dfc0.0file_sum_ok.txt	4017.6	0.718	0.635	0.014	0.576	0.031	1.37	1.69	7.53	14.71	0.662	0.01	0.897	0.016	0.76	0.01	0.068	0.044	30.32	0.7176505923271179	0.06536402553319931	0.6353692358732224	0.06644461987215014	0.7688910482548873	0.08543952258668036	0.5764317810457517	0.11290577841883873	0.06803583760468489	0.21526151516437372
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_151844c255.0di-1ch1dfc0.0file_sum_ok.txt	3007.9	0.941	0.811	0.017	0.865	0.013	6.37	1.36	0.93	3.44	0.814	0.03	0.714	0.035	0.743	0.025	0.615	0.037	126.26	0.9406599998474121	0.05480416119098663	0.8108333337306977	0.10451075425336613	0.9710280262373285	0.03360664711409529	0.8653303571428573	0.111653351505557	0.6149324342447211	0.22195104861326637
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/wt2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_193308c255.0di-1ch1dfc0.0file_sum_ok.txt	2319.1	0.813	0.645	0.031	0.692	0.039	2.65	1.76	1.65	3.54	0.697	0.038	0.67	0.044	0.666	0.039	0.3	0.061	87.83	0.8134562969207764	0.10914277285337448	0.6451111196726561	0.16887295042930361	0.8845477736382691	0.07925279401071379	0.6915833333333333	0.1961342192082872	0.30026128858545803	0.35903019703992045
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/t2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_175730c255.0di-1ch1dfc0.0file_sum_ok.txt	5727.7	0.648	0.61	0.024	0.673	0.022	12.64	8.66	4.76	8.34	0.632	0.028	0.491	0.031	0.545	0.029	0.224	0.049	127.31	0.6484265923500061	0.14562951028347015	0.6098991724848747	0.08763167470627907	0.8347784043662649	0.09908817187733474	0.673356401384083	0.10223508779981326	0.22382505575366338	0.18022974153008184
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_gray/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0gray_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200225_140421c255.0di-1ch1dfc0.0file_sum_ok.txt	4457.4	0.95	0.872	0.01	0.941	0.005	10.11	1.69	1.29	10.11	0.893	0.018	0.857	0.01	0.87	0.01	0.752	0.021	200.61	0.9500855803489685	0.04264231026172638	0.8716304332017899	0.06560924398318209	0.987630014965208	0.012746398533713248	0.9408333333333333	0.05208177071423876	0.7520003304627078	0.12856001419223312
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_164742c255.0di-1ch3dfc0.0file_sum_ok.txt	2418.1	0.976	0.856	0.011	0.895	0.013	8.08	1.16	0.42	1.34	0.688	0.066	0.532	0.051	0.575	0.046	0.531	0.044	99.96	0.9763635396957397	0.02990376390516758	0.8563636493682861	0.08545454852124604	0.9952444149360105	0.008545456237885045	0.8954166666666667	0.11012505167387136	0.5312315892194206	0.3219004248770787
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_140050c255.0di-1ch3dfc0.0file_sum_ok.txt	3786.6	0.97	0.855	0.011	0.936	0.007	9.88	1.84	1.52	9.96	0.875	0.013	0.844	0.012	0.855	0.01	0.718	0.02	67.89	0.970496654510498	0.032917045056819916	0.8550905734300613	0.06603627444261065	0.9949684577047492	0.00727889588370269	0.9356313131313132	0.05264045616968451	0.7184110317219773	0.131029935985361
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/t2dgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_183229c255.0di-1ch3dfc0.0file_sum_ok.txt	5004.8	0.713	0.619	0.015	0.67	0.015	12.97	8.67	4.43	8.33	0.649	0.02	0.49	0.024	0.551	0.024	0.244	0.031	37.68	0.7132639288902283	0.14572356641292572	0.6192353048920631	0.08992844184403327	0.9117471891582045	0.05970141443413683	0.6700211457131872	0.10693193886553184	0.2441239651258709	0.18431258627436617
/Users/dcongtinh/gene-abundance/experiment/results/excute_time//fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow/colgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_155954c255.0di-1ch3dfc0.0file_sum_ok.txt	2861.2	0.966	0.785	0.024	0.837	0.02	6.22	1.53	1.08	3.27	0.772	0.043	0.679	0.035	0.706	0.034	0.555	0.053	65.06	0.9663668274879456	0.040107131004333496	0.7846153867244721	0.11989750096513425	0.9883051444679352	0.017081333713830575	0.8370982142857143	0.1307747941894026	0.5546955769034478	0.26364377405556066
