train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.92307693	0.83333331	0.98381428	0.85416667	0.23268348	0.43233089	0.70710678	12.0	0.0	4.0	8.0	94.40490007	74.0	0.0	1.0
0.93269229	0.875	0.98538661	0.95833333	0.2070501	0.27390965	0.75261781	10.0	2.0	1.0	11.0	126.64561725	103.0	1.0	1.0
0.88038278	0.73913044	0.95583654	0.75	0.34964548	0.57966504	0.47727273	9.0	3.0	3.0	8.0	156.09062505	21.0	2.0	1.0
0.97607654	0.86956519	0.99037933	0.9469697	0.20006694	0.28219839	0.74047959	11.0	1.0	2.0	9.0	190.46708298	117.0	3.0	1.0
0.99043059	0.82608694	0.99761861	0.89393939	0.10686155	0.39361807	0.66414149	10.0	1.0	3.0	9.0	230.50111437	224.0	4.0	1.0
1.0	0.95652175	1.0	0.99242424	0.02342628	0.11228406	0.91666667	11.0	0.0	1.0	11.0	275.84368253	500.0	5.0	1.0
0.88516748	0.86956519	0.96766807	0.90909091	0.30103416	0.45157718	0.74242424	10.0	1.0	2.0	10.0	325.90068936	41.0	6.0	1.0
0.9665072	0.9130435	0.99230628	0.93181818	0.17909775	0.28721292	0.83971912	11.0	0.0	2.0	10.0	359.91091442	142.0	7.0	1.0
0.99043059	0.82608694	0.99835135	0.93181818	0.09701205	0.40964331	0.66414149	10.0	1.0	3.0	9.0	399.95939565	267.0	8.0	1.0
0.99043059	0.73913044	0.99862612	0.88636364	0.11712559	0.40707559	0.48856385	9.0	2.0	4.0	8.0	437.13497567	216.0	9.0	1.0
1.0	0.83333331	1.0	0.95138889	0.03031356	0.28704892	0.6761234	11.0	1.0	3.0	9.0	482.37484312	433.0	0.0	2.0
0.92788464	0.83333331	0.98122457	0.88888889	0.22293274	0.45179858	0.70710678	12.0	0.0	4.0	8.0	517.57937312	89.0	1.0	2.0
1.0	0.86956519	1.0	0.96969697	0.06053849	0.22304895	0.74047959	11.0	1.0	2.0	9.0	562.249439	329.0	2.0	2.0
0.94736844	0.86956519	0.98790544	0.96212121	0.19549812	0.36664957	0.74242424	10.0	2.0	1.0	10.0	596.06858325	113.0	3.0	2.0
0.92822969	0.86956519	0.9864444	0.90151515	0.23764794	0.37953765	0.74047959	9.0	2.0	1.0	11.0	628.13979101	85.0	4.0	2.0
0.88038278	0.86956519	0.95658546	0.88636364	0.33173125	0.429397	0.76277007	8.0	3.0	0.0	12.0	660.95606732	41.0	5.0	2.0
0.96172249	0.82608694	0.98937534	0.90151515	0.1776854	0.40757386	0.65151515	9.0	2.0	2.0	10.0	695.996351	130.0	6.0	2.0
1.0	0.86956519	1.0	0.93939394	0.04383565	0.25594968	0.74242424	10.0	1.0	2.0	10.0	742.73500109	390.0	7.0	2.0
0.97129184	0.78260869	0.99074922	0.93939394	0.1917685	0.35169522	0.58002308	7.0	4.0	1.0	11.0	779.35965347	136.0	8.0	2.0
0.89952153	0.69565219	0.95750137	0.93181818	0.32195328	0.49690003	0.44411739	10.0	1.0	6.0	6.0	812.7901032	30.0	9.0	2.0
0.87980771	0.875	0.95717721	0.89583333	0.33193507	0.40397552	0.77459667	9.0	3.0	0.0	12.0	845.86151695	27.0	0.0	3.0
1.0	0.875	1.0	0.98611111	0.02593521	0.13594544	0.75261781	10.0	2.0	1.0	11.0	898.50082588	500.0	1.0	3.0
0.90909094	0.73913044	0.98533993	0.89393939	0.24991885	0.48289711	0.47727273	9.0	3.0	3.0	8.0	935.32235599	97.0	2.0	3.0
0.95215309	0.9130435	0.98891332	0.87121212	0.18783122	0.40407385	0.83743579	12.0	0.0	2.0	9.0	969.6773963	111.0	3.0	3.0
0.9952153	0.9130435	1.0	0.90151515	0.06033228	0.40777876	0.83971912	11.0	0.0	2.0	10.0	1013.32180452	338.0	4.0	3.0
0.94258374	0.95652175	0.98827624	1.0	0.19255282	0.17866937	0.91605722	10.0	1.0	0.0	12.0	1049.95936418	113.0	5.0	3.0
1.0	0.86956519	1.0	0.97727273	0.04187555	0.24879065	0.76764947	11.0	0.0	3.0	9.0	1100.50509453	411.0	6.0	3.0
0.94258374	0.78260869	0.98616963	0.84848485	0.21660472	0.47477189	0.58930667	10.0	1.0	4.0	8.0	1135.06292558	93.0	7.0	3.0
0.89952153	0.82608694	0.96492032	0.91666667	0.29665909	0.33627495	0.66414149	10.0	1.0	3.0	9.0	1168.68912578	37.0	8.0	3.0
1.0	0.82608694	1.0	0.96969697	0.05158246	0.28997924	0.66414149	10.0	1.0	3.0	9.0	1214.71349311	371.0	9.0	3.0
0.91826922	0.79166669	0.97623011	0.875	0.25841598	0.43261211	0.58536941	10.0	2.0	3.0	9.0	1248.07305741	49.0	0.0	4.0
1.0	0.91666669	1.0	0.95138889	0.05414833	0.26115319	0.84515425	12.0	0.0	2.0	10.0	1293.48148656	339.0	1.0	4.0
0.89952153	0.82608694	0.97461975	0.92424242	0.26532601	0.31980286	0.65909298	11.0	1.0	3.0	8.0	1330.31333375	65.0	2.0	4.0
0.86602873	0.82608694	0.95886018	0.89393939	0.34224513	0.44059089	0.65151515	10.0	2.0	2.0	9.0	1362.37769032	33.0	3.0	4.0
1.0	0.95652175	1.0	1.0	0.02849523	0.09625326	0.91666667	11.0	0.0	1.0	11.0	1417.32167459	500.0	4.0	4.0
0.91866028	0.78260869	0.9831471	0.93939394	0.22298331	0.36456851	0.63327851	11.0	0.0	5.0	7.0	1452.40230775	89.0	5.0	4.0
