train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9537037	0.69230771	0.98855098	0.9	0.21966831	0.36276245	0.35	6.0	2.0	2.0	3.0	56.70250034	36.0	0.0	1.0
0.97247708	0.91666669	0.98426573	0.84375	0.213811	0.41611123	0.81649658	8.0	0.0	1.0	3.0	79.04193687	45.0	1.0	1.0
1.0	0.91666669	1.0	0.90625	0.06928584	0.32103261	0.83666003	7.0	1.0	0.0	4.0	102.64328194	142.0	2.0	1.0
0.83486241	0.66666669	0.90274841	0.45714286	0.43980796	0.71395797	0.29277002	6.0	1.0	3.0	2.0	134.60552597	8.0	3.0	1.0
0.94495416	0.83333331	0.96793517	0.82857143	0.27553793	0.51885468	0.68313005	7.0	0.0	2.0	3.0	156.23570728	27.0	4.0	1.0
1.0	0.91666669	1.0	0.97142857	0.07311025	0.24751115	0.83666003	7.0	0.0	1.0	4.0	181.65671444	133.0	5.0	1.0
0.91743118	0.75	0.94679352	0.8	0.34162664	0.52042925	0.52915026	7.0	0.0	3.0	2.0	204.07694411	18.0	6.0	1.0
1.0	0.91666669	1.0	0.97142857	0.0063552	0.25939015	0.84515425	6.0	1.0	0.0	5.0	233.99199963	500.0	7.0	1.0
1.0	0.75	1.0	1.0	0.03689944	0.36806455	0.5976143	4.0	3.0	0.0	5.0	258.0963943	180.0	8.0	1.0
0.92660552	0.66666669	0.96018323	0.82857143	0.31167908	0.44288555	0.31428571	5.0	2.0	2.0	3.0	277.10009766	22.0	9.0	1.0
1.0	0.92307693	1.0	1.0	0.06758834	0.23479867	0.84327404	8.0	0.0	1.0	4.0	303.63108301	157.0	0.0	2.0
0.89908254	0.83333331	0.96013986	0.71875	0.31998349	0.5676195	0.63245553	8.0	0.0	2.0	2.0	326.43750477	17.0	1.0	2.0
0.89908254	0.66666669	0.95314685	0.875	0.30895973	0.49082565	0.15811388	7.0	1.0	3.0	1.0	347.18798876	22.0	2.0	2.0
1.0	0.83333331	1.0	0.77142857	0.02732441	0.55902338	0.65714286	6.0	1.0	1.0	4.0	373.15308905	206.0	3.0	2.0
1.0	0.91666669	1.0	1.0	0.00916071	0.20243442	0.84515425	6.0	1.0	0.0	5.0	407.07730484	438.0	4.0	2.0
0.97247708	0.83333331	0.98837209	0.85714286	0.18197219	0.44370905	0.68313005	7.0	0.0	2.0	3.0	426.97166634	50.0	5.0	2.0
0.99082571	0.91666669	1.0	0.94285714	0.10593083	0.37548724	0.84515425	6.0	1.0	0.0	5.0	455.90358233	129.0	6.0	2.0
1.0	0.91666669	1.0	1.0	0.03736629	0.1743197	0.84515425	6.0	1.0	0.0	5.0	481.46158242	225.0	7.0	2.0
0.95412844	0.83333331	0.98625793	0.82857143	0.21854146	0.473196	0.65714286	6.0	1.0	1.0	4.0	506.05313253	49.0	8.0	2.0
0.86238533	0.41666666	0.91226216	0.28571429	0.44407748	0.88596874	-0.23904572	4.0	3.0	4.0	1.0	530.58367562	6.0	9.0	2.0
0.97222221	0.84615386	0.99928444	0.95	0.1441466	0.306959	0.675	7.0	1.0	1.0	4.0	553.30813169	71.0	0.0	3.0
0.98165137	0.75	0.99335664	0.6875	0.17839453	0.64282978	0.40824829	7.0	1.0	2.0	2.0	575.30243325	55.0	1.0	3.0
0.88990825	0.66666669	0.9486014	0.625	0.41541946	0.72661847	0.15811388	7.0	1.0	3.0	1.0	601.14270949	8.0	2.0	3.0
0.96330273	0.66666669	0.99260042	0.82857143	0.1806898	0.46799257	0.29277002	6.0	1.0	3.0	2.0	626.54932857	56.0	3.0	3.0
0.91743118	0.66666669	0.93410853	0.62857143	0.37731411	0.62115675	0.29277002	6.0	1.0	3.0	2.0	649.40134621	11.0	4.0	3.0
1.0	0.91666669	1.0	1.0	0.00826256	0.16388947	0.83666003	7.0	0.0	1.0	4.0	682.99560571	500.0	5.0	3.0
0.92660552	0.66666669	0.96194503	0.8	0.31580183	0.58961368	0.35675303	7.0	0.0	4.0	1.0	706.23113322	18.0	6.0	3.0
1.0	0.91666669	1.0	0.94285714	0.02086851	0.27747217	0.84515425	6.0	1.0	0.0	5.0	734.71672034	321.0	7.0	3.0
0.92660552	0.83333331	0.9756871	0.94285714	0.25859868	0.33958077	0.68313005	7.0	0.0	2.0	3.0	763.62182927	28.0	8.0	3.0
0.98165137	0.66666669	0.9982382	0.88571429	0.14213171	0.38685265	0.37142857	4.0	3.0	1.0	4.0	789.15372229	75.0	9.0	3.0
0.85185188	0.61538464	0.92021467	0.65	0.41480984	0.71722806	0.21957752	5.0	3.0	2.0	3.0	810.84675193	10.0	0.0	4.0
1.0	0.91666669	1.0	0.96875	0.06664897	0.23363276	0.81649658	8.0	0.0	1.0	3.0	838.35581541	151.0	1.0	4.0
0.96330273	0.91666669	0.9958042	0.9375	0.17991149	0.31399146	0.81649658	8.0	0.0	1.0	3.0	867.18053889	57.0	2.0	4.0
0.93577981	0.83333331	0.95701198	0.8	0.3367236	0.60307628	0.65714286	6.0	1.0	1.0	4.0	891.12946796	16.0	3.0	4.0
1.0	0.91666669	1.0	0.91428571	0.0711263	0.32906589	0.84515425	6.0	1.0	0.0	5.0	921.02032113	143.0	4.0	4.0
0.97247708	0.58333331	0.99436223	0.8	0.15919824	0.53695971	0.16903085	4.0	3.0	2.0	3.0	950.44833946	70.0	5.0	4.0
1.0	0.83333331	1.0	1.0	0.01089896	0.22395979	0.68313005	7.0	0.0	2.0	3.0	983.50983477	412.0	6.0	4.0
0.96330273	0.91666669	0.98167724	0.8	0.21821851	0.60160571	0.83666003	7.0	0.0	1.0	4.0	1008.23094726	48.0	7.0	4.0
0.90825689	0.66666669	0.9496124	0.77142857	0.3349804	0.57134032	0.31428571	5.0	2.0	2.0	3.0	1033.32684684	17.0	8.0	4.0
1.0	0.91666669	1.0	1.0	0.01186236	0.23770623	0.84515425	6.0	1.0	0.0	5.0	1065.58830929	500.0	9.0	4.0
0.92592591	0.61538464	0.97602862	0.7	0.26035218	0.67916065	0.10112998	7.0	1.0	4.0	1.0	1090.79738641	39.0	0.0	5.0
1.0	0.91666669	1.0	0.84375	0.04925476	0.36798096	0.81649658	8.0	0.0	1.0	3.0	1117.99846745	181.0	1.0	5.0
0.92660552	0.75	0.96048951	0.84375	0.31576324	0.47968015	0.47809144	6.0	2.0	1.0	3.0	1140.69965148	20.0	2.0	5.0
1.0	1.0	1.0	1.0	0.00706394	0.04330786	1.0	7.0	0.0	0.0	5.0	1181.16338062	500.0	3.0	5.0
1.0	0.91666669	1.0	1.0	0.02133433	0.22857201	0.83666003	7.0	0.0	1.0	4.0	1213.54750657	328.0	4.0	5.0
0.89908254	0.58333331	0.93375617	0.74285714	0.35679486	0.61743778	0.11952286	5.0	2.0	3.0	2.0	1238.01862311	21.0	5.0	5.0
0.90825689	0.75	0.94644116	0.65714286	0.37352105	0.71985579	0.52915026	7.0	0.0	3.0	2.0	1266.44883227	14.0	6.0	5.0
1.0	0.91666669	1.0	0.97142857	0.03332568	0.22454536	0.84515425	6.0	1.0	0.0	5.0	1295.6598146	237.0	7.0	5.0
