train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.969697	0.81818181	0.99885584	0.83333333	0.13845168	0.36271247	0.38888889	8.0	1.0	1.0	1.0	45.3026545	83.0	0.0	1.0
0.94949496	0.72727275	0.97883295	0.61111111	0.22685122	0.44955695	-0.1490712	8.0	1.0	2.0	0.0	61.19311166	31.0	1.0	1.0
0.95959598	0.81818181	0.99141876	0.94444444	0.15998353	0.24123582	0.38888889	8.0	1.0	1.0	1.0	78.555511	73.0	2.0	1.0
1.0	0.90909094	1.0	1.0	0.02367387	0.1619851	0.67082039	9.0	0.0	1.0	1.0	101.89793301	336.0	3.0	1.0
1.0	0.81818181	1.0	0.88888889	0.03419694	0.28715163	0.38888889	8.0	1.0	1.0	1.0	126.71335363	466.0	4.0	1.0
1.0	0.81818181	1.0	0.95833333	0.03590541	0.17364281	0.54166667	7.0	1.0	1.0	2.0	149.296278	309.0	5.0	1.0
0.9191919	0.72727275	0.97815821	0.83333333	0.21552312	0.49897221	0.24056261	7.0	1.0	2.0	1.0	166.53793573	41.0	6.0	1.0
1.0	0.90909094	1.0	0.95833333	0.0726144	0.25768378	0.76980036	8.0	0.0	1.0	2.0	186.49267149	172.0	7.0	1.0
0.90909094	0.81818181	0.98406139	0.66666667	0.24798974	0.57903093	0.51639778	8.0	0.0	2.0	1.0	203.32867599	21.0	8.0	1.0
0.97979796	0.90909094	1.0	1.0	0.11130013	0.17321657	0.76980036	8.0	0.0	1.0	2.0	221.40943384	97.0	9.0	1.0
1.0	0.90909094	1.0	0.94444444	0.04169677	0.25577691	0.67082039	9.0	0.0	1.0	1.0	245.05001354	237.0	0.0	2.0
0.969697	0.81818181	0.99656751	0.88888889	0.1399625	0.31812105	0.38888889	8.0	1.0	1.0	1.0	265.08391261	113.0	1.0	2.0
0.95959598	0.90909094	1.0	0.83333333	0.14093567	0.29223678	0.67082039	9.0	0.0	1.0	1.0	283.26029396	105.0	2.0	2.0
0.97979796	0.90909094	0.99828375	0.77777778	0.13741001	0.39059389	0.67082039	9.0	0.0	1.0	1.0	301.4748323	89.0	3.0	2.0
0.97979796	0.90909094	0.99599542	0.94444444	0.14428986	0.22244214	0.67082039	9.0	0.0	1.0	1.0	322.4423759	84.0	4.0	2.0
1.0	1.0	1.0	1.0	0.01348479	0.05066811	1.0	8.0	0.0	0.0	3.0	351.85601401	500.0	5.0	2.0
0.94949496	0.72727275	0.99409681	1.0	0.18184861	0.40362176	0.0	8.0	0.0	3.0	0.0	375.45661259	57.0	6.0	2.0
