train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.67841411	0.69230771	0.73911565	0.41176471	0.60254513	0.68984335	0.27487371	1.0	8.0	0.0	17.0	100.59017301	11.0	0.0	1.0
0.69162995	0.61538464	0.75918367	0.48366013	0.58785724	0.70725293	-0.14552138	0.0	9.0	1.0	16.0	130.1564393	13.0	1.0	1.0
0.63436121	0.61538464	0.68307823	0.60784314	0.62863703	0.64668512	-0.14552138	0.0	9.0	1.0	16.0	159.68958545	6.0	2.0	1.0
0.74561405	0.72000003	0.8377425	0.58088235	0.53693207	0.6206309	0.27443022	2.0	6.0	1.0	16.0	192.40527153	24.0	3.0	1.0
0.85087717	0.72000003	0.946875	0.73611111	0.43364516	0.57817519	0.39317855	2.0	7.0	0.0	16.0	224.42001534	43.0	4.0	1.0
0.67543858	0.63999999	0.75481419	0.55555556	0.59592339	0.64783176	0.0	0.0	9.0	0.0	16.0	259.51390171	9.0	5.0	1.0
0.66666669	0.60000002	0.71047297	0.49305556	0.6084492	0.68986539	-0.15309311	0.0	9.0	1.0	15.0	296.94372272	8.0	6.0	1.0
0.83771932	0.72000003	0.94484797	0.70833333	0.40416952	0.59179322	0.35902456	4.0	5.0	2.0	14.0	348.26462555	69.0	7.0	1.0
0.75877196	0.63999999	0.84695946	0.51388889	0.5239497	0.72293385	0.08600781	1.0	8.0	1.0	15.0	382.60135198	21.0	8.0	1.0
0.92543858	0.68000001	0.98226351	0.86111111	0.30076966	0.48992867	0.25	3.0	6.0	2.0	14.0	423.73250723	143.0	9.0	1.0
0.77533042	0.69230771	0.87916667	0.75816993	0.50374556	0.5727041	0.24331548	2.0	7.0	1.0	16.0	468.60480547	35.0	0.0	2.0
0.74449337	0.65384614	0.84719388	0.56862745	0.53336481	0.66139782	0.09335201	1.0	8.0	1.0	16.0	498.9828546	25.0	1.0	2.0
0.80616742	0.61538464	0.90586735	0.64705882	0.46167156	0.59935694	0.05522779	2.0	7.0	3.0	14.0	532.95936465	63.0	2.0	2.0
0.85526317	0.63999999	0.91458806	0.71323529	0.44224698	0.57682528	0.08574929	2.0	6.0	3.0	14.0	571.25588846	49.0	3.0	2.0
0.67105263	0.63999999	0.72922297	0.45833333	0.60079269	0.67881193	0.0	0.0	9.0	0.0	16.0	607.94846106	9.0	4.0	2.0
0.67543858	0.63999999	0.73986486	0.44444444	0.59173425	0.70642952	0.0	0.0	9.0	0.0	16.0	650.54411054	11.0	5.0	2.0
0.85087717	0.68000001	0.92576014	0.64583333	0.42308761	0.62222583	0.27468517	4.0	5.0	3.0	13.0	694.52765274	60.0	6.0	2.0
0.72368419	0.60000002	0.82238176	0.61111111	0.54349519	0.65329263	-0.02051525	1.0	8.0	2.0	14.0	733.48801279	21.0	7.0	2.0
0.79385966	0.72000003	0.88859797	0.625	0.4821056	0.64288277	0.35460407	3.0	6.0	1.0	15.0	765.031147	38.0	8.0	2.0
0.68421054	0.60000002	0.72280405	0.55555556	0.60640207	0.6561624	-0.15309311	0.0	9.0	1.0	15.0	809.22615743	9.0	9.0	2.0
0.70484579	0.61538464	0.81241497	0.60784314	0.55427395	0.62714552	-0.00973262	1.0	8.0	2.0	15.0	840.12228847	20.0	0.0	3.0
0.67400879	0.65384614	0.68554422	0.55555556	0.61693472	0.66932528	0.0	0.0	9.0	0.0	17.0	875.91735625	8.0	1.0	3.0
0.83700442	0.76923078	0.90748299	0.63398693	0.4407543	0.63154986	0.49636359	3.0	6.0	0.0	17.0	911.31608176	51.0	2.0	3.0
0.86403507	0.63999999	0.94196691	0.61764706	0.3855416	0.6174493	0.08574929	2.0	6.0	3.0	14.0	948.11922193	96.0	3.0	3.0
0.70614034	0.63999999	0.77119932	0.42361111	0.57811609	0.74610131	0.12729377	2.0	7.0	2.0	14.0	981.03638411	11.0	4.0	3.0
0.90789473	0.72000003	0.96672297	0.78472222	0.3611589	0.55058085	0.35902456	4.0	5.0	2.0	14.0	1021.33348775	97.0	5.0	3.0
0.71052629	0.60000002	0.85092905	0.60416667	0.53309923	0.6691644	-0.15309311	0.0	9.0	1.0	15.0	1065.09113741	22.0	6.0	3.0
0.65350878	0.68000001	0.69341216	0.54861111	0.61830331	0.6592377	0.23592536	2.0	7.0	1.0	15.0	1103.22115326	8.0	7.0	3.0
0.7368421	0.63999999	0.79282095	0.5625	0.55757905	0.65011962	0.0	0.0	9.0	0.0	16.0	1136.13475084	17.0	8.0	3.0
0.70614034	0.63999999	0.79391892	0.58333333	0.57217576	0.6609097	0.0	0.0	9.0	0.0	16.0	1171.37089705	16.0	9.0	3.0
0.68722469	0.57692307	0.75085034	0.53594771	0.59290258	0.67796494	-0.08618128	1.0	8.0	3.0	14.0	1210.15489006	8.0	0.0	4.0
0.91629958	0.61538464	0.97083333	0.64705882	0.34229365	0.62919728	0.05522779	2.0	7.0	3.0	14.0	1245.41600418	104.0	1.0	4.0
0.70484579	0.65384614	0.73707483	0.48366013	0.59982469	0.67379364	0.0	0.0	9.0	0.0	17.0	1277.46261573	11.0	2.0	4.0
0.74561405	0.72000003	0.86688503	0.63970588	0.5295803	0.59830516	0.27443022	2.0	6.0	1.0	16.0	1319.89689946	22.0	3.0	4.0
0.7280702	0.63999999	0.88412162	0.5625	0.5112324	0.68710273	0.12729377	2.0	7.0	2.0	14.0	1365.37664866	26.0	4.0	4.0
0.91666669	0.63999999	0.97939189	0.58333333	0.30816817	0.6639064	0.12729377	2.0	7.0	2.0	14.0	1402.18238091	124.0	5.0	4.0
0.66666669	0.60000002	0.68902027	0.50694444	0.62153158	0.66468344	-0.15309311	0.0	9.0	1.0	15.0	1439.17455506	6.0	6.0	4.0
