filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.923	0.833	0.984	0.854	0.233	0.432	0.707	12.0	0.0	4.0	8.0	94.405	74.0	0	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.933	0.875	0.985	0.958	0.207	0.274	0.753	10.0	2.0	1.0	11.0	126.646	103.0	0	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.88	0.739	0.956	0.75	0.35	0.58	0.477	9.0	3.0	3.0	8.0	156.091	21.0	0	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.976	0.87	0.99	0.947	0.2	0.282	0.74	11.0	1.0	2.0	9.0	190.467	117.0	0	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.99	0.826	0.998	0.894	0.107	0.394	0.664	10.0	1.0	3.0	9.0	230.501	224.0	0	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	1.0	0.957	1.0	0.992	0.023	0.112	0.917	11.0	0.0	1.0	11.0	275.844	500.0	0	6
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.885	0.87	0.968	0.909	0.301	0.452	0.742	10.0	1.0	2.0	10.0	325.901	41.0	0	7
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.967	0.913	0.992	0.932	0.179	0.287	0.84	11.0	0.0	2.0	10.0	359.911	142.0	0	8
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.99	0.826	0.998	0.932	0.097	0.41	0.664	10.0	1.0	3.0	9.0	399.959	267.0	0	9
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200224_203127c255.0di-1ch1dfc0.0file_sum_ok.txt	0.99	0.739	0.999	0.886	0.117	0.407	0.489	9.0	2.0	4.0	8.0	437.135	216.0	1	0
