train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.74757284	0.60000002	0.90858053	0.66339869	0.54181605	0.65796702	0.19934641	11.0	7.0	7.0	10.0	133.502913	106.0	0.0	1.0
0.68932039	0.54285717	0.88805095	0.56535948	0.58683127	0.72030261	0.08221556	14.0	4.0	12.0	5.0	178.91008997	45.0	1.0	1.0
0.56634307	0.54285717	0.8020781	0.5751634	0.68531381	0.68496097	0.08112739	12.0	6.0	10.0	7.0	222.81098294	50.0	2.0	1.0
0.71521038	0.60000002	0.88490866	0.67647059	0.59077814	0.62938785	0.19934641	11.0	7.0	7.0	10.0	269.50470567	73.0	3.0	1.0
0.7096774	0.64705884	0.90541609	0.79238754	0.5586168	0.57728365	0.31434731	14.0	3.0	9.0	8.0	320.41624689	124.0	4.0	1.0
0.83225805	0.67647058	0.96070105	0.69204152	0.42489106	0.68347486	0.35856858	13.0	4.0	7.0	10.0	373.36386251	180.0	5.0	1.0
0.42580646	0.44117647	0.69972108	0.47750865	0.77409418	0.7488999	-0.13867505	12.0	5.0	14.0	3.0	415.46368456	10.0	6.0	1.0
0.87096775	0.70588237	0.97681196	0.77508651	0.37973353	0.5757685	0.41176471	12.0	5.0	5.0	12.0	477.43465114	294.0	7.0	1.0
0.92580646	0.70588237	0.99437992	0.7716263	0.29099996	0.60215814	0.42365927	14.0	3.0	7.0	10.0	550.02512002	369.0	8.0	1.0
0.40645161	0.52941179	0.65667541	0.50865052	0.7932214	0.72462268	0.08304548	15.0	2.0	14.0	3.0	592.46643662	8.0	9.0	1.0
0.66343039	0.65714288	0.86760516	0.73856209	0.59128879	0.60627024	0.32720526	15.0	3.0	9.0	8.0	638.55823517	52.0	0.0	2.0
0.36893204	0.62857145	0.60943523	0.47385621	0.81732618	0.73589279	0.25671802	13.0	5.0	8.0	9.0	679.36500835	6.0	1.0	2.0
0.89320385	0.62857145	0.98001508	0.72222222	0.36811442	0.63543077	0.25671802	13.0	5.0	8.0	9.0	735.37895012	247.0	2.0	2.0
0.38187703	0.48571429	0.63482487	0.48039216	0.8008041	0.72377951	-0.04222003	12.0	6.0	12.0	5.0	777.98191428	7.0	3.0	2.0
0.69677418	0.52941179	0.87415178	0.65051903	0.58835987	0.66868183	0.05923489	10.0	7.0	9.0	8.0	833.09827471	87.0	4.0	2.0
0.69677418	0.7352941	0.88418467	0.74048443	0.5806071	0.58146605	0.47140452	13.0	4.0	5.0	12.0	883.94290996	96.0	5.0	2.0
0.82258064	0.67647058	0.95849465	0.74048443	0.44101831	0.60403568	0.36927447	14.0	3.0	8.0	9.0	938.82949686	195.0	6.0	2.0
0.65806454	0.61764705	0.8496732	0.71280277	0.60458052	0.62515339	0.23570226	11.0	6.0	7.0	10.0	981.39445662	51.0	7.0	2.0
0.42580646	0.61764705	0.69722326	0.67128028	0.77096372	0.64930925	0.24618298	13.0	4.0	9.0	8.0	1036.95935297	12.0	8.0	2.0
0.81612903	0.67647058	0.95824487	0.68512111	0.45353755	0.67380178	0.35355339	11.0	6.0	5.0	12.0	1092.62678075	150.0	9.0	2.0
0.56310678	0.62857145	0.81305514	0.63398693	0.68236309	0.70595234	0.27116307	15.0	3.0	10.0	7.0	1137.78518176	33.0	0.0	3.0
0.74433655	0.5714286	0.90070387	0.61437908	0.54225627	0.69826277	0.14002801	12.0	6.0	9.0	8.0	1187.79016542	98.0	1.0	3.0
0.46601942	0.54285717	0.7600553	0.58496732	0.73183052	0.69186645	0.08221556	14.0	4.0	12.0	5.0	1230.91602087	14.0	2.0	3.0
0.67637539	0.62857145	0.87032847	0.58169935	0.58337007	0.68374775	0.25573908	12.0	6.0	7.0	10.0	1274.5560658	53.0	3.0	3.0
0.4967742	0.5	0.78210732	0.4982699	0.71767517	0.73903869	0.0	10.0	7.0	10.0	7.0	1317.79118872	21.0	4.0	3.0
0.34516129	0.55882353	0.59468798	0.56747405	0.82575589	0.69348622	0.11952286	11.0	6.0	9.0	8.0	1357.44375873	7.0	5.0	3.0
0.83548385	0.61764705	0.96577994	0.65051903	0.41411342	0.72707414	0.23570226	11.0	6.0	7.0	10.0	1408.29161906	207.0	6.0	3.0
0.63548386	0.58823532	0.84655093	0.68512111	0.62526549	0.64742515	0.17770466	9.0	8.0	6.0	11.0	1456.05079484	60.0	7.0	3.0
0.81612903	0.64705884	0.95516423	0.75086505	0.4565751	0.59721345	0.30261377	13.0	4.0	8.0	9.0	1511.01071835	226.0	8.0	3.0
0.86129034	0.7352941	0.97256567	0.79238754	0.38049616	0.57629043	0.47140452	13.0	4.0	5.0	12.0	1571.5322535	336.0	9.0	3.0
0.82847899	0.65714288	0.95294956	0.68627451	0.44172373	0.64024858	0.31354672	13.0	5.0	7.0	10.0	1629.85009789	187.0	0.0	4.0
0.41100323	0.54285717	0.65979554	0.59477124	0.79675004	0.69235417	0.08221556	14.0	4.0	12.0	5.0	1674.96024394	10.0	1.0	4.0
0.57281554	0.48571429	0.7948299	0.54575163	0.6903276	0.71124192	-0.03718339	11.0	7.0	11.0	6.0	1720.54817605	30.0	2.0	4.0
0.3656958	0.34285715	0.63645886	0.35947712	0.80297817	0.75612946	-0.34065906	9.0	9.0	14.0	3.0	1766.56789231	8.0	3.0	4.0
0.87096775	0.79411763	0.97847717	0.84429066	0.35435027	0.49253855	0.58925565	14.0	3.0	4.0	13.0	1830.26100254	232.0	4.0	4.0
0.59354836	0.55882353	0.82989884	0.64705882	0.66094479	0.67656112	0.12909944	13.0	4.0	11.0	6.0	1873.81987357	39.0	5.0	4.0
0.69032258	0.58823532	0.89221931	0.71280277	0.56909326	0.62861107	0.18156826	12.0	5.0	9.0	8.0	1921.42666292	97.0	6.0	4.0
0.70322579	0.64705884	0.89400941	0.73356401	0.56137057	0.61794835	0.30261377	13.0	4.0	8.0	9.0	1970.15938616	84.0	7.0	4.0
0.55483872	0.58823532	0.80825111	0.62975779	0.6918042	0.67976068	0.2	14.0	3.0	11.0	6.0	2015.81692791	41.0	8.0	4.0
0.3548387	0.52941179	0.60830107	0.58823529	0.82132436	0.66950492	0.06052275	11.0	6.0	10.0	7.0	2058.73115849	8.0	9.0	4.0
0.68284792	0.71428573	0.89270153	0.76797386	0.56231419	0.57967163	0.42810458	13.0	5.0	5.0	12.0	2109.80265331	98.0	0.0	5.0
0.57281554	0.6857143	0.79851684	0.62418301	0.68882334	0.66405401	0.39770584	16.0	2.0	9.0	8.0	2155.33269477	23.0	1.0	5.0
0.82847899	0.6857143	0.96472264	0.73202614	0.42016485	0.59125138	0.38195106	15.0	3.0	8.0	9.0	2215.7685101	243.0	2.0	5.0
0.73462784	0.60000002	0.89957265	0.64379085	0.54045887	0.70169946	0.20327978	10.0	8.0	6.0	11.0	2265.99425125	104.0	3.0	5.0
0.34193549	0.5	0.60871737	0.57785467	0.81853062	0.71963964	0.0	14.0	3.0	14.0	3.0	2312.58366489	10.0	4.0	5.0
0.69999999	0.67647058	0.8959244	0.74394464	0.58274625	0.6215647	0.35355339	12.0	5.0	6.0	11.0	2363.59442925	78.0	5.0	5.0
0.94193548	0.67647058	0.99721077	0.76816609	0.23785141	0.58723853	0.35856858	13.0	4.0	7.0	10.0	2449.79422522	500.0	6.0	5.0
0.68709677	0.70588237	0.88851422	0.81314879	0.58150251	0.56482545	0.42365927	14.0	3.0	7.0	10.0	2501.70619512	76.0	7.0	5.0
0.81935483	0.64705884	0.96469756	0.71280277	0.4278386	0.63288301	0.30261377	13.0	4.0	8.0	9.0	2557.86297226	204.0	8.0	5.0
0.80645162	0.52941179	0.94558928	0.59861592	0.4544712	0.71162195	0.05882353	9.0	8.0	8.0	9.0	2614.82468915	183.0	9.0	5.0
0.72491908	0.62857145	0.91985085	0.76470588	0.53687567	0.56754139	0.26151604	14.0	4.0	9.0	8.0	2671.16197324	101.0	0.0	6.0
0.67313915	0.62857145	0.85562259	0.64705882	0.62220231	0.67919893	0.26151604	14.0	4.0	9.0	8.0	2761.7899878	55.0	1.0	6.0
0.43689319	0.60000002	0.66465561	0.5130719	0.79105384	0.72468503	0.20406349	14.0	4.0	10.0	7.0	2809.29705334	6.0	2.0	6.0
0.72815531	0.5714286	0.9147394	0.6372549	0.54145995	0.70363633	0.14108102	13.0	5.0	10.0	7.0	2863.87363195	93.0	3.0	6.0
0.88064516	0.55882353	0.97926814	0.6816609	0.33967058	0.75665157	0.11952286	11.0	6.0	9.0	8.0	2932.58753848	328.0	4.0	6.0
0.86774194	0.58823532	0.98168269	0.69550173	0.34998651	0.63460339	0.17770466	11.0	6.0	8.0	9.0	3006.28183126	261.0	5.0	6.0
0.71935487	0.70588237	0.90012905	0.76470588	0.54770659	0.58425957	0.41464421	13.0	4.0	6.0	11.0	3064.02431989	122.0	6.0	6.0
0.3935484	0.41176471	0.62986553	0.4982699	0.80497142	0.7206883	-0.18860838	10.0	7.0	13.0	4.0	3110.17107964	8.0	7.0	6.0
0.72258067	0.47058824	0.88435119	0.62283737	0.57810658	0.70862261	-0.06286946	11.0	6.0	12.0	5.0	3167.41549182	85.0	8.0	6.0
0.88064516	0.7647059	0.98101661	0.816609	0.35840665	0.53930249	0.54470478	11.0	6.0	2.0	15.0	3246.64252901	298.0	9.0	6.0
0.63754046	0.48571429	0.8510977	0.59150327	0.64818323	0.71814848	-0.04858192	13.0	5.0	13.0	4.0	3294.9991188	41.0	0.0	7.0
0.55016184	0.60000002	0.8222306	0.66666667	0.67310406	0.66093183	0.19943817	13.0	5.0	9.0	8.0	3344.34188628	43.0	1.0	7.0
0.77669901	0.71428573	0.92894252	0.71568627	0.49186821	0.63561787	0.42906394	14.0	4.0	6.0	11.0	3399.87248826	104.0	2.0	7.0
0.71844661	0.6857143	0.90112284	0.72875817	0.56191018	0.62295118	0.37340802	14.0	4.0	7.0	10.0	3453.1465292	110.0	3.0	7.0
0.59032255	0.52941179	0.80808459	0.56055363	0.68237299	0.69186353	0.05923489	10.0	7.0	9.0	8.0	3505.73751831	38.0	4.0	7.0
0.73548388	0.7352941	0.92365014	0.76124567	0.51729427	0.57975567	0.47809144	14.0	3.0	6.0	11.0	3557.60182452	108.0	5.0	7.0
0.9580645	0.79411763	0.99542067	0.84429066	0.25182523	0.48228114	0.61545745	16.0	1.0	6.0	11.0	3642.37160563	408.0	6.0	7.0
0.85161293	0.67647058	0.9749386	0.74740484	0.38749367	0.62392012	0.35355339	12.0	5.0	6.0	11.0	3707.49340582	251.0	7.0	7.0
0.34838709	0.55882353	0.59610341	0.5467128	0.8248602	0.70671435	0.13867505	14.0	3.0	12.0	5.0	3760.17289948	8.0	8.0	7.0
0.93548387	0.7352941	0.99388035	0.7716263	0.27042198	0.57133985	0.49236596	15.0	2.0	7.0	10.0	3843.97248435	436.0	9.0	7.0
0.90938509	0.71428573	0.98743087	0.79411765	0.3079184	0.54189743	0.42906394	14.0	4.0	6.0	11.0	3925.57226372	500.0	0.0	8.0
0.92880261	0.77142859	0.99032177	0.83660131	0.28421214	0.50079279	0.55437051	16.0	2.0	6.0	11.0	4007.94830537	465.0	1.0	8.0
0.71844661	0.51428574	0.89680744	0.66993464	0.56150099	0.67055763	0.01555867	14.0	4.0	13.0	4.0	4064.17021394	83.0	2.0	8.0
0.79288024	0.77142859	0.95139936	0.79738562	0.4618733	0.55750867	0.57348878	17.0	1.0	7.0	10.0	4125.1580503	189.0	3.0	8.0
0.45483872	0.55882353	0.72057783	0.64359862	0.76506106	0.66353995	0.13867505	14.0	3.0	12.0	5.0	4172.57745671	13.0	4.0	8.0
0.86451614	0.7352941	0.97110861	0.75778547	0.38749268	0.60179855	0.47809144	14.0	3.0	6.0	11.0	4243.64536142	275.0	5.0	8.0
0.66129035	0.44117647	0.85138004	0.52595156	0.60595686	0.72413063	-0.11952286	9.0	8.0	11.0	6.0	4294.95327044	58.0	6.0	8.0
0.68709677	0.67647058	0.8905541	0.69896194	0.57431074	0.66103874	0.35856858	10.0	7.0	4.0	13.0	4348.32871914	91.0	7.0	8.0
0.7870968	0.64705884	0.93210108	0.71626298	0.51007121	0.6292154	0.31434731	14.0	3.0	9.0	8.0	4405.06847668	118.0	8.0	8.0
0.64516127	0.64705884	0.85754132	0.6366782	0.62115536	0.66831466	0.33333333	15.0	2.0	10.0	7.0	4456.64586568	66.0	9.0	8.0
0.802589	0.6857143	0.95253058	0.75816993	0.45012579	0.59382421	0.37049379	13.0	5.0	6.0	11.0	4523.7807703	211.0	0.0	9.0
0.47572815	0.5714286	0.7370119	0.62418301	0.75224735	0.67839163	0.14108102	13.0	5.0	10.0	7.0	4574.49460983	13.0	1.0	9.0
0.60841423	0.54285717	0.82424166	0.62418301	0.65947321	0.66892733	0.0825123	11.0	7.0	9.0	8.0	4627.23472595	47.0	2.0	9.0
0.64724916	0.51428574	0.8670605	0.54901961	0.61518395	0.72006606	0.020646	12.0	6.0	11.0	6.0	4679.09192681	67.0	3.0	9.0
0.70645159	0.64705884	0.87598351	0.73010381	0.60322991	0.61348646	0.29411765	11.0	6.0	6.0	11.0	4732.99391961	59.0	4.0	9.0
0.44193548	0.44117647	0.72719704	0.36678201	0.759152	0.78539754	-0.13867505	12.0	5.0	14.0	3.0	4779.26778793	14.0	5.0	9.0
0.86774194	0.55882353	0.98076683	0.71280277	0.35898664	0.60964034	0.11785113	10.0	7.0	8.0	9.0	4845.57978654	235.0	6.0	9.0
