train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.94186044	0.5	0.99451754	0.68	0.23989898	0.64723957	0.0	1.0	4.0	1.0	4.0	38.98851728	184.0	0.0	1.0
0.68604654	0.5	0.79002193	0.52	0.58221214	0.72807598	0.0	1.0	4.0	1.0	4.0	63.04269075	19.0	1.0	1.0
0.83720928	0.5	0.90241228	0.68	0.46536564	0.63017499	0.0	2.0	3.0	2.0	3.0	78.1813643	44.0	2.0	1.0
0.52325583	0.5	0.62465903	0.70833333	0.68321623	0.66411436	0.08908708	3.0	1.0	4.0	2.0	95.56643248	8.0	3.0	1.0
0.94186044	0.69999999	0.95962902	0.875	0.35901205	0.51598167	0.40824829	3.0	1.0	2.0	4.0	112.67972875	89.0	4.0	1.0
1.0	0.80000001	1.0	0.83333333	0.05297015	0.4171133	0.58333333	3.0	1.0	1.0	5.0	135.54341578	500.0	5.0	1.0
0.66666669	0.33333334	0.77083333	0.25	0.61305313	0.82861018	-0.35	1.0	3.0	3.0	2.0	153.37663388	10.0	6.0	1.0
0.86206895	0.66666669	0.95940171	0.65	0.39666496	0.65466624	0.35	3.0	1.0	2.0	3.0	172.2223413	60.0	7.0	1.0
0.78160918	0.55555558	0.87660256	0.25	0.53144122	0.86286819	0.05976143	1.0	3.0	1.0	4.0	189.34767675	21.0	8.0	1.0
0.82758623	0.55555558	0.92788462	0.35	0.45482729	0.7851395	0.31622777	4.0	0.0	4.0	1.0	206.9181118	40.0	9.0	1.0
1.0	0.89999998	1.0	1.0	0.06549435	0.30345339	0.81649658	5.0	0.0	1.0	4.0	230.9539237	500.0	0.0	2.0
0.73255813	0.5	0.82620614	0.68	0.57006163	0.65150356	0.0	2.0	3.0	2.0	3.0	248.62551165	21.0	1.0	2.0
0.74418604	0.5	0.88322368	0.68	0.53093778	0.63179648	0.0	1.0	4.0	1.0	4.0	265.58028078	19.0	2.0	2.0
0.74418604	0.5	0.83687943	0.54166667	0.56247843	0.68749392	0.0	2.0	2.0	3.0	3.0	282.44061947	15.0	3.0	2.0
0.75581396	0.60000002	0.84724495	0.70833333	0.55662157	0.62723577	0.16666667	2.0	2.0	2.0	4.0	298.86128831	17.0	4.0	2.0
0.60465115	0.5	0.66284779	0.625	0.6854609	0.7113198	0.08908708	3.0	1.0	4.0	2.0	315.28109002	8.0	5.0	2.0
0.77011496	0.55555558	0.89529915	0.4	0.49060604	0.75337046	0.1	2.0	2.0	2.0	3.0	332.20249462	38.0	6.0	2.0
0.58620691	0.33333334	0.67521368	0.25	0.67821732	0.74376136	-0.35	1.0	3.0	3.0	2.0	349.30946159	8.0	7.0	2.0
0.73563218	0.44444445	0.83867521	0.55	0.55161155	0.71397448	0.0	4.0	0.0	5.0	0.0	365.08261085	23.0	8.0	2.0
0.85057473	0.66666669	0.91613248	0.65	0.44688393	0.64017409	0.39528471	1.0	3.0	0.0	5.0	383.24906683	56.0	9.0	2.0
0.75581396	0.80000001	0.8497807	0.76	0.53719682	0.54633486	0.65465367	3.0	2.0	0.0	5.0	400.24644828	29.0	0.0	3.0
0.88372093	0.5	0.93969298	0.36	0.42843373	0.77772629	0.0	1.0	4.0	1.0	4.0	418.27122617	53.0	1.0	3.0
0.62790698	0.30000001	0.74890351	0.2	0.64307535	0.79096085	-0.40824829	2.0	3.0	4.0	1.0	434.8045752	8.0	2.0	3.0
0.95348835	1.0	0.99836334	1.0	0.26396292	0.39224428	1.0	4.0	0.0	0.0	6.0	456.81979728	140.0	3.0	3.0
0.59302324	0.60000002	0.68139662	0.70833333	0.67487594	0.61504114	0.16666667	2.0	2.0	2.0	4.0	471.91543579	8.0	4.0	3.0
0.94186044	0.60000002	0.9847245	0.70833333	0.30746786	0.64857221	0.25	3.0	1.0	3.0	3.0	490.03253722	108.0	5.0	3.0
1.0	1.0	1.0	1.0	0.05482523	0.26758492	1.0	4.0	0.0	0.0	5.0	518.10638738	500.0	6.0	3.0
0.81609195	0.55555558	0.86378205	0.55	0.53472648	0.67828041	0.1	2.0	2.0	2.0	3.0	536.26925468	34.0	7.0	3.0
0.83908045	0.55555558	0.89583333	0.55	0.50153528	0.72883916	0.1	2.0	2.0	2.0	3.0	552.75032878	33.0	8.0	3.0
0.65517241	0.55555558	0.72970085	0.45	0.63844198	0.6915521	0.05976143	1.0	3.0	1.0	4.0	572.04400492	10.0	9.0	3.0
0.73255813	0.69999999	0.85745614	0.64	0.5504733	0.69154924	0.40824829	4.0	1.0	2.0	3.0	592.21169209	24.0	0.0	4.0
0.77906978	0.5	0.86348684	0.52	0.5241575	0.75204885	0.0	1.0	4.0	1.0	4.0	607.10569358	27.0	1.0	4.0
0.6511628	0.60000002	0.76644737	0.48	0.62323627	0.71453249	0.21821789	4.0	1.0	3.0	2.0	624.66156459	24.0	2.0	4.0
0.91860467	0.60000002	0.9492635	0.70833333	0.40862361	0.6417917	0.16666667	2.0	2.0	2.0	4.0	643.33748746	60.0	3.0	4.0
