train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.99519229	0.83333331	1.0	0.95833333	0.06468456	0.32057915	0.6761234	11.0	1.0	3.0	9.0	96.5919199	56.0	0.0	1.0
0.95192307	0.875	0.99334073	0.95833333	0.16341174	0.28285724	0.77459667	12.0	0.0	3.0	9.0	124.51938105	25.0	1.0	1.0
0.89952153	0.69565219	0.97407	0.82575758	0.26725687	0.55466365	0.39393939	8.0	4.0	3.0	8.0	152.83686996	9.0	2.0	1.0
1.0	0.9130435	1.0	0.96212121	0.01430451	0.22227173	0.82575758	11.0	1.0	1.0	10.0	187.49921632	166.0	3.0	1.0
0.98086125	0.78260869	0.99706906	0.93939394	0.12950671	0.31673899	0.58930667	10.0	1.0	4.0	8.0	216.14481378	35.0	4.0	1.0
1.0	0.9130435	1.0	0.99242424	0.01646712	0.13441648	0.83743579	9.0	2.0	0.0	12.0	248.63738394	148.0	5.0	1.0
0.90430623	0.9130435	0.98241436	0.90909091	0.25104196	0.40789511	0.82575758	10.0	1.0	1.0	11.0	293.16107869	10.0	6.0	1.0
1.0	0.9130435	1.0	0.97727273	0.00378658	0.1801059	0.83971912	11.0	0.0	2.0	10.0	330.72176504	322.0	7.0	1.0
0.96172249	0.73913044	0.99056604	0.87121212	0.20270303	0.4354574	0.48856385	9.0	2.0	4.0	8.0	358.85530996	19.0	8.0	1.0
0.99043059	0.78260869	0.99871771	0.88636364	0.12318238	0.40744825	0.56818182	9.0	2.0	3.0	9.0	389.99988389	43.0	9.0	1.0
0.96634614	0.83333331	0.99315575	0.95138889	0.16533872	0.29803289	0.6761234	11.0	1.0	3.0	9.0	421.04717875	25.0	0.0	2.0
0.99038464	0.83333331	0.99778024	0.90972222	0.10733664	0.46908315	0.70710678	12.0	0.0	4.0	8.0	450.59505939	34.0	1.0	2.0
1.0	0.95652175	1.0	1.0	0.00093709	0.12122634	0.91605722	12.0	0.0	1.0	10.0	499.29594803	500.0	2.0	2.0
0.92822969	0.78260869	0.98314092	0.90151515	0.2346145	0.4108248	0.56818182	9.0	3.0	2.0	9.0	529.03166819	13.0	3.0	2.0
0.9665072	0.9130435	0.98809306	0.93181818	0.19790248	0.28746549	0.82575758	10.0	1.0	1.0	11.0	557.43834996	21.0	4.0	2.0
0.88516748	0.73913044	0.97646089	0.86363636	0.27726398	0.50053581	0.47727273	8.0	3.0	3.0	9.0	587.01067758	10.0	5.0	2.0
0.98564595	0.9130435	0.99880931	0.9469697	0.10226632	0.28176509	0.83971912	11.0	0.0	2.0	10.0	615.71952415	43.0	6.0	2.0
1.0	0.95652175	1.0	1.0	0.00659458	0.10028123	0.91666667	11.0	0.0	1.0	11.0	653.96505642	245.0	7.0	2.0
1.0	0.86956519	1.0	0.9469697	0.03879617	0.320483	0.74047959	9.0	2.0	1.0	11.0	686.57201576	101.0	8.0	2.0
0.97607654	0.82608694	0.99532881	0.92424242	0.14288947	0.47864646	0.66414149	10.0	1.0	3.0	9.0	718.37597942	32.0	9.0	2.0
0.91826922	0.91666669	0.98381428	0.88194444	0.23588569	0.48955234	0.84515425	10.0	2.0	0.0	12.0	748.74949169	9.0	0.0	3.0
1.0	0.95833331	1.0	0.98611111	0.021638	0.12714203	0.91986621	12.0	0.0	1.0	11.0	785.23624539	129.0	1.0	3.0
0.96172249	0.73913044	0.99376947	0.91666667	0.1787544	0.41410651	0.48856385	8.0	4.0	2.0	9.0	815.22853613	28.0	2.0	3.0
1.0	0.86956519	1.0	0.9469697	0.04855435	0.25551611	0.74047959	11.0	1.0	2.0	9.0	848.33910322	67.0	3.0	3.0
0.94258374	0.78260869	0.98855102	0.86363636	0.2057882	0.4000753	0.58930667	10.0	1.0	4.0	8.0	879.41519761	18.0	4.0	3.0
0.95215309	0.82608694	0.99047445	0.95454545	0.1880401	0.27904574	0.65909298	8.0	3.0	1.0	11.0	910.31903291	20.0	5.0	3.0
