train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.93518519	0.84615386	0.97101968	0.9	0.27029521	0.43852791	0.69282032	8.0	0.0	2.0	3.0	62.72615361	8.0	0.0	1.0
0.98165137	0.91666669	1.0	0.90625	0.1205309	0.27370736	0.81649658	8.0	0.0	1.0	3.0	83.94521523	24.0	1.0	1.0
1.0	0.91666669	1.0	0.96875	0.0220161	0.30321273	0.83666003	7.0	1.0	0.0	4.0	107.00825906	97.0	2.0	1.0
0.99082571	0.75	1.0	0.77142857	0.10728646	0.69735026	0.47809144	6.0	1.0	2.0	3.0	138.72770166	25.0	3.0	1.0
0.95412844	0.83333331	0.98872445	0.77142857	0.20726042	0.53582412	0.68313005	7.0	0.0	2.0	3.0	158.1024003	14.0	4.0	1.0
1.0	1.0	1.0	1.0	0.00090202	0.03698889	1.0	7.0	0.0	0.0	5.0	190.35461855	500.0	5.0	1.0
0.94495416	0.58333331	0.97533474	0.6	0.23228096	0.77556199	0.11952286	5.0	2.0	3.0	2.0	211.71310377	11.0	6.0	1.0
1.0	0.75	1.0	0.97142857	0.03860761	0.41670445	0.5976143	4.0	3.0	0.0	5.0	234.00780845	56.0	7.0	1.0
1.0	0.91666669	1.0	0.97142857	0.00957243	0.24533941	0.84515425	6.0	1.0	0.0	5.0	256.14550281	146.0	8.0	1.0
0.94495416	0.66666669	0.97498238	0.85714286	0.26033703	0.44346467	0.31428571	5.0	2.0	2.0	3.0	275.43675756	9.0	9.0	1.0
1.0	0.76923078	1.0	1.0	0.06955709	0.24529506	0.53935989	8.0	0.0	3.0	2.0	296.7302804	41.0	0.0	2.0
0.99082571	0.83333331	0.9951049	0.71875	0.1516905	0.62685198	0.63245553	8.0	0.0	2.0	2.0	317.37731266	17.0	1.0	2.0
0.91743118	0.66666669	0.96643357	0.75	0.27983791	0.55842811	0.15811388	7.0	1.0	3.0	1.0	339.94379592	8.0	2.0	2.0
1.0	0.83333331	1.0	0.88571429	0.0664027	0.41648135	0.71428571	5.0	2.0	0.0	5.0	364.10082507	36.0	3.0	2.0
1.0	0.83333331	1.0	0.91428571	0.0254187	0.38475117	0.65714286	6.0	1.0	1.0	4.0	388.94065571	72.0	4.0	2.0
0.97247708	0.83333331	0.99224806	0.91428571	0.18436026	0.35833371	0.65714286	6.0	1.0	1.0	4.0	407.52385092	16.0	5.0	2.0
1.0	0.91666669	1.0	1.0	0.00123371	0.15716884	0.84515425	6.0	1.0	0.0	5.0	443.33532739	500.0	6.0	2.0
0.96330273	0.91666669	0.97110641	0.94285714	0.25153604	0.36741635	0.84515425	6.0	1.0	0.0	5.0	463.93394732	10.0	7.0	2.0
1.0	0.83333331	1.0	0.88571429	0.00415705	0.39883193	0.65714286	6.0	1.0	1.0	4.0	489.75821161	245.0	8.0	2.0
0.99082571	0.41666666	0.98907681	0.4	0.17629541	1.27942967	-0.16903085	3.0	4.0	3.0	2.0	513.20872855	11.0	9.0	2.0
1.0	0.92307693	1.0	0.975	0.0115798	0.22457722	0.85391256	7.0	1.0	0.0	5.0	537.61690283	134.0	0.0	3.0
0.99082571	0.83333331	0.99755245	0.6875	0.15327425	0.57843989	0.63245553	8.0	0.0	2.0	2.0	558.47960615	17.0	1.0	3.0
0.91743118	0.66666669	0.97307692	0.65625	0.29208522	0.71829915	0.15811388	7.0	1.0	3.0	1.0	581.06920171	6.0	2.0	3.0
1.0	0.83333331	1.0	0.82857143	0.05536081	0.44922021	0.68313005	7.0	0.0	2.0	3.0	606.13122487	46.0	3.0	3.0
0.94495416	0.41666666	0.98132488	0.51428571	0.22553464	0.90562207	-0.16903085	3.0	4.0	3.0	2.0	627.08271742	11.0	4.0	3.0
1.0	0.83333331	1.0	0.88571429	0.03011864	0.38050863	0.68313005	7.0	0.0	2.0	3.0	649.16882944	67.0	5.0	3.0
0.98165137	0.91666669	0.99929528	0.91428571	0.121793	0.45410061	0.83666003	7.0	0.0	1.0	4.0	669.53388166	22.0	6.0	3.0
1.0	0.91666669	1.0	0.91428571	0.05491981	0.40788177	0.84515425	6.0	1.0	0.0	5.0	690.77939272	48.0	7.0	3.0
0.98165137	0.75	0.99929528	0.88571429	0.15940044	0.40822592	0.47809144	6.0	1.0	2.0	3.0	717.7100904	16.0	8.0	3.0
0.98165137	0.83333331	1.0	0.91428571	0.12624792	0.36978462	0.65714286	6.0	1.0	1.0	4.0	739.85742593	22.0	9.0	3.0
0.94444442	0.61538464	0.9881932	0.55	0.21324475	0.7958886	0.21957752	5.0	3.0	2.0	3.0	761.4968338	11.0	0.0	4.0
