train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.969697	0.72727275	0.99599542	0.77777778	0.12479987	0.42146719	0.24056261	7.0	2.0	1.0	1.0	44.57007432	13.0	0.0	1.0
0.969697	0.81818181	0.99828375	0.77777778	0.11933067	0.34811383	0.38888889	8.0	1.0	1.0	1.0	60.95073891	15.0	1.0	1.0
0.969697	0.81818181	0.99599542	0.94444444	0.13076158	0.25736544	0.38888889	8.0	1.0	1.0	1.0	76.28928876	14.0	2.0	1.0
1.0	0.90909094	1.0	1.0	0.00064783	0.16493241	0.67082039	9.0	0.0	1.0	1.0	101.31670022	500.0	3.0	1.0
0.98989898	0.81818181	1.0	0.88888889	0.09413562	0.38577089	0.38888889	8.0	1.0	1.0	1.0	117.45752883	31.0	4.0	1.0
0.969697	1.0	0.99940968	1.0	0.12163218	0.13382202	1.0	8.0	0.0	0.0	3.0	133.79380131	18.0	5.0	1.0
1.0	0.81818181	1.0	0.95833333	0.03617694	0.29846475	0.54166667	7.0	1.0	1.0	2.0	150.36547041	55.0	6.0	1.0
0.98989898	0.90909094	1.0	0.95833333	0.09825244	0.27983746	0.76980036	8.0	0.0	1.0	2.0	165.64010286	21.0	7.0	1.0
0.94949496	0.81818181	0.97815821	0.70833333	0.18965995	0.58696228	0.54166667	7.0	1.0	1.0	2.0	181.07885075	8.0	8.0	1.0
0.98989898	0.90909094	1.0	1.0	0.09655162	0.31222439	0.76980036	8.0	0.0	1.0	2.0	197.48663092	20.0	9.0	1.0
1.0	0.90909094	1.0	0.88888889	0.0131054	0.26553982	0.67082039	9.0	0.0	1.0	1.0	218.09555888	91.0	0.0	2.0
0.97979796	0.81818181	0.99885584	0.88888889	0.1144472	0.2846919	0.38888889	8.0	1.0	1.0	1.0	234.1463294	20.0	1.0	2.0
1.0	0.90909094	1.0	0.83333333	0.05605196	0.36953372	0.67082039	9.0	0.0	1.0	1.0	250.28168106	37.0	2.0	2.0
0.97979796	0.90909094	0.99885584	1.0	0.10938646	0.19882078	0.67082039	9.0	0.0	1.0	1.0	265.41256237	19.0	3.0	2.0
1.0	1.0	1.0	1.0	0.00071039	0.08441926	1.0	9.0	0.0	0.0	2.0	292.87894344	500.0	4.0	2.0
1.0	0.90909094	1.0	1.0	0.0288756	0.12058968	0.81009259	7.0	1.0	0.0	3.0	310.60313058	56.0	5.0	2.0
0.95959598	0.72727275	0.99704841	1.0	0.12475734	0.31588048	0.0	8.0	0.0	3.0	0.0	331.33821464	16.0	6.0	2.0
1.0	0.90909094	1.0	0.83333333	0.0802102	0.53362554	0.76980036	8.0	0.0	1.0	2.0	348.49336505	25.0	7.0	2.0
0.98989898	0.72727275	0.99940968	0.70833333	0.07549324	0.65848947	0.24056261	7.0	1.0	2.0	1.0	365.79416227	29.0	8.0	2.0
0.97979796	0.81818181	0.99822904	0.91666667	0.11062394	0.3782216	0.51639778	8.0	0.0	2.0	1.0	383.46526766	18.0	9.0	2.0
