train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.72687227	0.61538464	0.81054422	0.35294118	0.54247711	0.85012703	0.05522779	2.0	7.0	3.0	14.0	101.30621672	6.0	0.0	1.0
0.82819384	0.57692307	0.89345238	0.52941176	0.47214161	0.7392551	-0.08618128	1.0	8.0	3.0	14.0	126.92906213	9.0	1.0	1.0
0.80616742	0.69230771	0.88078231	0.58169935	0.48998047	0.64247383	0.24331548	2.0	7.0	1.0	16.0	152.58474255	9.0	2.0	1.0
0.79385966	0.63999999	0.89325607	0.47058824	0.47305314	0.6916626	0.01055501	1.0	7.0	2.0	15.0	182.12073636	11.0	3.0	1.0
0.88157892	0.75999999	0.95641892	0.80555556	0.38592802	0.52640518	0.45833333	4.0	5.0	1.0	15.0	208.95815516	14.0	4.0	1.0
0.80701756	0.51999998	0.88505068	0.43055556	0.48378023	0.78381952	-0.27695585	0.0	9.0	3.0	13.0	243.39411855	8.0	5.0	1.0
0.7631579	0.60000002	0.86326014	0.44444444	0.50284716	0.75291461	-0.02051525	1.0	8.0	2.0	14.0	278.09700251	8.0	6.0	1.0
0.94298244	0.63999999	0.98293919	0.72916667	0.3232979	0.62354424	0.12729377	2.0	7.0	2.0	14.0	323.7097187	25.0	7.0	1.0
0.78947371	0.60000002	0.91233108	0.57638889	0.4522082	0.74369849	0.04166667	2.0	7.0	3.0	13.0	354.39436865	10.0	8.0	1.0
0.85087717	0.63999999	0.91815878	0.60416667	0.44248621	0.66140699	0.08600781	1.0	8.0	1.0	15.0	389.53128195	12.0	9.0	1.0
0.85903084	0.76923078	0.93316327	0.71895425	0.42035842	0.55752328	0.49636359	3.0	6.0	0.0	17.0	427.53494382	14.0	0.0	2.0
0.79735684	0.5	0.91232993	0.55555556	0.44567744	0.68964695	-0.20664347	1.0	8.0	5.0	12.0	455.45218611	11.0	1.0	2.0
0.92070484	0.53846157	0.98613946	0.73856209	0.31743788	0.54949411	-0.07711185	2.0	7.0	5.0	12.0	483.64685416	26.0	2.0	2.0
0.84649122	0.72000003	0.93146888	0.63235294	0.4379957	0.60865776	0.30012252	3.0	5.0	2.0	15.0	515.90482759	10.0	3.0	2.0
0.81140351	0.68000001	0.85717905	0.5	0.49926844	0.73221488	0.25	3.0	6.0	2.0	14.0	548.6317234	8.0	4.0	2.0
0.82017541	0.60000002	0.88555743	0.35416667	0.47400427	0.80698391	-0.15309311	0.0	9.0	1.0	15.0	588.6717813	8.0	5.0	2.0
0.87280703	0.63999999	0.94915541	0.65972222	0.39486453	0.64519953	0.12729377	2.0	7.0	2.0	14.0	627.83598328	16.0	6.0	2.0
0.76754385	0.68000001	0.88699324	0.59722222	0.47843554	0.66762657	0.27468517	4.0	5.0	3.0	13.0	665.03300977	9.0	7.0	2.0
0.82894737	0.60000002	0.91055743	0.53472222	0.44243389	0.75041172	-0.15309311	0.0	9.0	1.0	15.0	691.87920594	10.0	8.0	2.0
0.7719298	0.60000002	0.88125	0.54861111	0.47921547	0.72746356	-0.02051525	1.0	8.0	2.0	14.0	732.53228641	8.0	9.0	2.0
0.79735684	0.65384614	0.88197279	0.5751634	0.47970429	0.63678146	0.13789005	2.0	7.0	2.0	15.0	758.66907525	9.0	0.0	3.0
0.77973568	0.69230771	0.87236395	0.56862745	0.48622743	0.64398075	0.26035959	3.0	6.0	2.0	15.0	790.35579705	8.0	1.0	3.0
0.8325991	0.69230771	0.9297619	0.69934641	0.41796629	0.57498774	0.27487371	1.0	8.0	0.0	17.0	820.52031374	16.0	2.0	3.0
0.87280703	0.60000002	0.96237507	0.66176471	0.37191071	0.60469406	-0.0654921	1.0	7.0	3.0	14.0	849.537678	20.0	3.0	3.0
0.78947371	0.56	0.91266892	0.45138889	0.44370564	0.83967206	-0.22116293	0.0	9.0	2.0	14.0	877.75599217	9.0	4.0	3.0
0.94736844	0.63999999	0.99248311	0.68055556	0.26009197	0.57069552	0.12729377	2.0	7.0	2.0	14.0	911.46005249	35.0	5.0	3.0
1.0	0.72000003	1.0	0.68055556	0.11552733	0.63310066	0.35902456	4.0	5.0	2.0	14.0	953.74229312	81.0	6.0	3.0
0.7850877	0.63999999	0.87609797	0.56944444	0.49540255	0.69804835	0.16390252	3.0	6.0	3.0	13.0	991.09284616	8.0	7.0	3.0
0.7850877	0.63999999	0.87086149	0.54861111	0.49096105	0.69369519	0.12729377	2.0	7.0	2.0	14.0	1019.40242529	8.0	8.0	3.0
0.78947371	0.51999998	0.88969595	0.65277778	0.48148557	0.66499078	-0.27695585	0.0	9.0	3.0	13.0	1049.59434533	8.0	9.0	3.0
0.79735684	0.53846157	0.87261905	0.30065359	0.48081282	0.83790022	-0.149904	1.0	8.0	4.0	13.0	1080.6923902	7.0	0.0	4.0
0.79295152	0.65384614	0.89192177	0.55555556	0.48131307	0.67283018	0.09335201	1.0	8.0	1.0	16.0	1107.55070782	8.0	1.0	4.0
0.81497794	0.53846157	0.88647959	0.47712418	0.48263347	0.73017646	-0.26278072	0.0	9.0	3.0	14.0	1135.48051214	9.0	2.0	4.0
0.81578946	0.63999999	0.89955488	0.66176471	0.4648682	0.6079052	0.20008168	4.0	4.0	5.0	12.0	1171.84689903	10.0	3.0	4.0
0.81140351	0.63999999	0.89577703	0.70138889	0.46919196	0.6015588	0.16390252	3.0	6.0	3.0	13.0	1210.32703328	9.0	4.0	4.0
0.75	0.60000002	0.81266892	0.61111111	0.53815504	0.66145988	-0.02051525	1.0	8.0	2.0	14.0	1238.04993439	6.0	5.0	4.0
0.80701756	0.56	0.903125	0.40277778	0.45041469	0.80993203	-0.22116293	0.0	9.0	2.0	14.0	1266.64363623	9.0	6.0	4.0
0.99122804	0.75999999	0.99932432	0.83333333	0.22180923	0.51912686	0.46028325	5.0	4.0	2.0	14.0	1294.70584559	38.0	7.0	4.0
0.83333331	0.51999998	0.90886824	0.52083333	0.45254066	0.68063763	-0.04166667	3.0	6.0	6.0	10.0	1328.87684512	8.0	8.0	4.0
0.91228068	0.75999999	0.96967905	0.77777778	0.34569449	0.51155502	0.49236596	3.0	6.0	0.0	16.0	1367.94506812	22.0	9.0	4.0
0.81497794	0.53846157	0.91403061	0.41176471	0.43750424	0.85809135	-0.07711185	2.0	7.0	5.0	12.0	1408.51186347	9.0	0.0	5.0
0.79735684	0.57692307	0.86369048	0.50326797	0.50319182	0.66896105	-0.08618128	1.0	8.0	3.0	14.0	1435.25389671	8.0	1.0	5.0
0.79735684	0.65384614	0.8962585	0.52287582	0.46557832	0.71541425	0.13789005	2.0	7.0	2.0	15.0	1464.28719926	8.0	2.0	5.0
0.88596493	0.72000003	0.98026371	0.66176471	0.33949098	0.59640538	0.27443022	2.0	6.0	1.0	16.0	1493.98134565	23.0	3.0	5.0
0.82456142	0.51999998	0.9066723	0.45138889	0.45288465	0.77964686	-0.27695585	0.0	9.0	3.0	13.0	1524.48009348	9.0	4.0	5.0
0.82456142	0.51999998	0.88809122	0.59027778	0.46926743	0.71773615	-0.27695585	0.0	9.0	3.0	13.0	1560.01661754	8.0	5.0	5.0
0.74122804	0.63999999	0.86199324	0.45833333	0.50835396	0.73769743	0.12729377	2.0	7.0	2.0	14.0	1594.66099977	7.0	6.0	5.0
0.80701756	0.60000002	0.88445946	0.68055556	0.48117129	0.59092163	0.08908708	3.0	6.0	4.0	12.0	1622.6540935	8.0	7.0	5.0
0.82017541	0.68000001	0.90768581	0.64583333	0.45255521	0.60047305	0.27216553	1.0	8.0	0.0	16.0	1658.46696615	14.0	8.0	5.0
0.82894737	0.51999998	0.92601351	0.72916667	0.43830901	0.60996392	-0.27695585	0.0	9.0	3.0	13.0	1688.14037371	11.0	9.0	5.0
0.79735684	0.61538464	0.88154762	0.50326797	0.48201332	0.71420112	0.05522779	2.0	7.0	3.0	14.0	1725.5741353	9.0	0.0	6.0
0.77973568	0.5	0.8622449	0.52287582	0.49284063	0.67795379	-0.20664347	1.0	8.0	5.0	12.0	1756.82501054	8.0	1.0	6.0
0.96475768	0.65384614	0.99897959	0.7254902	0.23141115	0.54177036	0.21558722	4.0	5.0	4.0	13.0	1791.39646578	49.0	2.0	6.0
0.80263156	0.47999999	0.92105484	0.43382353	0.44184084	0.79424169	-0.34299717	0.0	8.0	5.0	12.0	1821.80589914	9.0	3.0	6.0
0.7719298	0.63999999	0.88277027	0.45833333	0.48933472	0.77097656	0.08600781	1.0	8.0	1.0	15.0	1855.38154292	9.0	4.0	6.0
0.7850877	0.56	0.88640203	0.51388889	0.48051888	0.75002258	-0.10001653	1.0	8.0	3.0	13.0	1889.70177698	8.0	5.0	6.0
0.87719297	0.68000001	0.96452703	0.79861111	0.37253753	0.56221988	0.27216553	1.0	8.0	0.0	16.0	1919.26158571	19.0	6.0	6.0
0.99122804	0.75999999	0.99991554	0.78472222	0.19011415	0.54658016	0.46028325	5.0	4.0	2.0	14.0	1956.74601746	51.0	7.0	6.0
