filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.97	0.727	0.996	0.778	0.125	0.421	0.241	7.0	2.0	1.0	1.0	44.57	13.0	0	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.97	0.818	0.998	0.778	0.119	0.348	0.389	8.0	1.0	1.0	1.0	60.951	15.0	0	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.97	0.818	0.996	0.944	0.131	0.257	0.389	8.0	1.0	1.0	1.0	76.289	14.0	0	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	1.0	0.001	0.165	0.671	9.0	0.0	1.0	1.0	101.317	500.0	0	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.99	0.818	1.0	0.889	0.094	0.386	0.389	8.0	1.0	1.0	1.0	117.458	31.0	0	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.97	1.0	0.999	1.0	0.122	0.134	1.0	8.0	0.0	0.0	3.0	133.794	18.0	0	6
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.818	1.0	0.958	0.036	0.298	0.542	7.0	1.0	1.0	2.0	150.365	55.0	0	7
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.99	0.909	1.0	0.958	0.098	0.28	0.77	8.0	0.0	1.0	2.0	165.64	21.0	0	8
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.949	0.818	0.978	0.708	0.19	0.587	0.542	7.0	1.0	1.0	2.0	181.079	8.0	0	9
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.99	0.909	1.0	1.0	0.097	0.312	0.77	8.0	0.0	1.0	2.0	197.487	20.0	1	0
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	0.889	0.013	0.266	0.671	9.0	0.0	1.0	1.0	218.096	91.0	1	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.98	0.818	0.999	0.889	0.114	0.285	0.389	8.0	1.0	1.0	1.0	234.146	20.0	1	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	0.833	0.056	0.37	0.671	9.0	0.0	1.0	1.0	250.282	37.0	1	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.98	0.909	0.999	1.0	0.109	0.199	0.671	9.0	0.0	1.0	1.0	265.413	19.0	1	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	1.0	1.0	1.0	0.001	0.084	1.0	9.0	0.0	0.0	2.0	292.879	500.0	1	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	1.0	0.029	0.121	0.81	7.0	1.0	0.0	3.0	310.603	56.0	1	6
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.96	0.727	0.997	1.0	0.125	0.316	0.0	8.0	0.0	3.0	0.0	331.338	16.0	1	7
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	0.833	0.08	0.534	0.77	8.0	0.0	1.0	2.0	348.493	25.0	1	8
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.99	0.727	0.999	0.708	0.075	0.658	0.241	7.0	1.0	2.0	1.0	365.794	29.0	1	9
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.98	0.818	0.998	0.917	0.111	0.378	0.516	8.0	0.0	2.0	1.0	383.465	18.0	2	0
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	0.944	0.054	0.197	0.77	8.0	1.0	0.0	2.0	402.209	31.0	2	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	1.0	1.0	1.0	0.001	0.017	1.0	9.0	0.0	0.0	2.0	429.661	500.0	2	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.919	0.636	0.977	0.444	0.207	0.681	-0.222	7.0	2.0	2.0	0.0	446.105	6.0	2	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.96	0.818	0.989	0.944	0.158	0.28	0.0	9.0	0.0	2.0	0.0	466.707	10.0	2	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.96	0.818	0.995	0.778	0.162	0.45	0.389	8.0	1.0	1.0	1.0	484.375	9.0	2	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.99	0.818	0.999	1.0	0.096	0.303	0.516	8.0	0.0	2.0	1.0	503.792	19.0	2	6
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	0.875	0.07	0.289	0.77	8.0	0.0	1.0	2.0	521.086	31.0	2	7
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.97	0.818	1.0	1.0	0.1	0.221	0.516	8.0	0.0	2.0	1.0	538.099	23.0	2	8
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.909	1.0	1.0	0.001	0.14	0.81	7.0	1.0	0.0	3.0	565.016	500.0	2	9
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.96	0.909	0.997	0.917	0.138	0.291	0.81	7.0	1.0	0.0	3.0	583.839	14.0	3	0
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	1.0	1.0	1.0	0.001	0.021	1.0	9.0	0.0	0.0	2.0	611.341	500.0	3	1
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	1.0	1.0	1.0	0.001	0.041	1.0	9.0	0.0	0.0	2.0	639.247	500.0	3	2
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.96	0.909	0.99	0.944	0.176	0.36	0.671	9.0	0.0	1.0	1.0	656.071	10.0	3	3
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.818	1.0	0.889	0.049	0.415	0.389	8.0	1.0	1.0	1.0	677.11	40.0	3	4
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	1.0	0.818	1.0	0.944	0.07	0.23	0.389	8.0	1.0	1.0	1.0	695.148	30.0	3	5
/home/ubuntu/gene-abundance/experiment/results/fc_model/qtf_pc576_10_fillseqf_nb10_auy_rainbow_r/ibdgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0rainbow_r_nb10_auy_0.0_1.0qtf1000/a10_vgg16caffe_estopc5_fc_o1adam_lr-1.0de0.0e500_20200226_085713c255.0di-1ch3dfc0.0file_sum_ok.txt	0.98	0.727	0.996	0.875	0.119	0.423	0.241	7.0	1.0	2.0	1.0	712.843	19.0	3	6
