train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.68932039	0.65714288	0.89798056	0.71568627	0.56580398	0.62520296	0.31774895	14.0	4.0	8.0	9.0	114.43645072	19.0	0.0	1.0
0.63106793	0.62857145	0.85143288	0.62745098	0.63080458	0.69006927	0.28783535	16.0	2.0	11.0	6.0	148.88269281	8.0	1.0	1.0
0.67961162	0.60000002	0.87439249	0.66013072	0.61529367	0.65353581	0.19934641	11.0	7.0	7.0	10.0	187.10771108	13.0	2.0	1.0
0.67313915	0.5714286	0.89203117	0.67320261	0.58539919	0.61467856	0.14379085	10.0	8.0	7.0	10.0	223.94822598	14.0	3.0	1.0
0.7483871	0.64705884	0.93880355	0.73010381	0.49953939	0.63594583	0.31434731	14.0	3.0	9.0	8.0	262.80679464	31.0	4.0	1.0
0.92258066	0.67647058	0.9914658	0.70934256	0.32559306	0.62802302	0.35355339	11.0	6.0	5.0	12.0	301.93498302	45.0	5.0	1.0
0.62580645	0.55882353	0.86499313	0.57093426	0.64496907	0.7591311	0.15430335	15.0	2.0	13.0	4.0	335.24470091	9.0	6.0	1.0
0.9967742	0.7352941	1.0	0.81314879	0.1383119	0.5346358	0.47140452	13.0	4.0	5.0	12.0	381.36627579	176.0	7.0	1.0
0.69677418	0.61764705	0.91086966	0.65743945	0.54229662	0.694177	0.23570226	11.0	6.0	7.0	10.0	425.32268572	18.0	8.0	1.0
0.61612904	0.61764705	0.8676991	0.53633218	0.64289499	0.75233464	0.2773501	15.0	2.0	11.0	6.0	458.15806556	9.0	9.0	1.0
0.73139161	0.54285717	0.90439082	0.67973856	0.5538642	0.66405332	0.08092173	13.0	5.0	11.0	6.0	495.40238452	14.0	0.0	2.0
0.87055016	0.65714288	0.98609016	0.7254902	0.36061478	0.66279061	0.31774895	14.0	4.0	8.0	9.0	531.99784088	47.0	1.0	2.0
0.89967638	0.71428573	0.99145299	0.81045752	0.32979268	0.52504528	0.45034702	16.0	2.0	8.0	9.0	569.77873516	59.0	2.0	2.0
0.74110031	0.5714286	0.92286744	0.61764706	0.51526753	0.72903279	0.15169701	15.0	3.0	12.0	5.0	604.63472056	23.0	3.0	2.0
0.60000002	0.55882353	0.83360393	0.69550173	0.66503839	0.65636796	0.12909944	13.0	4.0	11.0	6.0	648.47473621	9.0	4.0	2.0
0.75483871	0.61764705	0.94638025	0.74740484	0.47777004	0.60262746	0.23570226	11.0	6.0	7.0	10.0	687.82124162	34.0	5.0	2.0
0.716129	0.61764705	0.91723908	0.70588235	0.54499699	0.63358395	0.24618298	13.0	4.0	9.0	8.0	726.85210466	21.0	6.0	2.0
0.68387097	0.52941179	0.87286125	0.62629758	0.59010892	0.68724129	0.06052275	11.0	6.0	10.0	7.0	763.42731643	12.0	7.0	2.0
0.73548388	0.5	0.92144374	0.62975779	0.52804626	0.73448823	0.0	11.0	6.0	11.0	6.0	807.96581268	16.0	8.0	2.0
0.783871	0.70588237	0.94496482	0.78892734	0.48531886	0.56332263	0.41176471	12.0	5.0	5.0	12.0	847.18849492	25.0	9.0	2.0
0.66343039	0.54285717	0.87543992	0.6372549	0.6081303	0.67928966	0.0825123	11.0	7.0	9.0	8.0	884.0455687	12.0	0.0	3.0
0.57928801	0.6857143	0.83936652	0.62418301	0.6623815	0.71858188	0.39770584	16.0	2.0	9.0	8.0	921.69070625	9.0	1.0	3.0
0.61488676	0.51428574	0.85155857	0.49019608	0.6467997	0.77052438	0.01555867	14.0	4.0	13.0	4.0	958.53189516	8.0	2.0	3.0
0.74757284	0.6857143	0.92110776	0.76797386	0.5174953	0.56661125	0.37340802	14.0	4.0	7.0	10.0	994.71958017	13.0	3.0	3.0
0.65483868	0.55882353	0.88863911	0.56747405	0.5872169	0.72806865	0.11952286	11.0	6.0	9.0	8.0	1028.94354439	12.0	4.0	3.0
0.77419353	0.67647058	0.95162566	0.72318339	0.47481974	0.66674058	0.35355339	12.0	5.0	6.0	11.0	1063.85932565	26.0	5.0	3.0
0.68064517	0.67647058	0.90662337	0.66435986	0.57125881	0.68140066	0.35856858	13.0	4.0	7.0	10.0	1097.0426631	13.0	6.0	3.0
0.78064513	0.61764705	0.94304983	0.66089965	0.48447967	0.67994835	0.23904572	9.0	8.0	5.0	12.0	1136.61832619	28.0	7.0	3.0
0.87096775	0.70588237	0.98443029	0.816609	0.37027862	0.54337389	0.42365927	14.0	3.0	7.0	10.0	1173.15880919	63.0	8.0	3.0
0.98064518	0.85294116	0.9995837	0.87889273	0.18388533	0.41349122	0.70710678	14.0	3.0	2.0	15.0	1213.93818545	125.0	9.0	3.0
0.85760516	0.74285716	0.9782973	0.77124183	0.38766528	0.57775159	0.49009803	15.0	3.0	6.0	11.0	1256.41630268	40.0	0.0	4.0
0.93203884	0.62857145	0.99601978	0.78431373	0.28873103	0.58568503	0.25671802	13.0	5.0	8.0	9.0	1298.51360178	81.0	1.0	4.0
0.6278317	0.54285717	0.87451818	0.50980392	0.63508028	0.78342386	0.08112739	12.0	6.0	10.0	7.0	1336.67898417	9.0	2.0	4.0
0.62459546	0.51428574	0.85646053	0.47712418	0.65226592	0.75952329	0.020646	12.0	6.0	11.0	6.0	1374.97895312	9.0	3.0	4.0
0.98387098	0.7647059	0.99975022	0.83391003	0.1692073	0.49020175	0.54470478	15.0	2.0	6.0	11.0	1421.22699618	99.0	4.0	4.0
0.63870966	0.5	0.87411015	0.53633218	0.61858527	0.7457517	0.0	12.0	5.0	12.0	5.0	1457.61954117	9.0	5.0	4.0
0.85161293	0.70588237	0.96852754	0.74394464	0.41191252	0.60561909	0.44008623	15.0	2.0	8.0	9.0	1495.286865	40.0	6.0	4.0
0.67741936	0.7352941	0.87498439	0.71626298	0.61117324	0.65104576	0.47809144	14.0	3.0	6.0	11.0	1530.97909403	12.0	7.0	4.0
0.9580645	0.67647058	0.99696099	0.76470588	0.25037836	0.60297845	0.35856858	13.0	4.0	7.0	10.0	1571.66215992	87.0	8.0	4.0
0.62258065	0.52941179	0.8752758	0.55363322	0.62747197	0.74823813	0.05882353	9.0	8.0	8.0	9.0	1607.065624	14.0	9.0	4.0
0.77669901	0.80000001	0.95483493	0.83333333	0.4564535	0.51963219	0.60000322	15.0	3.0	4.0	13.0	1644.85911369	33.0	0.0	5.0
0.66990292	0.5714286	0.87057986	0.58169935	0.60601163	0.74332815	0.14002801	12.0	6.0	9.0	8.0	1681.84465051	10.0	1.0	5.0
0.8252427	0.5714286	0.96631473	0.67647059	0.42561611	0.66118659	0.14002801	12.0	6.0	9.0	8.0	1721.43096852	36.0	2.0	5.0
0.96116507	0.62857145	0.99698341	0.74509804	0.23798987	0.60824754	0.25671802	13.0	5.0	8.0	9.0	1764.53152895	83.0	3.0	5.0
0.80322582	0.64705884	0.95516423	0.69896194	0.45696346	0.67916335	0.30261377	13.0	4.0	8.0	9.0	1806.07626224	30.0	4.0	5.0
0.60967743	0.64705884	0.84730028	0.67128028	0.6627195	0.65521946	0.29411765	11.0	6.0	6.0	11.0	1848.47078824	8.0	5.0	5.0
0.71935487	0.58823532	0.92165189	0.70588235	0.51942658	0.62758573	0.18156826	12.0	5.0	9.0	8.0	1895.88303137	22.0	6.0	5.0
0.84838712	0.70588237	0.97660381	0.84083045	0.38883281	0.50270032	0.41464421	13.0	4.0	6.0	11.0	1938.85527802	39.0	7.0	5.0
0.98387098	0.7352941	0.99983348	0.80622837	0.19983513	0.59531481	0.49236596	15.0	2.0	7.0	10.0	1983.36815023	98.0	8.0	5.0
0.7870968	0.58823532	0.95025186	0.67820069	0.46384462	0.66279617	0.17770466	11.0	6.0	8.0	9.0	2020.40807796	33.0	9.0	5.0
0.69579285	0.65714288	0.90057818	0.7254902	0.58502829	0.62270022	0.31372549	12.0	6.0	6.0	11.0	2059.3258121	15.0	0.0	6.0
0.69902915	0.65714288	0.88809284	0.70588235	0.5854798	0.64623516	0.32720526	15.0	3.0	9.0	8.0	2132.88023686	15.0	1.0	6.0
0.63106793	0.60000002	0.87376404	0.56862745	0.62865718	0.72475866	0.20406349	14.0	4.0	10.0	7.0	2173.09515643	10.0	2.0	6.0
0.63106793	0.62857145	0.86781465	0.64379085	0.63777842	0.6945208	0.28783535	16.0	2.0	11.0	6.0	2212.29207158	10.0	3.0	6.0
0.68064517	0.58823532	0.88614129	0.67474048	0.59397243	0.67919121	0.18156826	12.0	5.0	9.0	8.0	2249.54798985	14.0	4.0	6.0
0.98387098	0.82352942	0.99987511	0.8650519	0.18768421	0.46775393	0.65158377	15.0	2.0	4.0	13.0	2303.73402357	101.0	5.0	6.0
0.90967745	0.79411763	0.99408851	0.80622837	0.30795501	0.55368804	0.61545745	16.0	1.0	6.0	11.0	2349.49862123	77.0	6.0	6.0
0.63548386	0.61764705	0.86182923	0.61591696	0.63422336	0.74889795	0.23570226	11.0	6.0	7.0	10.0	2385.72471642	9.0	7.0	6.0
0.62580645	0.55882353	0.86203738	0.61245675	0.64514408	0.72446876	0.12309149	12.0	5.0	10.0	7.0	2426.9014225	9.0	8.0	6.0
0.76774192	0.7352941	0.93651388	0.71972318	0.49188732	0.61821873	0.47140452	12.0	5.0	4.0	13.0	2475.31355834	24.0	9.0	6.0
0.89644015	0.65714288	0.98784984	0.69281046	0.3349445	0.65212797	0.31774895	14.0	4.0	8.0	9.0	2515.43468118	58.0	0.0	7.0
0.63106793	0.5714286	0.86785654	0.58496732	0.6265779	0.76504104	0.14108102	13.0	5.0	10.0	7.0	2554.18725824	9.0	1.0	7.0
1.0	0.74285716	1.0	0.84640523	0.12211065	0.47827791	0.48524851	14.0	4.0	5.0	12.0	2600.09077382	119.0	2.0	7.0
0.6278317	0.5714286	0.85993799	0.6503268	0.64971217	0.67758134	0.14108102	13.0	5.0	10.0	7.0	2641.22055626	11.0	3.0	7.0
0.75483871	0.61764705	0.93264227	0.61591696	0.49641508	0.69097037	0.24618298	13.0	4.0	9.0	8.0	2684.07315469	31.0	4.0	7.0
