train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.89534885	0.5	0.94901316	0.64	0.38458117	0.63610035	0.0	2.0	3.0	2.0	3.0	27.40553546	12.0	0.0	1.0
0.93023258	0.69999999	0.98410088	0.68	0.29811451	0.88889045	0.40824829	3.0	2.0	1.0	4.0	46.90803218	17.0	1.0	1.0
0.94186044	0.69999999	0.98464912	0.72	0.2876637	0.61685067	0.40824829	3.0	2.0	1.0	4.0	58.82401466	18.0	2.0	1.0
0.82558137	0.69999999	0.89907256	0.5	0.46903001	0.67496711	0.35634832	2.0	2.0	1.0	5.0	73.67149138	8.0	3.0	1.0
0.91860467	0.60000002	0.96617567	0.79166667	0.32153927	0.53203738	0.25	3.0	1.0	3.0	3.0	87.08604622	16.0	4.0	1.0
0.97674417	0.69999999	0.99727223	0.83333333	0.22131194	0.53553766	0.40824829	3.0	1.0	2.0	4.0	99.08035946	25.0	5.0	1.0
0.78160918	0.77777779	0.90384615	0.6	0.44947478	0.92160958	0.55	3.0	1.0	1.0	4.0	113.87840891	6.0	6.0	1.0
0.80459768	0.55555558	0.88514957	0.7	0.48158419	0.66208816	0.1	2.0	2.0	2.0	3.0	128.17258525	6.0	7.0	1.0
0.87356323	0.55555558	0.93215812	0.5	0.39546046	0.79342622	0.1	2.0	2.0	2.0	3.0	141.89454842	8.0	8.0	1.0
0.81609195	0.77777779	0.9150641	0.9	0.42783774	0.5253247	0.63245553	4.0	0.0	2.0	3.0	155.67156649	9.0	9.0	1.0
0.91860467	0.69999999	0.96436404	0.76	0.34174913	0.62912428	0.40824829	4.0	1.0	2.0	3.0	167.18999648	15.0	0.0	2.0
0.88372093	0.69999999	0.96162281	0.76	0.36559139	0.63081372	0.40824829	3.0	2.0	1.0	4.0	180.42977262	12.0	1.0	2.0
0.94186044	0.69999999	0.96162281	0.64	0.36541515	0.66395551	0.40824829	3.0	2.0	1.0	4.0	193.62004757	12.0	2.0	2.0
1.0	0.80000001	1.0	0.83333333	0.12496453	0.62801182	0.66666667	4.0	0.0	2.0	4.0	206.45197177	45.0	3.0	2.0
0.81395346	0.40000001	0.92853246	0.41666667	0.42132545	0.85194981	-0.25	1.0	3.0	3.0	3.0	219.90304565	7.0	4.0	2.0
0.88372093	0.60000002	0.92853246	0.58333333	0.40992556	0.78682244	0.25	3.0	1.0	3.0	3.0	234.0109973	8.0	5.0	2.0
0.87356323	0.77777779	0.96688034	0.65	0.34765818	0.71976799	0.5976143	2.0	2.0	0.0	5.0	247.90289927	13.0	6.0	2.0
0.90804595	0.33333334	0.96260684	0.25	0.32405733	1.06495643	-0.35	1.0	3.0	3.0	2.0	263.78754759	15.0	7.0	2.0
0.86206895	0.55555558	0.93108974	0.6	0.40665548	0.75633544	0.05976143	1.0	3.0	1.0	4.0	276.01301336	9.0	8.0	2.0
0.82758623	0.77777779	0.90811966	0.75	0.43120478	0.559762	0.5976143	2.0	2.0	0.0	5.0	289.96578312	10.0	9.0	2.0
0.94186044	0.80000001	0.98026316	0.8	0.29248856	0.50099325	0.6	4.0	1.0	1.0	4.0	304.07316637	18.0	0.0	3.0
0.83720928	0.40000001	0.91063596	0.52	0.44641552	0.87632811	-0.21821789	1.0	4.0	2.0	3.0	317.41219592	6.0	1.0	3.0
0.88372093	0.40000001	0.97039474	0.16	0.31668422	1.25479484	-0.2	2.0	3.0	3.0	2.0	331.16617012	14.0	2.0	3.0
0.91860467	0.60000002	0.98799782	0.75	0.26508397	0.59311503	0.16666667	2.0	2.0	2.0	4.0	348.26851821	22.0	3.0	3.0
0.79069769	0.69999999	0.87179487	0.54166667	0.47630748	0.75294143	0.40824829	3.0	1.0	2.0	4.0	361.41393471	6.0	4.0	3.0
0.91860467	0.60000002	0.96235679	0.79166667	0.33388113	0.57626677	0.25	3.0	1.0	3.0	3.0	376.32276511	14.0	5.0	3.0
