train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9074074	0.84615386	0.94991055	0.925	0.30626042	0.35752931	0.69282032	8.0	0.0	2.0	3.0	47.98251295	22.0	0.0	1.0
0.95412844	0.91666669	0.98041958	0.84375	0.21547579	0.33552837	0.81649658	8.0	0.0	1.0	3.0	68.62408328	63.0	1.0	1.0
0.98165137	0.91666669	1.0	0.96875	0.10832562	0.32500032	0.83666003	7.0	1.0	0.0	4.0	90.57399702	149.0	2.0	1.0
0.95412844	0.75	0.98661029	0.82857143	0.20147182	0.63741153	0.52915026	7.0	0.0	3.0	2.0	119.52880788	61.0	3.0	1.0
0.91743118	0.75	0.94996476	0.8	0.30194621	0.5366928	0.47809144	6.0	1.0	2.0	3.0	137.91123486	28.0	4.0	1.0
1.0	0.83333331	1.0	1.0	0.01665699	0.21889962	0.68313005	7.0	0.0	2.0	3.0	166.00683546	500.0	5.0	1.0
0.89908254	0.75	0.92142354	0.71428571	0.3715107	0.55101329	0.52915026	7.0	0.0	3.0	2.0	187.06712961	16.0	6.0	1.0
0.94495416	0.75	0.96652572	1.0	0.26021736	0.40088868	0.5976143	4.0	3.0	0.0	5.0	210.15210652	35.0	7.0	1.0
1.0	0.83333331	1.0	1.0	0.02771186	0.26876333	0.71428571	5.0	2.0	0.0	5.0	234.70791984	325.0	8.0	1.0
0.88073397	0.83333331	0.92635659	0.85714286	0.3674218	0.40332246	0.71428571	5.0	2.0	0.0	5.0	252.52762485	15.0	9.0	1.0
0.9537037	0.92307693	0.98962433	1.0	0.18866098	0.28805873	0.84327404	8.0	0.0	1.0	4.0	274.15543604	94.0	0.0	2.0
0.95412844	0.91666669	0.99370629	0.84375	0.1743672	0.39735165	0.81649658	8.0	0.0	1.0	3.0	296.49700618	60.0	1.0	2.0
0.89908254	0.66666669	0.92237762	0.875	0.3633969	0.54496324	0.15811388	7.0	1.0	3.0	1.0	317.27993155	14.0	2.0	2.0
0.88990825	0.75	0.93551797	0.82857143	0.33499008	0.50737846	0.47809144	6.0	1.0	2.0	3.0	340.44785166	16.0	3.0	2.0
0.93577981	0.83333331	0.98731501	0.91428571	0.20422221	0.41231516	0.71428571	5.0	2.0	0.0	5.0	365.10946536	59.0	4.0	2.0
0.92660552	0.83333331	0.95348837	0.77142857	0.29994499	0.45342007	0.68313005	7.0	0.0	2.0	3.0	384.09582686	26.0	5.0	2.0
0.98165137	0.91666669	0.99682875	1.0	0.14765286	0.22479947	0.84515425	6.0	1.0	0.0	5.0	411.50784898	142.0	6.0	2.0
1.0	1.0	1.0	1.0	0.01766164	0.02875965	1.0	7.0	0.0	0.0	5.0	439.33663917	500.0	7.0	2.0
1.0	0.91666669	1.0	1.0	0.02102242	0.13885796	0.83666003	7.0	0.0	1.0	4.0	468.28970456	500.0	8.0	2.0
0.81651378	0.41666666	0.92212826	0.37142857	0.40014598	1.07652724	-0.16903085	3.0	4.0	3.0	2.0	490.65328121	6.0	9.0	2.0
0.96296299	0.92307693	0.98747764	0.925	0.20090092	0.2660782	0.84327404	8.0	0.0	1.0	4.0	513.58532739	71.0	0.0	3.0
0.99082571	0.91666669	0.99825175	0.75	0.12336801	0.39748991	0.81649658	8.0	0.0	1.0	3.0	535.45541525	130.0	1.0	3.0
0.83486241	0.66666669	0.90944056	0.65625	0.43477236	0.76665419	0.15811388	7.0	1.0	3.0	1.0	557.44091249	6.0	2.0	3.0
1.0	0.75	1.0	0.94285714	0.06304094	0.32237098	0.47809144	6.0	1.0	2.0	3.0	588.7463758	263.0	3.0	3.0
0.85321099	0.41666666	0.89992953	0.51428571	0.40607326	0.75140601	-0.16903085	3.0	4.0	3.0	2.0	609.98549271	8.0	4.0	3.0
0.97247708	0.91666669	0.99577167	0.97142857	0.16550297	0.27686045	0.83666003	7.0	0.0	1.0	4.0	634.36629653	81.0	5.0	3.0
0.96330273	0.91666669	0.98766737	0.91428571	0.17076112	0.47621837	0.83666003	7.0	0.0	1.0	4.0	655.953161	69.0	6.0	3.0
0.98165137	0.83333331	0.99330514	0.91428571	0.16775085	0.38309941	0.71428571	5.0	2.0	0.0	5.0	675.42982674	91.0	7.0	3.0
0.94495416	0.83333331	0.97709655	0.94285714	0.24261293	0.34391883	0.68313005	7.0	0.0	2.0	3.0	701.24969769	41.0	8.0	3.0
0.94495416	0.83333331	0.98273432	0.91428571	0.22199947	0.34161472	0.65714286	6.0	1.0	1.0	4.0	724.0710268	54.0	9.0	3.0
0.81481481	0.69230771	0.8980322	0.7	0.42451763	0.65733039	0.41475753	5.0	3.0	1.0	4.0	744.82686114	9.0	0.0	4.0
1.0	0.83333331	1.0	0.90625	0.06316996	0.365448	0.625	7.0	1.0	1.0	3.0	770.92003751	243.0	1.0	4.0
0.98165137	0.91666669	0.99965035	1.0	0.12738416	0.2423752	0.81649658	8.0	0.0	1.0	3.0	799.32388687	123.0	2.0	4.0
0.91743118	0.75	0.95278365	0.74285714	0.30123435	0.66874808	0.50709255	5.0	2.0	1.0	4.0	823.2977562	25.0	3.0	4.0
0.98165137	0.83333331	0.99964764	0.94285714	0.11109079	0.2989594	0.65714286	6.0	1.0	1.0	4.0	849.93717051	132.0	4.0	4.0
0.95412844	0.83333331	0.96370684	0.85714286	0.2457345	0.52171212	0.65714286	6.0	1.0	1.0	4.0	877.82382774	48.0	5.0	4.0
1.0	0.83333331	1.0	0.91428571	0.01552002	0.30126858	0.65714286	6.0	1.0	1.0	4.0	911.46297789	469.0	6.0	4.0
0.96330273	0.83333331	0.98238196	0.8	0.21102023	0.60494381	0.68313005	7.0	0.0	2.0	3.0	934.2737062	58.0	7.0	4.0
0.90825689	0.66666669	0.96300211	0.82857143	0.28211452	0.47638106	0.29277002	6.0	1.0	3.0	2.0	956.85938025	31.0	8.0	4.0
0.97247708	0.91666669	0.99718111	0.97142857	0.16043091	0.33774576	0.84515425	6.0	1.0	0.0	5.0	980.20556688	114.0	9.0	4.0
0.99074072	0.76923078	1.0	0.8	0.10583918	0.4686527	0.50069396	7.0	1.0	2.0	3.0	1008.64863658	174.0	0.0	5.0
0.98165137	0.75	0.9972028	0.75	0.14072146	0.50240022	0.40824829	7.0	1.0	2.0	2.0	1031.7703681	110.0	1.0	5.0
0.86238533	0.66666669	0.92342657	0.75	0.37653598	0.58883214	0.25	6.0	2.0	2.0	2.0	1054.18471289	13.0	2.0	5.0
1.0	0.91666669	1.0	1.0	0.01588777	0.16433801	0.84515425	6.0	1.0	0.0	5.0	1090.23154974	500.0	3.0	5.0
0.99082571	0.91666669	1.0	0.97142857	0.07557022	0.28353828	0.83666003	7.0	0.0	1.0	4.0	1119.94466758	229.0	4.0	5.0
0.96330273	0.75	0.98238196	0.85714286	0.19119218	0.54497927	0.47809144	6.0	1.0	2.0	3.0	1146.02316642	84.0	5.0	5.0
0.92660552	0.66666669	0.98062016	0.77142857	0.22020113	0.69449282	0.29277002	6.0	1.0	3.0	2.0	1173.92180848	56.0	6.0	5.0
0.93577981	0.91666669	0.98801973	0.97142857	0.21979406	0.23915024	0.84515425	6.0	1.0	0.0	5.0	1198.46572042	55.0	7.0	5.0
0.98165137	0.83333331	0.99859056	0.94285714	0.13638861	0.38768816	0.68313005	7.0	0.0	2.0	3.0	1224.942343	94.0	8.0	5.0
0.82568806	0.75	0.89429175	0.85714286	0.42080751	0.5260179	0.50709255	5.0	2.0	1.0	4.0	1247.8020649	14.0	9.0	5.0
1.0	0.92307693	1.0	0.975	0.07575327	0.19912855	0.85391256	7.0	1.0	0.0	5.0	1278.3312788	207.0	0.0	6.0
0.95412844	0.75	0.98461538	0.75	0.19512001	0.52421641	0.40824829	7.0	1.0	2.0	2.0	1306.92554402	64.0	1.0	6.0
0.86238533	0.66666669	0.91888112	0.8125	0.37042472	0.59285516	0.35355339	5.0	3.0	1.0	3.0	1334.29528499	12.0	2.0	6.0
0.87155962	0.75	0.93023256	0.88571429	0.36172324	0.44214109	0.47809144	6.0	1.0	2.0	3.0	1357.83825803	15.0	3.0	6.0
0.94495416	0.83333331	0.98942918	0.94285714	0.18997078	0.33414689	0.65714286	6.0	1.0	1.0	4.0	1385.60508943	68.0	4.0	6.0
0.94495416	0.75	0.98661029	0.82857143	0.20606118	0.53631645	0.52915026	7.0	0.0	3.0	2.0	1412.73253727	66.0	5.0	6.0
0.81651378	0.75	0.89816772	0.71428571	0.4286761	0.64890224	0.50709255	5.0	2.0	1.0	4.0	1435.28179169	8.0	6.0	6.0
0.96330273	0.91666669	0.9820296	0.88571429	0.20720304	0.31878424	0.83666003	7.0	0.0	1.0	4.0	1461.76588416	61.0	7.0	6.0
0.99082571	0.83333331	0.9982382	0.85714286	0.1353838	0.45943585	0.65714286	6.0	1.0	1.0	4.0	1494.40303636	86.0	8.0	6.0
0.94495416	0.83333331	0.9820296	0.85714286	0.20474937	0.43164352	0.68313005	7.0	0.0	2.0	3.0	1520.45069981	55.0	9.0	6.0
0.7962963	0.69230771	0.89051878	0.7	0.43262512	0.66036761	0.31754265	7.0	1.0	3.0	2.0	1546.53849077	8.0	0.0	7.0
0.97247708	0.83333331	0.98846154	0.875	0.1787719	0.45408884	0.63245553	8.0	0.0	2.0	2.0	1574.79794359	79.0	1.0	7.0
0.92660552	0.83333331	0.94755245	0.8125	0.30098604	0.46522167	0.625	7.0	1.0	1.0	3.0	1603.47162271	26.0	2.0	7.0
0.8440367	0.83333331	0.91155743	0.88571429	0.38731153	0.46615031	0.71428571	5.0	2.0	0.0	5.0	1632.40310383	14.0	3.0	7.0
0.95412844	0.91666669	0.9837914	0.94285714	0.20405481	0.33830652	0.83666003	7.0	0.0	1.0	4.0	1660.43024802	53.0	4.0	7.0
0.86238533	0.75	0.92107118	0.85714286	0.38389719	0.47387636	0.50709255	5.0	2.0	1.0	4.0	1684.41555882	17.0	5.0	7.0
0.98165137	0.66666669	0.99400987	0.82857143	0.15079856	0.57653087	0.37142857	4.0	3.0	1.0	4.0	1714.39811325	91.0	6.0	7.0
0.96330273	0.75	0.99224806	0.91428571	0.16792176	0.36123812	0.47809144	6.0	1.0	2.0	3.0	1743.14838099	90.0	7.0	7.0
0.98165137	0.75	0.99365751	0.85714286	0.18224515	0.44861379	0.47809144	6.0	1.0	2.0	3.0	1772.16204667	94.0	8.0	7.0
0.95412844	0.91666669	0.98555321	0.85714286	0.20346997	0.38820788	0.83666003	7.0	0.0	1.0	4.0	1801.72786283	63.0	9.0	7.0
0.8425926	0.69230771	0.9059034	0.625	0.40312875	0.63723469	0.31754265	7.0	1.0	3.0	2.0	1825.65742087	9.0	0.0	8.0
0.85321099	0.75	0.90944056	0.71875	0.39094016	0.60623503	0.47809144	6.0	2.0	1.0	3.0	1854.39422345	8.0	1.0	8.0
0.98165137	0.91666669	0.9979021	0.96875	0.14375238	0.19513001	0.83666003	7.0	1.0	0.0	4.0	1882.41477227	110.0	2.0	8.0
1.0	0.83333331	1.0	0.91428571	0.03064119	0.33244833	0.65714286	6.0	1.0	1.0	4.0	1914.59041142	350.0	3.0	8.0
1.0	1.0	1.0	1.0	0.02675151	0.20179875	1.0	7.0	0.0	0.0	5.0	1959.05728865	500.0	4.0	8.0
0.95412844	0.91666669	0.98414376	0.8	0.21457194	0.49499619	0.83666003	7.0	0.0	1.0	4.0	1986.43400526	54.0	5.0	8.0
1.0	0.83333331	1.0	0.91428571	0.01828391	0.3108201	0.65714286	6.0	1.0	1.0	4.0	2029.67374301	500.0	6.0	8.0
1.0	1.0	1.0	1.0	0.01775236	0.08014252	1.0	7.0	0.0	0.0	5.0	2071.25353622	500.0	7.0	8.0
1.0	0.91666669	1.0	1.0	0.01924164	0.15911897	0.83666003	7.0	0.0	1.0	4.0	2112.84572077	500.0	8.0	8.0
0.8440367	0.66666669	0.93269908	0.74285714	0.37482835	0.65672123	0.31428571	5.0	2.0	2.0	3.0	2147.06316304	8.0	9.0	8.0
0.93518519	0.69230771	0.96207513	0.775	0.27012934	0.6448651	0.41475753	5.0	3.0	1.0	4.0	2178.10453677	37.0	0.0	9.0
0.92660552	0.91666669	0.96608392	1.0	0.26508059	0.30049103	0.81649658	8.0	0.0	1.0	3.0	2207.6074326	40.0	1.0	9.0
0.97247708	0.75	0.99685315	0.9375	0.14666063	0.32946476	0.40824829	7.0	1.0	2.0	2.0	2241.16701078	131.0	2.0	9.0
0.93577981	0.83333331	0.96828753	0.85714286	0.26675214	0.41686416	0.68313005	7.0	0.0	2.0	3.0	2268.16680336	36.0	3.0	9.0
