train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9191919	0.81818181	0.98627002	0.83333333	0.18105212	0.38170564	0.38888889	8.0	1.0	1.0	1.0	37.78360415	41.0	0.0	1.0
0.97979796	0.72727275	0.99771167	0.88888889	0.10889541	0.36824578	-0.1490712	8.0	1.0	2.0	0.0	55.39548445	75.0	1.0	1.0
0.92929292	0.81818181	0.97597254	0.88888889	0.19227491	0.27698261	0.38888889	8.0	1.0	1.0	1.0	71.06261802	48.0	2.0	1.0
0.969697	0.90909094	0.98855835	1.0	0.14200053	0.11906645	0.67082039	9.0	0.0	1.0	1.0	87.18272448	72.0	3.0	1.0
1.0	0.81818181	1.0	0.88888889	0.06143487	0.2453797	0.38888889	8.0	1.0	1.0	1.0	107.82046723	286.0	4.0	1.0
0.969697	0.81818181	0.99704841	0.95833333	0.11886437	0.20158099	0.54166667	7.0	1.0	1.0	2.0	124.3275063	101.0	5.0	1.0
0.98989898	0.81818181	1.0	0.91666667	0.0730128	0.44093025	0.51639778	8.0	0.0	2.0	1.0	142.84718275	151.0	6.0	1.0
0.97979796	0.90909094	0.99704841	0.95833333	0.13241324	0.22279187	0.76980036	8.0	0.0	1.0	2.0	158.46715879	74.0	7.0	1.0
0.92929292	0.90909094	0.97343566	0.70833333	0.25184581	0.60413617	0.76980036	8.0	0.0	1.0	2.0	173.39551902	15.0	8.0	1.0
0.95959598	0.90909094	0.99527745	1.0	0.13194358	0.17208184	0.76980036	8.0	0.0	1.0	2.0	190.34097505	75.0	9.0	1.0
0.97979796	0.81818181	0.99713959	0.88888889	0.1061501	0.28718892	0.38888889	8.0	1.0	1.0	1.0	209.07058859	92.0	0.0	2.0
0.97979796	0.81818181	0.99599542	0.94444444	0.11503174	0.26057899	0.38888889	8.0	1.0	1.0	1.0	226.21545124	110.0	1.0	2.0
1.0	0.81818181	1.0	0.94444444	0.04814212	0.22347084	0.38888889	8.0	1.0	1.0	1.0	248.13072777	250.0	2.0	2.0
0.94949496	0.81818181	0.98913043	0.94444444	0.15160572	0.29794928	0.0	9.0	0.0	2.0	0.0	266.13009501	63.0	3.0	2.0
1.0	1.0	1.0	1.0	0.05508631	0.15178543	1.0	9.0	0.0	0.0	2.0	285.52089548	209.0	4.0	2.0
0.969697	0.90909094	0.99409681	1.0	0.13633712	0.17147504	0.81009259	7.0	1.0	0.0	3.0	302.38493752	66.0	5.0	2.0
0.90909094	0.81818181	0.98760331	1.0	0.17947513	0.29377455	0.51639778	8.0	0.0	2.0	1.0	323.37543893	45.0	6.0	2.0
0.90909094	0.81818181	0.97815821	0.83333333	0.20464031	0.6033085	0.51639778	8.0	0.0	2.0	1.0	340.13675356	39.0	7.0	2.0
0.90909094	0.81818181	0.96458087	0.70833333	0.24591213	0.52241665	0.51639778	8.0	0.0	2.0	1.0	357.54400325	20.0	8.0	2.0
0.95959598	0.72727275	0.99173554	0.875	0.12934534	0.36735678	0.24056261	7.0	1.0	2.0	1.0	376.91772056	77.0	9.0	2.0
0.97979796	0.81818181	0.99771167	0.88888889	0.09692999	0.33684951	0.38888889	8.0	1.0	1.0	1.0	397.10775399	112.0	0.0	3.0
1.0	1.0	1.0	1.0	0.01258372	0.06638587	1.0	9.0	0.0	0.0	2.0	424.07044101	500.0	1.0	3.0
0.90909094	0.81818181	0.95995423	0.61111111	0.26832839	0.46071577	0.0	9.0	0.0	2.0	0.0	440.26550722	20.0	2.0	3.0
0.92929292	0.81818181	0.9708238	0.88888889	0.21942449	0.31459966	0.0	9.0	0.0	2.0	0.0	461.7960186	30.0	3.0	3.0
0.89898992	0.81818181	0.98455378	0.61111111	0.25943681	0.45142972	0.38888889	8.0	1.0	1.0	1.0	479.77510381	21.0	4.0	3.0
0.97979796	0.81818181	0.99940968	1.0	0.07230212	0.27650869	0.51639778	8.0	0.0	2.0	1.0	503.1058228	153.0	5.0	3.0
0.97979796	0.90909094	0.99881936	0.95833333	0.08248002	0.21690893	0.76980036	8.0	0.0	1.0	2.0	523.03345323	147.0	6.0	3.0
0.97979796	0.81818181	0.99881936	1.0	0.10109021	0.20910925	0.51639778	8.0	0.0	2.0	1.0	543.36928082	126.0	7.0	3.0
1.0	0.81818181	1.0	0.95833333	0.05130262	0.2576021	0.54166667	7.0	1.0	1.0	2.0	565.37523651	256.0	8.0	3.0
0.94949496	0.90909094	0.98701299	0.875	0.16885657	0.26123193	0.81009259	7.0	1.0	0.0	3.0	585.26799035	58.0	9.0	3.0
1.0	1.0	1.0	1.0	0.01270373	0.02989428	1.0	9.0	0.0	0.0	2.0	612.77085423	500.0	0.0	4.0
1.0	1.0	1.0	1.0	0.01044017	0.07620651	1.0	9.0	0.0	0.0	2.0	642.20550203	500.0	1.0	4.0
0.85858583	0.90909094	0.96796339	0.72222222	0.27221781	0.38892993	0.67082039	9.0	0.0	1.0	1.0	659.59104633	20.0	2.0	4.0
1.0	0.90909094	1.0	0.88888889	0.04868949	0.22400115	0.67082039	9.0	0.0	1.0	1.0	684.46670985	228.0	3.0	4.0
0.92929292	0.81818181	0.98913043	0.94444444	0.17309148	0.29355353	0.38888889	8.0	1.0	1.0	1.0	704.34570336	52.0	4.0	4.0
0.97979796	0.90909094	0.99822904	0.95833333	0.10600176	0.24841477	0.76980036	8.0	0.0	1.0	2.0	724.98087096	107.0	5.0	4.0
0.93939394	0.63636363	0.97284534	0.75	0.21435057	0.41048622	-0.19364917	7.0	1.0	3.0	0.0	742.894907	29.0	6.0	4.0
0.97979796	0.90909094	0.99645809	0.95833333	0.12228598	0.25703225	0.76980036	8.0	0.0	1.0	2.0	761.81679463	92.0	7.0	4.0
0.98989898	0.72727275	0.99940968	0.70833333	0.0563408	0.56847054	0.0	8.0	0.0	3.0	0.0	783.79405403	182.0	8.0	4.0
1.0	0.90909094	1.0	1.0	0.04389162	0.14706269	0.76980036	8.0	0.0	1.0	2.0	805.79066014	240.0	9.0	4.0
1.0	1.0	1.0	1.0	0.01415428	0.06479135	1.0	9.0	0.0	0.0	2.0	834.80429816	500.0	0.0	5.0
0.80808079	0.81818181	0.94851259	0.38888889	0.35012162	0.55287939	0.0	9.0	0.0	2.0	0.0	853.3328948	10.0	1.0	5.0
0.98989898	0.90909094	0.99942792	1.0	0.07425473	0.19074063	0.67082039	9.0	0.0	1.0	1.0	874.93430495	153.0	2.0	5.0
1.0	0.81818181	1.0	0.94444444	0.04426672	0.27097294	0.0	9.0	0.0	2.0	0.0	899.15066838	271.0	3.0	5.0
0.95959598	0.90909094	0.98684211	0.94444444	0.14855593	0.20248269	0.67082039	9.0	0.0	1.0	1.0	918.40949965	72.0	4.0	5.0
0.84848487	0.72727275	0.9527745	0.75	0.33199893	0.54380071	0.0	8.0	0.0	3.0	0.0	938.00611353	13.0	5.0	5.0
0.97979796	0.90909094	0.99527745	0.875	0.13190276	0.31626919	0.81009259	7.0	1.0	0.0	3.0	962.01029253	77.0	6.0	5.0
0.92929292	0.63636363	0.96694215	0.875	0.22091809	0.41857126	0.2608746	5.0	3.0	1.0	2.0	982.07039237	31.0	7.0	5.0
