train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.70044053	0.65384614	0.71879252	0.45751634	0.59304945	0.71526106	0.13789005	2.0	7.0	2.0	15.0	96.92105389	9.0	0.0	1.0
0.64757711	0.61538464	0.68010204	0.51633987	0.61396867	0.70430401	-0.00973262	1.0	8.0	2.0	15.0	125.03362012	9.0	1.0	1.0
0.73568285	0.69230771	0.79710884	0.68627451	0.5481239	0.59663534	0.24331548	2.0	7.0	1.0	16.0	154.50456214	25.0	2.0	1.0
0.7149123	0.60000002	0.7670278	0.65441176	0.57205495	0.63147061	-0.20228869	0.0	8.0	2.0	15.0	186.557724	20.0	3.0	1.0
0.84649122	0.75999999	0.93564189	0.73611111	0.42022139	0.57822474	0.45833333	4.0	5.0	1.0	15.0	216.95801878	58.0	4.0	1.0
0.64912283	0.63999999	0.70565878	0.71527778	0.60332277	0.60979454	0.0	0.0	9.0	0.0	16.0	250.28358603	9.0	5.0	1.0
0.66666669	0.60000002	0.72516892	0.43055556	0.59294361	0.67057884	-0.02051525	1.0	8.0	2.0	14.0	288.3404808	14.0	6.0	1.0
0.7280702	0.60000002	0.81393581	0.65972222	0.54301629	0.62117195	-0.02051525	1.0	8.0	2.0	14.0	335.79757738	24.0	7.0	1.0
0.78070176	0.72000003	0.89856419	0.625	0.44721127	0.65327503	0.37872604	5.0	4.0	3.0	13.0	370.24701118	60.0	8.0	1.0
0.67982459	0.68000001	0.72010135	0.55555556	0.59788653	0.66719061	0.23592536	2.0	7.0	1.0	15.0	404.5630722	13.0	9.0	1.0
0.70044053	0.73076922	0.78928571	0.77777778	0.56117109	0.54808414	0.39674602	2.0	7.0	0.0	17.0	441.78983641	23.0	0.0	2.0
0.75330395	0.69230771	0.84370748	0.66666667	0.50912219	0.61970744	0.26035959	3.0	6.0	2.0	15.0	470.72049427	36.0	1.0	2.0
0.76211452	0.61538464	0.85629252	0.7254902	0.49650848	0.57050876	0.05522779	2.0	7.0	3.0	14.0	501.99028754	56.0	2.0	2.0
0.7719298	0.63999999	0.86016629	0.66176471	0.49819801	0.60981727	0.14514393	3.0	5.0	4.0	13.0	538.86913943	43.0	3.0	2.0
0.86842108	0.68000001	0.95109797	0.73611111	0.36852989	0.62237372	0.25	3.0	6.0	2.0	14.0	580.10951614	156.0	4.0	2.0
0.67543858	0.63999999	0.67753378	0.41666667	0.61040213	0.72269501	0.0	0.0	9.0	0.0	16.0	621.24463248	9.0	5.0	2.0
0.79385966	0.68000001	0.88868243	0.70138889	0.46199487	0.58911822	0.25	3.0	6.0	2.0	14.0	661.84545708	68.0	6.0	2.0
0.65350878	0.63999999	0.69662162	0.57638889	0.61000331	0.66077863	0.08600781	1.0	8.0	1.0	15.0	696.02615261	13.0	7.0	2.0
0.67543858	0.56	0.68648649	0.52777778	0.60949736	0.70433334	-0.10001653	1.0	8.0	3.0	13.0	725.43956709	9.0	8.0	2.0
0.64035088	0.63999999	0.68969595	0.63194444	0.61473342	0.64082387	0.08600781	1.0	8.0	1.0	15.0	766.18497491	8.0	9.0	2.0
0.66079295	0.76923078	0.73732993	0.62745098	0.58502828	0.60240658	0.49636359	3.0	6.0	0.0	17.0	796.46583414	16.0	0.0	3.0
0.74889868	0.69230771	0.8167517	0.52941176	0.53263911	0.69010934	0.24331548	2.0	7.0	1.0	16.0	831.64166021	27.0	1.0	3.0
