train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.60841423	0.62857145	0.82311044	0.6372549	0.64408601	0.68935975	0.25671802	13.0	5.0	8.0	9.0	119.53007627	55.0	0.0	1.0
0.45631069	0.54285717	0.71975029	0.53267974	0.75605706	0.7287892	0.08221556	14.0	4.0	12.0	5.0	160.33480787	10.0	1.0	1.0
0.66666669	0.62857145	0.84506452	0.66993464	0.62123948	0.63191956	0.25573908	12.0	6.0	7.0	10.0	208.19582343	90.0	2.0	1.0
0.71844661	0.62857145	0.88050947	0.68300654	0.57210998	0.63677109	0.25573908	12.0	6.0	7.0	10.0	255.78427529	102.0	3.0	1.0
0.63548386	0.61764705	0.82369593	0.66435986	0.65364754	0.66514947	0.25819889	14.0	3.0	10.0	7.0	302.21182394	59.0	4.0	1.0
0.91935486	0.70588237	0.98867657	0.76816609	0.28584753	0.61083399	0.41176471	12.0	5.0	5.0	12.0	367.13646317	500.0	5.0	1.0
0.55806452	0.47058824	0.78722784	0.56055363	0.6973347	0.72322566	-0.06666667	12.0	5.0	13.0	4.0	408.3304348	30.0	6.0	1.0
0.7870968	0.7647059	0.94746264	0.79238754	0.44301073	0.55682949	0.52941176	13.0	4.0	4.0	13.0	468.12717462	354.0	7.0	1.0
0.65483868	0.64705884	0.83131427	0.62629758	0.62270124	0.67866937	0.29411765	11.0	6.0	6.0	11.0	523.89692521	57.0	8.0	1.0
0.38709676	0.47058824	0.66088006	0.56055363	0.78775195	0.71057653	-0.0727393	13.0	4.0	14.0	3.0	563.90610504	8.0	9.0	1.0
0.67313915	0.60000002	0.81732864	0.73856209	0.6438973	0.60344935	0.19802951	12.0	6.0	8.0	9.0	609.24598503	38.0	0.0	2.0
0.85436893	0.65714288	0.96019775	0.71895425	0.39945213	0.63752474	0.32720526	15.0	3.0	9.0	8.0	664.4761436	353.0	1.0	2.0
0.88673139	0.77142859	0.97800402	0.81045752	0.34415464	0.53280902	0.54458115	15.0	3.0	5.0	12.0	726.60945106	479.0	2.0	2.0
0.5825243	0.54285717	0.80266466	0.58823529	0.6902142	0.69898941	0.08221556	14.0	4.0	12.0	5.0	771.28761292	30.0	3.0	2.0
0.48387095	0.55882353	0.73315016	0.59515571	0.74932991	0.69311745	0.15430335	15.0	2.0	13.0	4.0	823.97343445	19.0	4.0	2.0
0.68709677	0.64705884	0.8591649	0.71972318	0.60180456	0.60955464	0.29617444	10.0	7.0	5.0	12.0	871.14125943	96.0	5.0	2.0
0.65806454	0.61764705	0.85908164	0.70934256	0.60419961	0.64460738	0.24618298	13.0	4.0	9.0	8.0	919.94120812	76.0	6.0	2.0
0.62903225	0.64705884	0.79338912	0.71972318	0.66727033	0.60671128	0.29617444	12.0	5.0	7.0	10.0	961.90516019	30.0	7.0	2.0
0.44838709	0.52941179	0.70650681	0.66435986	0.76373385	0.6596453	0.06666667	13.0	4.0	12.0	5.0	1013.98165393	10.0	8.0	2.0
0.70322579	0.67647058	0.89796428	0.71626298	0.54564147	0.63941655	0.35355339	11.0	6.0	5.0	12.0	1062.5709157	102.0	9.0	2.0
0.55663431	0.5714286	0.79529077	0.59803922	0.6916658	0.70123822	0.14002801	12.0	6.0	9.0	8.0	1107.73678565	30.0	0.0	3.0
0.60194176	0.5714286	0.82769817	0.52614379	0.64817739	0.73603572	0.15169701	15.0	3.0	12.0	5.0	1155.0297873	44.0	1.0	3.0
0.49514562	0.60000002	0.75590749	0.61437908	0.73447497	0.6771274	0.20406349	14.0	4.0	10.0	7.0	1197.13644266	13.0	2.0	3.0
0.69902915	0.62857145	0.8641277	0.73856209	0.57691627	0.59066305	0.25671802	13.0	5.0	8.0	9.0	1243.2265296	65.0	3.0	3.0
0.46774194	0.44117647	0.7523417	0.5017301	0.73994961	0.73926843	-0.12309149	10.0	7.0	12.0	5.0	1284.87317944	15.0	4.0	3.0
0.36129034	0.5	0.603805	0.61937716	0.81880165	0.66868266	0.0	11.0	6.0	11.0	6.0	1326.10827231	8.0	5.0	3.0
0.63225806	0.5	0.84846593	0.53633218	0.62460385	0.75466508	0.0	8.0	9.0	8.0	9.0	1367.79790783	53.0	6.0	3.0
0.70645159	0.5	0.86403564	0.6366782	0.57606867	0.67908507	0.0	8.0	9.0	8.0	9.0	1418.75362468	115.0	7.0	3.0
0.68709677	0.61764705	0.8770659	0.75432526	0.58030607	0.59548862	0.23904572	12.0	5.0	8.0	9.0	1465.5711267	140.0	8.0	3.0
0.75483871	0.64705884	0.90649848	0.79238754	0.52969702	0.55961983	0.31434731	14.0	3.0	9.0	8.0	1515.18536735	177.0	9.0	3.0
0.77669901	0.62857145	0.92848165	0.68300654	0.48310634	0.60886163	0.25573908	12.0	6.0	7.0	10.0	1567.72530413	177.0	0.0	4.0
0.85113269	0.62857145	0.96778113	0.73856209	0.39691307	0.6064493	0.25671802	13.0	5.0	8.0	9.0	1630.40945649	417.0	1.0	4.0
0.46278316	0.54285717	0.70039383	0.55882353	0.76843738	0.69664902	0.08496732	10.0	8.0	8.0	9.0	1674.892452	12.0	2.0	4.0
0.40453073	0.37142858	0.65510307	0.37581699	0.79891434	0.76339977	-0.28850356	10.0	8.0	14.0	3.0	1719.00111794	8.0	3.0	4.0
0.91290325	0.82352942	0.98434703	0.84775087	0.31159878	0.47610892	0.66575029	16.0	1.0	5.0	12.0	1788.46672416	492.0	4.0	4.0
0.56129032	0.52941179	0.77648724	0.60553633	0.70030596	0.70293586	0.0727393	14.0	3.0	13.0	4.0	1829.7385397	28.0	5.0	4.0
0.76129031	0.67647058	0.90903793	0.7716263	0.51232489	0.57984659	0.36927447	14.0	3.0	8.0	9.0	1880.96745014	185.0	6.0	4.0
0.59677422	0.70588237	0.8025894	0.7716263	0.67126747	0.61379405	0.42365927	14.0	3.0	7.0	10.0	1921.75831366	41.0	7.0	4.0
0.60645163	0.5	0.8164939	0.65051903	0.66989822	0.66447791	0.0	12.0	5.0	12.0	5.0	1965.36864495	48.0	8.0	4.0
0.37096775	0.52941179	0.65247075	0.62629758	0.80378407	0.67192033	0.06286946	12.0	5.0	11.0	6.0	2009.0180943	8.0	9.0	4.0
0.69579285	0.71428573	0.86773085	0.80718954	0.57936922	0.55377107	0.42906394	14.0	4.0	6.0	11.0	2061.86719131	119.0	0.0	5.0
0.64401293	0.60000002	0.82587565	0.62418301	0.63134849	0.66241436	0.19943817	13.0	5.0	9.0	8.0	2106.91304111	51.0	1.0	5.0
0.83495146	0.60000002	0.9594855	0.74836601	0.41471128	0.62438167	0.20406349	14.0	4.0	10.0	7.0	2168.83606148	326.0	2.0	5.0
0.49838188	0.54285717	0.72611865	0.60130719	0.74966292	0.70682347	0.0825123	11.0	7.0	9.0	8.0	2215.61395407	21.0	3.0	5.0
