train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
1.0	0.69999999	1.0	0.84	0.14035464	0.51396644	0.5	2.0	3.0	0.0	5.0	32.61165309	330.0	0.0	1.0
0.6511628	0.40000001	0.79605263	0.44	0.58673003	0.82291162	-0.21821789	1.0	4.0	2.0	3.0	52.0491488	12.0	1.0	1.0
0.87209302	0.80000001	0.92105263	0.8	0.41358278	0.52591228	0.6	4.0	1.0	1.0	4.0	64.35568023	60.0	2.0	1.0
0.74418604	0.5	0.82214948	0.625	0.57942929	0.6347037	0.0	2.0	2.0	3.0	3.0	79.29194069	16.0	3.0	1.0
0.82558137	0.80000001	0.90834697	0.83333333	0.43168417	0.5058322	0.58333333	3.0	1.0	1.0	5.0	92.42156553	56.0	4.0	1.0
0.96511626	0.80000001	0.99127114	0.79166667	0.21856328	0.52446163	0.66666667	4.0	0.0	2.0	4.0	106.34734869	180.0	5.0	1.0
0.7241379	0.55555558	0.81784188	0.5	0.57670634	0.79001439	0.1	2.0	2.0	2.0	3.0	120.83908367	13.0	6.0	1.0
0.82758623	0.55555558	0.89850427	0.55	0.44349403	0.71042275	0.15811388	3.0	1.0	3.0	2.0	135.65326333	41.0	7.0	1.0
0.75862068	0.22222222	0.84027778	0.3	0.51931601	0.84061313	-0.5976143	2.0	2.0	5.0	0.0	149.07538819	23.0	8.0	1.0
0.85057473	0.66666669	0.92361111	0.85	0.41118017	0.59599066	0.47809144	4.0	0.0	3.0	2.0	163.28592467	59.0	9.0	1.0
1.0	0.80000001	1.0	0.76	0.14504657	0.50557548	0.65465367	5.0	0.0	2.0	3.0	179.05042195	319.0	0.0	2.0
0.83720928	0.80000001	0.91557018	0.88	0.42911766	0.58794928	0.65465367	3.0	2.0	0.0	5.0	192.36707067	60.0	1.0	2.0
0.87209302	0.69999999	0.94133772	0.8	0.41444604	0.559497	0.40824829	3.0	2.0	1.0	4.0	205.52218771	49.0	2.0	2.0
0.76744187	0.60000002	0.86252046	0.70833333	0.51928816	0.59986651	0.25	3.0	1.0	3.0	3.0	218.93015289	21.0	3.0	2.0
0.76744187	0.60000002	0.84397163	0.66666667	0.52659288	0.72023964	0.16666667	2.0	2.0	2.0	4.0	231.4930768	16.0	4.0	2.0
0.70930231	0.60000002	0.80250955	0.625	0.57843752	0.69732559	0.25	3.0	1.0	3.0	3.0	244.9691577	16.0	5.0	2.0
0.68965518	0.77777779	0.79220085	0.6	0.58181706	0.70220113	0.5976143	2.0	2.0	0.0	5.0	258.34144449	13.0	6.0	2.0
0.60919541	0.11111111	0.7457265	0.25	0.63114991	0.90573049	-0.79056942	1.0	3.0	5.0	0.0	272.90762663	8.0	7.0	2.0
0.79310346	0.55555558	0.86752137	0.55	0.50388069	0.6952517	0.1	2.0	2.0	2.0	3.0	285.66730237	27.0	8.0	2.0
