train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.89903843	0.875	0.98029967	0.92361111	0.24060156	0.36642542	0.75261781	11.0	1.0	2.0	10.0	86.10390306	10.0	0.0	1.0
0.99519229	0.91666669	1.0	0.97916667	0.06051012	0.19387286	0.83333333	11.0	1.0	1.0	11.0	114.45410967	58.0	1.0	1.0
0.99038464	0.95833331	0.99916759	0.9375	0.09550246	0.26380079	0.91986621	12.0	0.0	1.0	11.0	141.1719451	41.0	2.0	1.0
0.96153843	0.875	0.99519053	0.97222222	0.15204379	0.25668225	0.75261781	11.0	1.0	2.0	10.0	170.16514349	25.0	3.0	1.0
0.9952153	0.78260869	0.99981682	0.88636364	0.09469858	0.43761031	0.58930667	10.0	1.0	4.0	8.0	197.47785926	49.0	4.0	1.0
1.0	0.86956519	1.0	0.99242424	0.04296547	0.24369193	0.76764947	11.0	0.0	3.0	9.0	225.48279333	92.0	5.0	1.0
1.0	0.9130435	1.0	0.96212121	0.02941293	0.24667859	0.82575758	10.0	1.0	1.0	11.0	254.88249254	121.0	6.0	1.0
0.97607654	0.82608694	0.99725224	0.88636364	0.130985	0.39036463	0.65909298	8.0	3.0	1.0	11.0	281.54550052	35.0	7.0	1.0
0.91904759	0.77272725	0.97332365	0.89256198	0.24198123	0.50184571	0.56694671	10.0	1.0	4.0	7.0	307.0231688	11.0	8.0	1.0
0.92380953	0.81818181	0.98276019	0.99173554	0.21897521	0.34628827	0.68313005	7.0	4.0	0.0	11.0	332.53221846	13.0	9.0	1.0
0.95192307	0.83333331	0.99324824	0.91666667	0.20588324	0.41304195	0.6761234	9.0	3.0	1.0	11.0	358.88432097	20.0	0.0	2.0
0.94711536	0.91666669	0.99343322	0.97222222	0.16690459	0.21784254	0.83333333	11.0	1.0	1.0	11.0	385.11690712	22.0	1.0	2.0
0.99038464	0.83333331	0.99981502	0.97222222	0.09847585	0.32103609	0.70710678	8.0	4.0	0.0	12.0	414.06556916	43.0	2.0	2.0
1.0	0.875	1.0	0.94444444	0.04232251	0.26075601	0.75261781	11.0	1.0	2.0	10.0	442.82907653	69.0	3.0	2.0
0.9952153	0.82608694	0.99990841	0.95454545	0.07935732	0.24948361	0.66414149	10.0	1.0	3.0	9.0	470.72257495	57.0	4.0	2.0
0.93301433	0.78260869	0.98516212	0.90151515	0.22073765	0.41507636	0.56818182	9.0	2.0	3.0	9.0	496.60925245	17.0	5.0	2.0
0.97607654	0.86956519	0.99706906	0.98484848	0.13581407	0.26942152	0.74047959	9.0	2.0	1.0	11.0	522.32540894	32.0	6.0	2.0
0.95693779	0.86956519	0.99505404	0.96212121	0.16096375	0.28888229	0.76764947	11.0	0.0	3.0	9.0	548.49899459	25.0	7.0	2.0
0.99523807	0.81818181	0.99945558	0.90909091	0.08251296	0.41777887	0.63636364	9.0	2.0	2.0	9.0	579.48638034	43.0	8.0	2.0
0.96666664	0.68181819	0.99682424	0.84297521	0.12961645	0.48766655	0.36514837	7.0	4.0	3.0	8.0	606.53375435	27.0	9.0	2.0
1.0	1.0	1.0	1.0	0.00298415	0.03242447	1.0	12.0	0.0	0.0	12.0	643.99977851	342.0	0.0	3.0
1.0	0.875	1.0	0.96527778	0.03361324	0.29073473	0.77459667	12.0	0.0	3.0	9.0	674.01315618	90.0	1.0	3.0
1.0	0.83333331	1.0	0.90972222	0.04522915	0.41100641	0.70710678	8.0	4.0	0.0	12.0	703.49208379	87.0	2.0	3.0
0.98557693	0.83333331	0.99944506	0.95833333	0.09502285	0.3117776	0.6761234	9.0	3.0	1.0	11.0	732.17596173	40.0	3.0	3.0
0.91866028	0.86956519	0.9830555	0.93939394	0.21354949	0.37224823	0.76277007	8.0	3.0	0.0	12.0	758.90379238	15.0	4.0	3.0
0.9952153	0.9130435	0.99990841	1.0	0.07234622	0.17346969	0.83743579	9.0	2.0	0.0	12.0	787.19385242	54.0	5.0	3.0
0.95215309	0.82608694	0.99514563	0.96212121	0.15909081	0.32990717	0.66414149	10.0	1.0	3.0	9.0	814.56042743	28.0	6.0	3.0
0.93779904	0.86956519	0.98626122	0.9469697	0.23263162	0.40407352	0.76764947	11.0	0.0	3.0	9.0	841.37932348	19.0	7.0	3.0
0.91904759	0.68181819	0.98185283	0.80165289	0.23790486	0.57731	0.36514837	8.0	3.0	4.0	7.0	873.72200489	9.0	8.0	3.0
0.93333334	0.86363637	0.99029126	0.94214876	0.18424094	0.29650028	0.73029674	10.0	1.0	2.0	9.0	905.09072208	22.0	9.0	3.0
0.98557693	0.875	0.99926008	0.9375	0.10085547	0.29181691	0.75261781	11.0	1.0	2.0	10.0	933.2138319	39.0	0.0	4.0
0.93269229	0.79166669	0.98982612	0.86805556	0.19048475	0.39687464	0.58536941	10.0	2.0	3.0	9.0	961.51349926	18.0	1.0	4.0
0.99519229	0.83333331	0.99972253	0.9375	0.07477646	0.27275547	0.66666667	10.0	2.0	2.0	10.0	990.30867672	52.0	2.0	4.0
1.0	0.95833331	1.0	1.0	0.00204849	0.08283575	0.91986621	11.0	1.0	0.0	12.0	1031.52217984	400.0	3.0	4.0
1.0	0.9130435	1.0	0.99242424	0.00768157	0.13796936	0.83743579	9.0	2.0	0.0	12.0	1065.30172229	210.0	4.0	4.0
0.98564595	0.82608694	0.99871771	0.96969697	0.11468463	0.26752275	0.65151515	9.0	2.0	2.0	10.0	1093.76548862	43.0	5.0	4.0
0.91866028	0.73913044	0.97966661	0.91666667	0.22771741	0.52998642	0.56879646	11.0	0.0	6.0	6.0	1121.16353703	11.0	6.0	4.0
1.0	0.95652175	1.0	0.96969697	0.03152792	0.21520172	0.91666667	11.0	0.0	1.0	11.0	1151.40135312	96.0	7.0	4.0
0.91428572	0.86363637	0.98266945	0.94214876	0.2258574	0.37606363	0.73029674	9.0	2.0	1.0	10.0	1183.03366852	13.0	8.0	4.0
0.99523807	0.86363637	0.99990926	0.94214876	0.07295583	0.34231278	0.73029674	9.0	2.0	1.0	10.0	1215.86911345	49.0	9.0	4.0
1.0	0.95833331	1.0	0.99305556	0.00301108	0.11257913	0.91986621	11.0	1.0	0.0	12.0	1256.74953246	331.0	0.0	5.0
0.99519229	0.91666669	0.99990751	0.97222222	0.07225794	0.2074073	0.83333333	11.0	1.0	1.0	11.0	1287.45596409	53.0	1.0	5.0
0.92788464	0.91666669	0.98742138	0.97916667	0.19591716	0.27966194	0.84515425	12.0	0.0	2.0	10.0	1316.536062	16.0	2.0	5.0
0.92307693	0.79166669	0.98538661	0.95833333	0.21024025	0.33169985	0.60246408	8.0	4.0	1.0	11.0	1346.45331955	14.0	3.0	5.0
0.9952153	0.82608694	1.0	0.93939394	0.05868218	0.30298401	0.66414149	10.0	1.0	3.0	9.0	1376.82895231	76.0	4.0	5.0
0.91387558	0.78260869	0.98369665	0.84848485	0.22127615	0.4609901	0.58930667	10.0	1.0	4.0	8.0	1404.29890513	11.0	5.0	5.0
1.0	0.95652175	1.0	0.98484848	0.00099958	0.12955895	0.91605722	10.0	1.0	0.0	12.0	1450.86912441	465.0	6.0	5.0
