train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.9285714	0.75	0.99401914	0.74074074	0.17728605	0.57253009	0.0	9.0	0.0	3.0	0.0	37.85040522	10.0	0.0	1.0
1.0	0.83333331	1.0	1.0	0.05038987	0.20090257	0.52223297	9.0	0.0	2.0	1.0	52.63186741	48.0	1.0	1.0
0.97959185	0.83333331	0.99820574	0.96296296	0.10883079	0.27270845	0.55555556	8.0	1.0	1.0	2.0	68.653229	19.0	2.0	1.0
0.98979592	0.83333331	1.0	0.96296296	0.10309345	0.30660143	0.52223297	9.0	0.0	2.0	1.0	82.9034512	23.0	3.0	1.0
1.0	0.83333331	1.0	0.96296296	0.06476643	0.23788388	0.55555556	8.0	1.0	1.0	2.0	98.99593735	40.0	4.0	1.0
0.99000001	0.89999998	0.99943535	0.875	0.10518032	0.26451579	0.76376262	7.0	1.0	0.0	2.0	114.16295385	23.0	5.0	1.0
0.94	0.69999999	0.98080181	0.875	0.19199139	0.45735464	-0.16666667	7.0	1.0	2.0	0.0	129.11641574	10.0	6.0	1.0
0.91000003	0.60000002	0.9689441	0.5625	0.24202662	0.5552547	-0.25	6.0	2.0	2.0	0.0	142.5907197	8.0	7.0	1.0
0.94999999	0.89999998	0.99491813	1.0	0.15504463	0.25202623	0.76376262	7.0	1.0	0.0	2.0	159.73237348	15.0	8.0	1.0
0.97000003	0.89999998	0.99717674	1.0	0.1188429	0.16074663	0.66666667	8.0	0.0	1.0	1.0	176.43505597	20.0	9.0	1.0
0.98979592	0.83333331	0.99940191	0.88888889	0.1056366	0.35435936	0.52223297	9.0	0.0	2.0	1.0	190.29091144	24.0	0.0	2.0
0.9285714	0.75	0.98863636	0.62962963	0.18010638	0.66690618	0.0	9.0	0.0	3.0	0.0	204.59177637	10.0	1.0	2.0
1.0	0.91666669	1.0	1.0	0.02459902	0.10338827	0.77459667	9.0	0.0	1.0	2.0	221.32046866	70.0	2.0	2.0
0.98979592	0.91666669	1.0	0.88888889	0.06606975	0.26604876	0.81649658	8.0	1.0	0.0	3.0	238.26016378	35.0	3.0	2.0
1.0	0.83333331	1.0	0.92592593	0.07119082	0.30197302	0.55555556	8.0	1.0	1.0	2.0	257.40106606	32.0	4.0	2.0
1.0	1.0	1.0	1.0	0.00074759	0.011363	1.0	8.0	0.0	0.0	2.0	281.97341323	500.0	5.0	2.0
1.0	0.89999998	1.0	0.9375	0.07689791	0.24530216	0.66666667	8.0	0.0	1.0	1.0	298.92344451	29.0	6.0	2.0
0.93000001	0.69999999	0.98588368	0.5	0.19416348	0.67222011	-0.16666667	7.0	1.0	2.0	0.0	315.53692627	9.0	7.0	2.0
0.99000001	0.89999998	0.99943535	1.0	0.08074712	0.1439676	0.76376262	7.0	1.0	0.0	2.0	330.85861444	31.0	8.0	2.0
0.99000001	0.89999998	1.0	0.9375	0.08809895	0.22882867	0.66666667	8.0	0.0	1.0	1.0	346.22177935	26.0	9.0	2.0
0.94897962	0.83333331	0.99521531	0.7037037	0.16046277	0.60455441	0.52223297	9.0	0.0	2.0	1.0	364.80637932	10.0	0.0	3.0
1.0	1.0	1.0	1.0	0.0009542	0.04205286	1.0	9.0	0.0	0.0	3.0	391.96961379	500.0	1.0	3.0
0.97959185	0.91666669	0.99880383	1.0	0.12269569	0.28008047	0.77459667	9.0	0.0	1.0	2.0	409.95592403	18.0	2.0	3.0
0.98979592	0.75	1.0	0.88888889	0.07553858	0.36244699	0.25819889	8.0	1.0	2.0	1.0	425.43003178	32.0	3.0	3.0
1.0	0.91666669	1.0	1.0	0.00396388	0.13199376	0.77459667	9.0	0.0	1.0	2.0	447.22225547	227.0	4.0	3.0
0.98000002	0.89999998	1.0	0.9375	0.09202449	0.2852098	0.66666667	8.0	0.0	1.0	1.0	466.30470014	26.0	5.0	3.0
0.95999998	0.89999998	0.99661208	0.8125	0.12602367	0.31779164	0.66666667	8.0	0.0	1.0	1.0	482.85607839	20.0	6.0	3.0
0.99000001	0.80000001	1.0	1.0	0.08193291	0.33887765	0.0	8.0	0.0	2.0	0.0	501.36845899	30.0	7.0	3.0
1.0	0.89999998	1.0	0.9375	0.08555217	0.26430035	0.76376262	7.0	1.0	0.0	2.0	518.99299645	31.0	8.0	3.0
0.99000001	0.89999998	1.0	0.9375	0.07184668	0.22667976	0.76376262	7.0	1.0	0.0	2.0	538.30974889	33.0	9.0	3.0
0.98979592	0.75	0.99940191	0.81481481	0.08524025	0.52728724	0.40824829	7.0	2.0	1.0	2.0	560.42827606	32.0	0.0	4.0
1.0	0.83333331	1.0	1.0	0.0866661	0.22666748	0.52223297	9.0	0.0	2.0	1.0	578.68236685	30.0	1.0	4.0
0.96938777	0.83333331	0.98983254	0.92592593	0.172169	0.34049091	0.52223297	9.0	0.0	2.0	1.0	597.52776051	12.0	2.0	4.0
1.0	0.91666669	1.0	0.96296296	0.06178555	0.19634736	0.81649658	8.0	1.0	0.0	3.0	613.78905463	40.0	3.0	4.0
1.0	0.91666669	1.0	0.96296296	0.07375974	0.24583404	0.77459667	9.0	0.0	1.0	2.0	631.34688306	36.0	4.0	4.0
0.99000001	0.89999998	1.0	0.8125	0.08925165	0.31784359	0.66666667	8.0	0.0	1.0	1.0	652.58053708	31.0	5.0	4.0
0.97000003	0.89999998	0.99830604	0.875	0.10663067	0.36141628	0.66666667	8.0	0.0	1.0	1.0	670.29255819	26.0	6.0	4.0
0.95999998	0.89999998	0.99548278	0.8125	0.13054369	0.40222949	0.66666667	8.0	0.0	1.0	1.0	688.22168732	18.0	7.0	4.0
0.95999998	0.60000002	0.98814229	0.75	0.16057602	0.44044954	-0.25	6.0	2.0	2.0	0.0	703.5471046	14.0	8.0	4.0
1.0	0.89999998	1.0	1.0	0.00094425	0.10408747	0.66666667	8.0	0.0	1.0	1.0	732.4559176	500.0	9.0	4.0
1.0	0.75	1.0	0.92592593	0.04831404	0.28710672	0.25819889	8.0	1.0	2.0	1.0	752.19802451	45.0	0.0	5.0
0.9285714	0.83333331	0.99102871	0.74074074	0.16875316	0.64367455	0.52223297	9.0	0.0	2.0	1.0	775.18372917	10.0	1.0	5.0
1.0	1.0	1.0	1.0	0.00100188	0.04888913	1.0	9.0	0.0	0.0	3.0	803.81316972	500.0	2.0	5.0
1.0	0.91666669	1.0	0.96296296	0.07458301	0.26459202	0.77459667	9.0	0.0	1.0	2.0	821.62425447	31.0	3.0	5.0
0.95918369	0.75	0.99760766	0.88888889	0.13347802	0.33795953	0.25819889	8.0	1.0	2.0	1.0	840.50329518	18.0	4.0	5.0
0.95999998	0.80000001	0.99548278	1.0	0.13985602	0.22069502	0.0	8.0	0.0	2.0	0.0	859.45454574	16.0	5.0	5.0
1.0	0.89999998	1.0	1.0	0.06358857	0.18645883	0.76376262	7.0	1.0	0.0	2.0	876.58861089	36.0	6.0	5.0
1.0	0.80000001	1.0	0.9375	0.01341284	0.39988965	0.61237244	6.0	2.0	0.0	2.0	895.82689023	108.0	7.0	5.0
0.99000001	0.80000001	1.0	0.875	0.07997254	0.35801992	0.0	8.0	0.0	2.0	0.0	914.68114519	29.0	8.0	5.0
0.95999998	0.80000001	0.99322417	0.875	0.14638385	0.34221736	0.375	7.0	1.0	1.0	1.0	933.16229653	12.0	9.0	5.0
0.9285714	0.83333331	0.98564593	0.77777778	0.20778083	0.47814432	0.52223297	9.0	0.0	2.0	1.0	952.39575529	10.0	0.0	6.0
