train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.88942307	0.79166669	0.97225305	0.85416667	0.28242895	0.4354345	0.60246408	11.0	1.0	4.0	8.0	88.72609305	22.0	0.0	1.0
0.96153843	0.875	0.99149094	0.95833333	0.16917111	0.27416271	0.75261781	11.0	1.0	2.0	10.0	123.54082322	41.0	1.0	1.0
0.86124402	0.69565219	0.96023456	0.76515152	0.34161542	0.66190724	0.39393939	8.0	4.0	3.0	8.0	156.21403885	13.0	2.0	1.0
1.0	0.9130435	1.0	0.96969697	0.05050277	0.28022059	0.82575758	11.0	1.0	1.0	10.0	192.11552191	64.0	3.0	1.0
0.98086125	0.78260869	0.99844294	0.90909091	0.10846685	0.40361622	0.56490196	8.0	3.0	2.0	10.0	226.67692375	48.0	4.0	1.0
0.91866028	0.9130435	0.98241436	0.97727273	0.24175307	0.21398095	0.82575758	10.0	1.0	1.0	11.0	261.21202612	32.0	5.0	1.0
0.86602873	0.82608694	0.96931672	0.88636364	0.32140497	0.46401395	0.65151515	9.0	2.0	2.0	10.0	308.38429284	18.0	6.0	1.0
0.9952153	0.82608694	1.0	0.93181818	0.06133857	0.29658702	0.66414149	10.0	1.0	3.0	9.0	346.08041954	65.0	7.0	1.0
1.0	0.9130435	1.0	0.96969697	0.00078019	0.2664839	0.83971912	11.0	0.0	2.0	10.0	416.66911864	291.0	8.0	1.0
0.99043059	0.73913044	0.99990841	0.87878788	0.11098389	0.4437428	0.47727273	8.0	3.0	3.0	9.0	453.08536577	50.0	9.0	1.0
1.0	0.91666669	1.0	0.95833333	0.05858118	0.22880453	0.84515425	12.0	0.0	2.0	10.0	493.02151442	67.0	0.0	2.0
0.98557693	0.83333331	0.9936182	0.91666667	0.1385071	0.39089906	0.70710678	12.0	0.0	4.0	8.0	530.15212321	49.0	1.0	2.0
1.0	0.82608694	1.0	0.93939394	0.05694925	0.26441226	0.65151515	10.0	2.0	2.0	9.0	568.82197785	68.0	2.0	2.0
0.91866028	0.78260869	0.98048378	0.95454545	0.26684723	0.34182031	0.56818182	9.0	3.0	2.0	9.0	602.37027168	27.0	3.0	2.0
0.98086125	0.86956519	0.99505404	0.90151515	0.14752137	0.37875552	0.74047959	9.0	2.0	1.0	11.0	636.8682096	43.0	4.0	2.0
0.95215309	0.86956519	0.99111559	0.84848485	0.22176607	0.5334331	0.74047959	9.0	2.0	1.0	11.0	673.17554331	32.0	5.0	2.0
1.0	0.82608694	1.0	0.95454545	0.05307144	0.30435989	0.65151515	9.0	2.0	2.0	10.0	713.48973799	67.0	6.0	2.0
1.0	0.86956519	1.0	0.96969697	0.00891895	0.23622275	0.74047959	9.0	2.0	1.0	11.0	760.93291569	122.0	7.0	2.0
0.93301433	0.86956519	0.99258106	0.90909091	0.21950642	0.42724191	0.76277007	8.0	3.0	0.0	12.0	795.50207591	30.0	8.0	2.0
0.86124402	0.69565219	0.95548635	0.84848485	0.35964337	0.56646142	0.44411739	10.0	1.0	6.0	6.0	829.01237845	14.0	9.0	2.0
0.875	0.875	0.96938587	0.90277778	0.29906209	0.43802214	0.75261781	10.0	2.0	1.0	11.0	862.73483849	16.0	0.0	3.0
1.0	0.91666669	1.0	0.97916667	0.00109998	0.15195015	0.84515425	10.0	2.0	0.0	12.0	930.17912197	255.0	1.0	3.0
