train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.97222221	0.84615386	0.99677996	0.95	0.17176723	0.32642972	0.675	7.0	1.0	1.0	4.0	53.60249376	19.0	0.0	1.0
0.97247708	0.91666669	0.99755245	0.8125	0.1544796	0.39181483	0.81649658	8.0	0.0	1.0	3.0	75.33440828	20.0	1.0	1.0
1.0	0.91666669	1.0	0.9375	0.01808482	0.39303637	0.83666003	7.0	1.0	0.0	4.0	100.3381741	56.0	2.0	1.0
0.85321099	0.75	0.9379845	0.65714286	0.40172704	0.7573002	0.47809144	6.0	1.0	2.0	3.0	133.38538957	6.0	3.0	1.0
0.89908254	0.83333331	0.96053559	0.8	0.28633961	0.55075288	0.68313005	7.0	0.0	2.0	3.0	154.71358418	12.0	4.0	1.0
1.0	1.0	1.0	1.0	8.935e-05	0.06222622	1.0	7.0	0.0	0.0	5.0	209.8926928	500.0	5.0	1.0
0.98165137	0.66666669	0.99682875	0.71428571	0.1493978	0.55779749	0.31428571	5.0	2.0	2.0	3.0	234.70335126	21.0	6.0	1.0
1.0	0.83333331	1.0	0.97142857	7.607e-05	0.22460528	0.65714286	6.0	1.0	1.0	4.0	290.28415251	500.0	7.0	1.0
1.0	0.75	1.0	0.85714286	0.02395442	0.38832605	0.50709255	5.0	2.0	1.0	4.0	315.28944778	40.0	8.0	1.0
0.93577981	0.75	0.96617336	0.88571429	0.26443206	0.41885531	0.50709255	5.0	2.0	1.0	4.0	336.61091447	14.0	9.0	1.0
1.0	0.92307693	1.0	1.0	0.0010328	0.17129366	0.84327404	8.0	0.0	1.0	4.0	371.53012729	195.0	0.0	2.0
0.94495416	0.83333331	0.97062937	0.71875	0.25369094	0.59215409	0.63245553	8.0	0.0	2.0	2.0	395.44304419	11.0	1.0	2.0
0.94495416	0.83333331	0.96923077	0.90625	0.23556462	0.41286016	0.625	7.0	1.0	1.0	3.0	417.50008512	15.0	2.0	2.0
1.0	0.83333331	1.0	0.82857143	0.01127138	0.45610872	0.68313005	7.0	0.0	2.0	3.0	444.32904339	57.0	3.0	2.0
1.0	0.83333331	1.0	0.91428571	0.00150882	0.29669717	0.65714286	6.0	1.0	1.0	4.0	479.80015087	139.0	4.0	2.0
0.99082571	0.91666669	0.99753347	0.88571429	0.11437261	0.36736551	0.83666003	7.0	0.0	1.0	4.0	500.76492262	24.0	5.0	2.0
0.97247708	0.83333331	0.98978154	0.88571429	0.20705238	0.41213107	0.71428571	5.0	2.0	0.0	5.0	529.5527792	20.0	6.0	2.0
1.0	0.91666669	1.0	0.85714286	0.01941663	0.36969724	0.84515425	6.0	1.0	0.0	5.0	553.97194672	48.0	7.0	2.0
0.98165137	0.83333331	0.99718111	0.8	0.15838759	0.49722585	0.65714286	6.0	1.0	1.0	4.0	579.10629129	23.0	8.0	2.0
0.91743118	0.58333331	0.95736434	0.42857143	0.34860016	0.96597028	0.11952286	5.0	2.0	3.0	2.0	604.85188055	6.0	9.0	2.0
0.98148149	0.76923078	0.99821109	0.925	0.14850342	0.33796567	0.53674504	6.0	2.0	1.0	4.0	629.70046973	22.0	0.0	3.0
0.99082571	0.91666669	1.0	0.75	0.06548269	0.56173724	0.81649658	8.0	0.0	1.0	3.0	655.67809796	30.0	1.0	3.0
0.87155962	0.66666669	0.9479021	0.625	0.41456196	0.69320542	0.15811388	7.0	1.0	3.0	1.0	683.82879615	6.0	2.0	3.0
1.0	0.83333331	1.0	0.91428571	0.04948396	0.37912464	0.68313005	7.0	0.0	2.0	3.0	714.86445975	37.0	3.0	3.0
0.90825689	0.41666666	0.93446089	0.54285714	0.35885712	0.71728182	-0.11952286	2.0	5.0	2.0	3.0	739.74635744	8.0	4.0	3.0
1.0	1.0	1.0	1.0	0.00011002	0.05604048	1.0	7.0	0.0	0.0	5.0	799.00833893	500.0	5.0	3.0
0.96330273	0.83333331	0.96899225	0.82857143	0.23651514	0.55176139	0.65714286	6.0	1.0	1.0	4.0	822.74202466	14.0	6.0	3.0
1.0	0.83333331	1.0	0.94285714	0.00071609	0.25941435	0.65714286	6.0	1.0	1.0	4.0	862.14207697	240.0	7.0	3.0
0.97247708	0.91666669	0.99224806	0.97142857	0.16463241	0.2438577	0.84515425	6.0	1.0	0.0	5.0	895.95501471	20.0	8.0	3.0
1.0	0.83333331	1.0	0.97142857	0.0361944	0.27276483	0.65714286	6.0	1.0	1.0	4.0	923.69347858	39.0	9.0	3.0
0.89814812	0.76923078	0.94525939	0.675	0.3358511	0.73834693	0.53674504	6.0	2.0	1.0	4.0	950.55094576	8.0	0.0	4.0
1.0	0.83333331	1.0	0.9375	0.01773713	0.25342759	0.625	7.0	1.0	1.0	3.0	978.56950879	52.0	1.0	4.0
1.0	0.91666669	1.0	1.0	0.00627266	0.1713766	0.81649658	8.0	0.0	1.0	3.0	1011.60702777	79.0	2.0	4.0
0.93577981	0.75	0.95701198	0.74285714	0.28395139	0.62944341	0.50709255	5.0	2.0	1.0	4.0	1038.70954204	10.0	3.0	4.0
1.0	0.83333331	1.0	0.97142857	0.01174691	0.25222656	0.65714286	6.0	1.0	1.0	4.0	1071.35914135	67.0	4.0	4.0
0.95412844	0.66666669	0.95525018	0.74285714	0.29310463	0.62931961	0.31428571	5.0	2.0	2.0	3.0	1103.38765621	12.0	5.0	4.0
1.0	0.91666669	1.0	0.94285714	0.023828	0.30013779	0.83666003	7.0	0.0	1.0	4.0	1132.68435907	45.0	6.0	4.0
0.88990825	0.75	0.94926004	0.71428571	0.328194	0.71296048	0.50709255	5.0	2.0	1.0	4.0	1158.33614659	9.0	7.0	4.0
0.93577981	0.66666669	0.95525018	0.77142857	0.27700794	0.53530288	0.31428571	5.0	2.0	2.0	3.0	1183.12744784	12.0	8.0	4.0
1.0	0.91666669	1.0	0.91428571	0.00264808	0.22500235	0.84515425	6.0	1.0	0.0	5.0	1216.55442429	135.0	9.0	4.0
0.82407409	0.69230771	0.92093023	0.675	0.38242015	0.72832769	0.35	6.0	2.0	2.0	3.0	1244.40909147	8.0	0.0	5.0
1.0	0.91666669	1.0	0.90625	0.02144044	0.38581514	0.81649658	8.0	0.0	1.0	3.0	1274.71256447	48.0	1.0	5.0
0.94495416	0.75	0.98181818	0.84375	0.2014292	0.54437619	0.47809144	6.0	2.0	1.0	3.0	1300.42378283	17.0	2.0	5.0
1.0	1.0	1.0	1.0	9.603e-05	0.06734135	1.0	7.0	0.0	0.0	5.0	1369.4119978	500.0	3.0	5.0
1.0	0.83333331	1.0	0.97142857	0.02453907	0.27379036	0.68313005	7.0	0.0	2.0	3.0	1400.03206658	52.0	4.0	5.0
0.91743118	0.66666669	0.94714588	0.71428571	0.30369339	0.58654755	0.31428571	5.0	2.0	2.0	3.0	1425.84779644	12.0	5.0	5.0
0.90825689	0.83333331	0.9577167	0.71428571	0.31826646	0.71451545	0.68313005	7.0	0.0	2.0	3.0	1460.68511629	10.0	6.0	5.0
0.99082571	0.91666669	0.99894292	0.97142857	0.10604754	0.24047597	0.84515425	6.0	1.0	0.0	5.0	1487.94386744	27.0	7.0	5.0
0.99082571	0.91666669	1.0	0.88571429	0.06820043	0.4524599	0.83666003	7.0	0.0	1.0	4.0	1516.70926476	30.0	8.0	5.0
0.98165137	0.91666669	1.0	0.94285714	0.10870527	0.42842898	0.84515425	6.0	1.0	0.0	5.0	1545.58522105	27.0	9.0	5.0
1.0	0.92307693	1.0	1.0	0.00010995	0.16100557	0.85391256	7.0	1.0	0.0	5.0	1614.38643861	500.0	0.0	6.0
1.0	0.75	1.0	0.75	0.02154616	0.5333035	0.47809144	6.0	2.0	1.0	3.0	1650.96746182	57.0	1.0	6.0
0.95412844	0.75	0.96188811	0.8125	0.25544004	0.57960635	0.47809144	6.0	2.0	1.0	3.0	1682.95290756	13.0	2.0	6.0
0.95412844	0.91666669	0.98978154	0.94285714	0.19073163	0.32505336	0.84515425	6.0	1.0	0.0	5.0	1712.12530446	20.0	3.0	6.0
1.0	0.91666669	1.0	0.97142857	0.00411166	0.21114035	0.83666003	7.0	0.0	1.0	4.0	1750.22169328	90.0	4.0	6.0
0.97247708	0.75	0.99154334	0.8	0.18127575	0.53996855	0.47809144	6.0	1.0	2.0	3.0	1779.74182796	19.0	5.0	6.0
0.88073397	0.58333331	0.93939394	0.62857143	0.35486188	0.77638048	0.11952286	5.0	2.0	3.0	2.0	1806.51547456	8.0	6.0	6.0
0.97247708	0.91666669	0.98731501	0.85714286	0.16336602	0.43364611	0.83666003	7.0	0.0	1.0	4.0	1837.75224805	21.0	7.0	6.0
0.90825689	0.75	0.96088795	0.74285714	0.3069949	0.63054019	0.47809144	6.0	1.0	2.0	3.0	1871.79298186	10.0	8.0	6.0
0.98165137	0.83333331	0.99859056	0.91428571	0.13034893	0.44527331	0.65714286	6.0	1.0	1.0	4.0	1902.50084305	22.0	9.0	6.0
0.85185188	0.61538464	0.94025045	0.575	0.3842004	0.78126621	0.15811388	6.0	2.0	3.0	2.0	1932.43408704	8.0	0.0	7.0
1.0	0.83333331	1.0	0.8125	0.0382293	0.47227025	0.63245553	8.0	0.0	2.0	2.0	1966.32590795	41.0	1.0	7.0
0.93577981	0.83333331	0.95839161	0.71875	0.27595252	0.54848963	0.63245553	8.0	0.0	2.0	2.0	2000.06659269	12.0	2.0	7.0
0.95412844	0.91666669	0.96546864	0.94285714	0.26251966	0.38229752	0.84515425	6.0	1.0	0.0	5.0	2033.61168265	14.0	3.0	7.0
1.0	0.91666669	1.0	1.0	0.00033859	0.13782169	0.83666003	7.0	0.0	1.0	4.0	2090.48486304	294.0	4.0	7.0
0.97247708	0.75	0.99295278	0.88571429	0.16957842	0.40611878	0.50709255	5.0	2.0	1.0	4.0	2118.88363004	26.0	5.0	7.0
0.97247708	0.58333331	0.97744891	0.8	0.18922933	0.54172224	0.23904572	3.0	4.0	1.0	4.0	2152.477983	19.0	6.0	7.0
1.0	0.91666669	1.0	0.85714286	0.0425164	0.40686274	0.83666003	7.0	0.0	1.0	4.0	2187.63651776	41.0	7.0	7.0
0.91743118	0.75	0.94256519	0.82857143	0.34693394	0.56823438	0.47809144	6.0	1.0	2.0	3.0	2218.36806059	11.0	8.0	7.0
0.98165137	0.91666669	0.99788584	0.85714286	0.12263294	0.44611824	0.83666003	7.0	0.0	1.0	4.0	2251.56586599	25.0	9.0	7.0
0.9074074	0.69230771	0.97030411	0.8	0.25764814	0.56852055	0.31754265	7.0	1.0	3.0	2.0	2281.00206208	14.0	0.0	8.0
0.91743118	0.58333331	0.9520979	0.75	0.30650137	0.65756363	0.23904572	4.0	4.0	1.0	3.0	2315.20819855	10.0	1.0	8.0
1.0	0.91666669	1.0	1.0	0.00026304	0.06752899	0.81649658	8.0	0.0	1.0	3.0	2377.62138057	331.0	2.0	8.0
1.0	0.91666669	1.0	1.0	9.635e-05	0.19353111	0.83666003	7.0	0.0	1.0	4.0	2453.08595753	500.0	3.0	8.0
1.0	1.0	1.0	1.0	0.00012961	0.04485273	1.0	7.0	0.0	0.0	5.0	2534.49771237	500.0	4.0	8.0
0.90825689	0.75	0.94573643	0.8	0.34099006	0.7046929	0.50709255	5.0	2.0	1.0	4.0	2566.74975991	8.0	5.0	8.0
1.0	0.91666669	1.0	0.94285714	0.00011003	0.24008371	0.83666003	7.0	0.0	1.0	4.0	2648.29918981	500.0	6.0	8.0
1.0	1.0	1.0	1.0	9.963e-05	0.13024236	1.0	7.0	0.0	0.0	5.0	2727.12655711	500.0	7.0	8.0
1.0	0.83333331	1.0	0.94285714	0.00493592	0.26698691	0.68313005	7.0	0.0	2.0	3.0	2771.17279458	98.0	8.0	8.0
0.94495416	0.66666669	0.9721635	0.77142857	0.25106366	0.66046363	0.31428571	5.0	2.0	2.0	3.0	2813.05551553	11.0	9.0	8.0
0.97222221	0.69230771	0.99928444	0.775	0.15501736	0.572797	0.41475753	5.0	3.0	1.0	4.0	2848.50844908	22.0	0.0	9.0
1.0	0.91666669	1.0	0.96875	0.02595063	0.24090438	0.81649658	8.0	0.0	1.0	3.0	2886.15744352	47.0	1.0	9.0
1.0	0.91666669	1.0	0.90625	0.00218088	0.25581834	0.83666003	7.0	1.0	0.0	4.0	2931.39352107	138.0	2.0	9.0
1.0	0.83333331	1.0	0.91428571	0.04400522	0.36127654	0.68313005	7.0	0.0	2.0	3.0	2966.05096173	35.0	3.0	9.0
0.91743118	0.58333331	0.95348837	0.62857143	0.33079441	0.88419008	0.11952286	5.0	2.0	3.0	2.0	3002.18110418	7.0	4.0	9.0
0.98165137	0.75	0.99964764	0.8	0.12873613	0.55309826	0.47809144	6.0	1.0	2.0	3.0	3039.80830097	23.0	5.0	9.0
1.0	0.83333331	1.0	0.91428571	0.03532744	0.34633854	0.65714286	6.0	1.0	1.0	4.0	3076.75548387	38.0	6.0	9.0
0.93577981	0.91666669	0.96476392	0.8	0.27537418	0.55434197	0.83666003	7.0	0.0	1.0	4.0	3112.95545506	11.0	7.0	9.0
1.0	0.91666669	1.0	0.97142857	0.00066671	0.21839495	0.83666003	7.0	0.0	1.0	4.0	3166.99252391	236.0	8.0	9.0
0.99082571	0.75	1.0	0.94285714	0.07252506	0.3985953	0.47809144	6.0	1.0	2.0	3.0	3204.91097665	29.0	9.0	9.0
0.92592591	0.69230771	0.95813953	0.675	0.27882303	0.66152436	0.35	6.0	2.0	2.0	3.0	3242.49741054	15.0	0.0	10.0
0.95412844	0.91666669	0.97622378	0.96875	0.22120364	0.27875632	0.83666003	7.0	1.0	0.0	4.0	3286.45288014	18.0	1.0	10.0
0.88990825	0.66666669	0.93496503	0.71875	0.35181347	0.59912992	0.35355339	5.0	3.0	1.0	3.0	3321.6309495	10.0	2.0	10.0
0.96330273	0.83333331	0.99083862	1.0	0.16898204	0.23496632	0.68313005	7.0	0.0	2.0	3.0	3354.82365537	20.0	3.0	10.0
0.86238533	0.75	0.94538407	0.8	0.33515476	0.67542511	0.50709255	5.0	2.0	1.0	4.0	3388.01852226	9.0	4.0	10.0
0.91743118	0.75	0.96617336	0.74285714	0.27585276	0.69385433	0.47809144	6.0	1.0	2.0	3.0	3422.30651522	11.0	5.0	10.0
0.98165137	0.66666669	0.99260042	0.65714286	0.17124749	0.63901621	0.29277002	6.0	1.0	3.0	2.0	3460.1473701	21.0	6.0	10.0
0.96330273	0.75	0.96018323	0.85714286	0.27706568	0.48307249	0.50709255	5.0	2.0	1.0	4.0	3492.68678451	14.0	7.0	10.0
0.96330273	0.91666669	0.97181113	0.94285714	0.22152066	0.41110113	0.83666003	7.0	0.0	1.0	4.0	3527.61938787	19.0	8.0	10.0
1.0	0.91666669	1.0	0.97142857	0.00012385	0.13104594	0.83666003	7.0	0.0	1.0	4.0	3615.30422425	500.0	9.0	10.0
