train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.92929292	0.81818181	0.99256293	0.77777778	0.19574543	0.44063804	0.38888889	8.0	1.0	1.0	1.0	40.16116858	17.0	0.0	1.0
0.95959598	0.81818181	0.98855835	0.83333333	0.16014149	0.40039796	0.0	9.0	0.0	2.0	0.0	57.8794663	22.0	1.0	1.0
0.97979796	0.90909094	0.99370709	0.88888889	0.125146	0.23528546	0.76980036	8.0	1.0	0.0	2.0	76.43845344	29.0	2.0	1.0
1.0	0.90909094	1.0	0.94444444	0.04273512	0.18831657	0.67082039	9.0	0.0	1.0	1.0	95.36257434	50.0	3.0	1.0
0.98989898	0.81818181	1.0	0.77777778	0.08030713	0.4299548	0.38888889	8.0	1.0	1.0	1.0	115.17322254	54.0	4.0	1.0
1.0	1.0	1.0	1.0	0.00027983	0.0466219	1.0	8.0	0.0	0.0	3.0	163.46042705	500.0	5.0	1.0
0.95959598	0.72727275	0.99586777	0.91666667	0.14163781	0.43070775	0.24056261	7.0	1.0	2.0	1.0	181.24083018	24.0	6.0	1.0
1.0	0.90909094	1.0	1.0	0.01637818	0.19450583	0.76980036	8.0	0.0	1.0	2.0	203.7529881	84.0	7.0	1.0
0.9191919	0.81818181	0.98288076	0.54166667	0.24308305	0.59422493	0.51639778	8.0	0.0	2.0	1.0	220.96299815	13.0	8.0	1.0
1.0	0.90909094	1.0	1.0	0.01788402	0.19209768	0.76980036	8.0	0.0	1.0	2.0	242.40546155	78.0	9.0	1.0
1.0	0.90909094	1.0	1.0	0.00022707	0.12316152	0.67082039	9.0	0.0	1.0	1.0	295.17678356	500.0	0.0	2.0
1.0	0.90909094	1.0	0.94444444	0.03171348	0.21657495	0.67082039	9.0	0.0	1.0	1.0	316.39016533	65.0	1.0	2.0
1.0	0.81818181	1.0	0.94444444	0.00240306	0.2022097	0.38888889	8.0	1.0	1.0	1.0	347.08086753	206.0	2.0	2.0
0.98989898	0.90909094	1.0	0.83333333	0.07900312	0.33029249	0.67082039	9.0	0.0	1.0	1.0	367.50910878	42.0	3.0	2.0
1.0	0.72727275	1.0	0.88888889	0.01417802	0.29890123	0.24056261	7.0	2.0	1.0	1.0	391.06654859	102.0	4.0	2.0
1.0	1.0	1.0	1.0	0.00021527	0.07203078	1.0	8.0	0.0	0.0	3.0	442.77783537	500.0	5.0	2.0
0.969697	0.72727275	0.99822904	0.95833333	0.1336655	0.46174791	0.0	8.0	0.0	3.0	0.0	467.35848904	23.0	6.0	2.0
0.93939394	0.81818181	0.98288076	0.875	0.19444237	0.50693321	0.51639778	8.0	0.0	2.0	1.0	485.69700313	20.0	7.0	2.0
0.89898992	0.81818181	0.9811098	0.625	0.24837992	0.5617314	0.51639778	8.0	0.0	2.0	1.0	504.4981122	15.0	8.0	2.0
0.97979796	0.81818181	1.0	0.83333333	0.09595265	0.43493766	0.51639778	8.0	0.0	2.0	1.0	525.3182888	40.0	9.0	2.0
0.98989898	0.90909094	1.0	0.88888889	0.07950807	0.21348652	0.67082039	9.0	0.0	1.0	1.0	546.72246003	43.0	0.0	3.0
0.97979796	0.90909094	1.0	0.94444444	0.10673018	0.24149503	0.76980036	8.0	1.0	0.0	2.0	567.30734992	35.0	1.0	3.0
0.76767677	0.81818181	0.97940503	0.38888889	0.40448615	0.53219962	0.0	9.0	0.0	2.0	0.0	586.36197138	8.0	2.0	3.0
