train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.79295152	0.65384614	0.91181973	0.5751634	0.51548139	0.65051728	0.0	0.0	9.0	0.0	17.0	97.21658993	9.0	0.0	1.0
0.76211452	0.61538464	0.9085034	0.54901961	0.52401803	0.68071798	-0.14552138	0.0	9.0	1.0	16.0	127.32343721	9.0	1.0	1.0
0.71365637	0.65384614	0.84634354	0.31372549	0.58010998	0.69280237	0.0	0.0	9.0	0.0	17.0	157.02755594	6.0	2.0	1.0
0.83333331	0.75999999	0.95246494	0.50735294	0.44882686	0.66966866	0.42986348	2.0	6.0	0.0	17.0	190.90709233	12.0	3.0	1.0
0.86403507	0.68000001	0.98057432	0.74305556	0.37353362	0.58935568	0.27216553	1.0	8.0	0.0	16.0	223.07534289	14.0	4.0	1.0
0.74561405	0.63999999	0.89493243	0.42361111	0.52965008	0.74649062	0.0	0.0	9.0	0.0	16.0	258.80240893	8.0	5.0	1.0
0.74561405	0.63999999	0.87415541	0.48611111	0.54671468	0.67548283	0.0	0.0	9.0	0.0	16.0	296.09075141	8.0	6.0	1.0
0.95614034	0.72000003	0.99298986	0.82638889	0.26065912	0.55399033	0.35460407	3.0	6.0	1.0	15.0	345.41528988	23.0	7.0	1.0
0.97368419	0.72000003	0.99763514	0.6875	0.23048447	0.63548064	0.35902456	4.0	5.0	2.0	14.0	382.00259852	25.0	8.0	1.0
0.89912283	0.63999999	0.98775338	0.70833333	0.34443509	0.6136075	0.12729377	2.0	7.0	2.0	14.0	421.05180383	19.0	9.0	1.0
0.845815	0.69230771	0.94923469	0.63398693	0.43326532	0.63080792	0.24331548	2.0	7.0	1.0	16.0	464.353688	14.0	0.0	2.0
0.82819384	0.61538464	0.94880952	0.58169935	0.43932301	0.67344001	-0.00973262	1.0	8.0	2.0	15.0	498.06419206	12.0	1.0	2.0
0.96475768	0.65384614	0.99753401	0.75816993	0.28117073	0.55732214	0.13789005	2.0	7.0	2.0	15.0	532.52959728	26.0	2.0	2.0
0.87280703	0.60000002	0.97782817	0.64705882	0.36622657	0.6066549	0.01606231	2.0	6.0	4.0	13.0	572.4239161	16.0	3.0	2.0
0.74561405	0.63999999	0.88893581	0.61111111	0.53463697	0.65065854	0.0	0.0	9.0	0.0	16.0	612.56117535	9.0	4.0	2.0
0.78947371	0.63999999	0.89670608	0.52777778	0.52283591	0.69332399	0.0	0.0	9.0	0.0	16.0	655.29287481	8.0	5.0	2.0
