filename	train_acc	val_acc	train_auc	val_auc	train_los	val_los	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.889	0.792	0.972	0.854	0.282	0.435	0.602	11.0	1.0	4.0	8.0	88.726	22.0	0	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.962	0.875	0.991	0.958	0.169	0.274	0.753	11.0	1.0	2.0	10.0	123.541	41.0	0	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.861	0.696	0.96	0.765	0.342	0.662	0.394	8.0	4.0	3.0	8.0	156.214	13.0	0	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.913	1.0	0.97	0.051	0.28	0.826	11.0	1.0	1.0	10.0	192.116	64.0	0	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.783	0.998	0.909	0.108	0.404	0.565	8.0	3.0	2.0	10.0	226.677	48.0	0	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.919	0.913	0.982	0.977	0.242	0.214	0.826	10.0	1.0	1.0	11.0	261.212	32.0	0	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.866	0.826	0.969	0.886	0.321	0.464	0.652	9.0	2.0	2.0	10.0	308.384	18.0	0	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.995	0.826	1.0	0.932	0.061	0.297	0.664	10.0	1.0	3.0	9.0	346.08	65.0	0	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.913	1.0	0.97	0.001	0.266	0.84	11.0	0.0	2.0	10.0	416.669	291.0	0	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.99	0.739	1.0	0.879	0.111	0.444	0.477	8.0	3.0	3.0	9.0	453.085	50.0	1	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.958	0.059	0.229	0.845	12.0	0.0	2.0	10.0	493.022	67.0	1	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.986	0.833	0.994	0.917	0.139	0.391	0.707	12.0	0.0	4.0	8.0	530.152	49.0	1	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.826	1.0	0.939	0.057	0.264	0.652	10.0	2.0	2.0	9.0	568.822	68.0	1	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.919	0.783	0.98	0.955	0.267	0.342	0.568	9.0	3.0	2.0	9.0	602.37	27.0	1	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.87	0.995	0.902	0.148	0.379	0.74	9.0	2.0	1.0	11.0	636.868	43.0	1	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.952	0.87	0.991	0.848	0.222	0.533	0.74	9.0	2.0	1.0	11.0	673.176	32.0	1	6
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.826	1.0	0.955	0.053	0.304	0.652	9.0	2.0	2.0	10.0	713.49	67.0	1	7
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.87	1.0	0.97	0.009	0.236	0.74	9.0	2.0	1.0	11.0	760.933	122.0	1	8
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.933	0.87	0.993	0.909	0.22	0.427	0.763	8.0	3.0	0.0	12.0	795.502	30.0	1	9
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.861	0.696	0.955	0.848	0.36	0.566	0.444	10.0	1.0	6.0	6.0	829.012	14.0	2	0
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.875	0.875	0.969	0.903	0.299	0.438	0.753	10.0	2.0	1.0	11.0	862.735	16.0	2	1
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	1.0	0.917	1.0	0.979	0.001	0.152	0.845	10.0	2.0	0.0	12.0	930.179	255.0	2	2
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.947	0.696	0.993	0.871	0.232	0.538	0.411	7.0	5.0	2.0	9.0	966.878	30.0	2	3
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.981	0.783	0.996	0.924	0.127	0.358	0.568	9.0	3.0	2.0	9.0	1004.626	51.0	2	4
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.99	0.826	1.0	0.871	0.087	0.456	0.664	10.0	1.0	3.0	9.0	1043.657	55.0	2	5
/home/ubuntu/gene-abundance/experiment/results/model_cnn/qtf_pc576_10_fillseqf_nb10_auy_custom/cirgenepc576_10_fillspix_r0p1.0eqfm0.0a1.0custom_nb10_auy_0.0_1.0qtf1000/a10_nonecaffe_estopc5_cnn_o1adam_lr-1.0de0.0e500_20200224_210947c255.0di-1ch1_l1f64dfc0.0p1dcnn0.0padnfile_sum_ok.txt	0.986	0.957	0.996	1.0	0.123	0.232	0.916	10.0	1.0	0.0	12.0	1083.171	51.0	2	6
