train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.85760516	0.71428573	0.97528071	0.76797386	0.38344602	0.57110158	0.42810458	13.0	5.0	5.0	12.0	127.41964912	29.0	0.0	1.0
0.82847899	0.51428574	0.96509972	0.69607843	0.39726363	0.66313341	0.01807754	13.0	5.0	12.0	5.0	183.69681597	25.0	1.0	1.0
0.73462784	0.54285717	0.90732361	0.57189542	0.53827743	0.69999925	0.08852507	9.0	9.0	7.0	10.0	229.65965104	19.0	2.0	1.0
0.789644	0.6857143	0.92890062	0.69934641	0.48329458	0.63714312	0.39211573	10.0	8.0	3.0	14.0	275.13484526	20.0	3.0	1.0
0.93225807	0.82352942	0.99621165	0.7716263	0.28653266	0.59148142	0.65158377	15.0	2.0	4.0	13.0	327.67152071	38.0	4.0	1.0
0.70322579	0.61764705	0.87215353	0.66782007	0.56717519	0.65697555	0.23570226	11.0	6.0	7.0	10.0	373.9467361	14.0	5.0	1.0
0.80322582	0.61764705	0.94733775	0.66782007	0.44804536	0.65902854	0.24618298	13.0	4.0	9.0	8.0	417.8968873	22.0	6.0	1.0
0.89354837	0.61764705	0.98888473	0.69896194	0.34148917	0.65204193	0.23570226	11.0	6.0	7.0	10.0	471.45720029	36.0	7.0	1.0
0.82258064	0.70588237	0.95295783	0.73010381	0.43018072	0.61397074	0.41464421	11.0	6.0	4.0	13.0	527.72126365	25.0	8.0	1.0
0.82580644	0.58823532	0.96315724	0.63321799	0.43705437	0.69848031	0.18156826	12.0	5.0	9.0	8.0	571.46784019	23.0	9.0	1.0
0.81229776	0.62857145	0.93388638	0.73202614	0.48043435	0.60253799	0.26151604	14.0	4.0	9.0	8.0	619.88313818	19.0	0.0	2.0
0.67313915	0.48571429	0.79252556	0.50653595	0.64152224	0.72202877	-0.03300492	10.0	8.0	10.0	7.0	663.82219338	8.0	1.0	2.0
0.93203884	0.71428573	0.99354785	0.78431373	0.2828014	0.56393408	0.42906394	14.0	4.0	6.0	11.0	711.95335627	36.0	2.0	2.0
0.63754046	0.40000001	0.79550025	0.41503268	0.64741385	0.74230697	-0.20406349	4.0	14.0	7.0	10.0	756.89988303	8.0	3.0	2.0
0.84193546	0.70588237	0.96665418	0.73010381	0.41616327	0.59286702	0.41176471	12.0	5.0	5.0	12.0	812.35700989	27.0	4.0	2.0
0.87096775	0.7352941	0.98268182	0.74048443	0.39313249	0.60697366	0.47140452	12.0	5.0	4.0	13.0	862.92020249	32.0	5.0	2.0
0.94838709	0.70588237	0.99646143	0.79930796	0.25915125	0.56641128	0.42365927	14.0	3.0	7.0	10.0	915.74270535	42.0	6.0	2.0
