train_acc	val_acc	train_auc	val_auc	train_loss	val_loss	val_mmc	tn	fp	fn	tp	time	ep_stopped	index_fold	seed
0.81395346	0.60000002	0.91502193	0.6	0.48296721	0.66939813	0.2	3.0	2.0	2.0	3.0	31.72320557	13.0	0.0	1.0
0.82558137	0.5	0.89638158	0.56	0.5113159	0.73642743	0.0	1.0	4.0	1.0	4.0	54.50269365	10.0	1.0	1.0
0.89534885	0.60000002	0.9808114	0.76	0.30020497	0.54261369	0.21821789	2.0	3.0	1.0	4.0	69.89230061	28.0	2.0	1.0
0.75581396	0.40000001	0.89198036	0.29166667	0.5872451	0.74836063	-0.25	1.0	3.0	3.0	3.0	87.32439566	8.0	3.0	1.0
0.90697676	0.69999999	0.98145117	0.79166667	0.29402126	0.53866494	0.40824829	3.0	1.0	2.0	4.0	103.78671265	30.0	4.0	1.0
0.98837209	0.80000001	1.0	0.83333333	0.18752631	0.49421674	0.58333333	3.0	1.0	1.0	5.0	118.95793819	36.0	5.0	1.0
0.80459768	0.77777779	0.92094017	0.6	0.53465619	0.70595187	0.55	3.0	1.0	1.0	4.0	136.45006418	9.0	6.0	1.0
1.0	0.77777779	1.0	0.85	0.1175666	0.51210046	0.55	3.0	1.0	1.0	4.0	155.49226332	50.0	7.0	1.0
0.79310346	0.66666669	0.91132479	0.45	0.50777586	0.73883218	0.39528471	1.0	3.0	0.0	5.0	171.70301437	10.0	8.0	1.0
0.83908045	0.66666669	0.94284188	0.85	0.41364552	0.61377269	0.47809144	4.0	0.0	3.0	2.0	190.0196414	18.0	9.0	1.0
1.0	0.89999998	1.0	1.0	0.00133913	0.28636235	0.81649658	5.0	0.0	1.0	4.0	224.57539654	349.0	0.0	2.0
0.80232561	0.40000001	0.92434211	0.52	0.50946551	0.68872476	-0.21821789	1.0	4.0	2.0	3.0	240.3569355	11.0	1.0	2.0
0.8488372	0.40000001	0.94078947	0.68	0.43661237	0.67416829	-0.21821789	1.0	4.0	2.0	3.0	257.30781293	16.0	2.0	2.0
0.82558137	0.5	0.93016912	0.625	0.46884655	0.6613571	0.0	2.0	2.0	3.0	3.0	273.65869451	13.0	3.0	2.0
0.89534885	0.60000002	0.97599564	0.58333333	0.3325008	0.64469188	0.16666667	2.0	2.0	2.0	4.0	291.17153597	23.0	4.0	2.0
0.88372093	0.60000002	0.94980906	0.625	0.48620341	0.73423272	0.25	3.0	1.0	3.0	3.0	308.91054583	12.0	5.0	2.0
0.87356323	0.66666669	0.95619658	0.6	0.40126944	0.63428855	0.31622777	2.0	2.0	1.0	4.0	326.46527863	21.0	6.0	2.0
0.81609195	0.22222222	0.91613248	0.1	0.58322332	0.78537554	-0.55	1.0	3.0	4.0	1.0	345.19331551	7.0	7.0	2.0
0.81609195	0.55555558	0.9017094	0.35	0.5661867	0.72060031	0.05976143	1.0	3.0	1.0	4.0	360.72189808	9.0	8.0	2.0
0.94252872	0.77777779	0.99412393	0.8	0.25342241	0.52077192	0.5976143	2.0	2.0	0.0	5.0	380.79262233	34.0	9.0	2.0
